구분,총자산증가율2002,유동자산증가율2002,매출액증가율2002,매출액순이익률2002,매출원가대매출액비율2002,자기자본순이익률2002,총자산순이익률2002,매출액대판매관리비2002,매출채권회전율2002,재고자산회전율2002,총자본회전율2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,고정비율2002,순운전자본비율2002,차입금의존도2002,현금비율2002,부채/자산2002,부채/매출액2002,부채/현금흐름2002,유동부채/부채2002,현금흐름/매출액2002,차입금평균금리2002,이자보상배율2002,업종,정상기업여부
(주)건잠디지털,-0.4207777327578285,-0.3212749962943201,-0.4993244421756521,-1.48866228959892,0.8882394549572707,-2.2045015299199533,-0.7621278541420272,0.7717604115077319,1.4625601346441608,4.836829014258614,0.5119548331860829,5.836993276158905,1.892561291309438,1.755435602535341,0.3457143684403342,1.4500602486358338,0.4595545167819268,0.2325757542245866,0.2654931670294644,0.0939846063919067,0.6542856315596658,1.2780143660092165,-4.800855415838619,0.4705433134143512,-0.2662055519924403,11.85,-5.377087053071464,0,0
(주)게스템프카테크,-0.024956121873149,0.1168382199148616,0.5578824379527926,0.0312757833148679,0.8973946586202398,0.1496129296251009,0.0371390953712823,0.0507041928886778,9.65188136807232,28.51552803312173,1.187471309587537,1.4677587599768458,3.0284485418658758,0.3529239006304644,0.2482345306942737,0.2810782043023723,0.8164285603249014,-0.3365730995504,0.5079110469995957,0.0263259649615084,0.7517655025218333,0.633080981790588,-536.4818308957736,0.6918973236742695,-0.0011800604332368,7.72,1.496305722621945,0,1
(주)경동개발,0.0650353534137007,0.1382449126772898,0.21010897121215,0.1943746838750711,0.9018335044251752,0.1239000226435395,0.0842569366895766,0.1615450266433641,5.590368653749311,4.15619992978018,0.4334769066105873,0.9201404931909472,0.470502340952862,3.021002471947269,0.6800397198633604,2.463852510225973,0.4899944534720257,0.3411855585891515,0.0006002351727861,0.5503378497849989,0.3199602801366396,0.7381253193819501,8.508285629494024,0.527627869854568,0.0867537070950267,6.16,-479.6239436619719,0,0
(주)경인일보,-0.4925818410310192,-0.1195204566936642,0.0903960529553377,-0.0196162979616707,0.6831014339263175,-0.0654650321102523,-0.0241589365154758,0.7441001505717163,4.202426248913924,69.42348710536058,1.2315747121440124,3.3127069594691263,1.7097646483038105,1.3733423123834478,0.369035739183458,1.340251848939634,0.4970607997944156,0.136723730347433,0.1470413980931113,0.0733725277231574,0.6309642608165419,0.51232317016165,28.12551002432881,0.5804060429416801,0.0182156046136936,7.54,-49.67869821291702,1,0
(주)국일인토트,-0.075674116066279,-0.0550836399778741,0.0166706457758387,0.0402110195804088,0.7217211341194995,0.3363099139308522,0.033990011220297,0.1797381256799337,8.980763369789521,2.619847397874215,0.8452909569310517,2.600839702011229,8.894375985136957,0.893595772778739,0.1010675267434598,0.5796687413200428,0.3371547087146059,-0.0789278047020139,0.581436057883069,0.015810603389222,0.8989325827442166,1.0634593631616722,162.83923046410155,0.8251711192964396,0.0065307319380639,8.48,1.5509877474465352,0,1
(주)나다텔,-0.291410595642287,-0.3496137742272505,0.0226033797018027,-0.3814343074297706,0.741033837869928,-0.4234570844511129,-0.3140731594518463,0.4912179849726192,5.370547499462052,2.5315915195077694,0.823400395124849,19.48045859945364,0.3482753037227857,4.120231442984935,0.7416882866865939,2.863885687801533,0.2095618121348509,0.598595035653168,0.1214020193169019,0.0886146031799293,0.2583117133134061,0.3137133706065799,-2.367448754964104,0.7426808089775638,-0.1325111557108811,7.39,-28.73449401523395,0,0
(주)다농,-0.0348491404170979,-0.1521295785861444,-0.006326047983854,-0.0309293099320375,0.8588089016578611,-0.2533428620240768,-0.0291625038327616,0.1741382779807202,62.70880922555449,9.472020126910996,0.9428759935750866,1.0719574401955425,7.687280882222014,0.2294229144601863,0.1151108170159938,0.0553627763810451,0.887320268751726,-0.3784639925369517,0.587462167491478,0.0222968712814109,0.8848891829840061,0.9385000668314688,235.4262343404569,0.5550340028309086,0.0039863869439217,5.07,-1.0250608928514306,1,0
(주)다다,0.134575213888955,0.0997025771311234,0.2745868850446271,0.1112982905329328,0.7748050959020781,0.114052330602164,0.0883677844415507,0.113281651706962,2.6585969237226803,3.0289562164830643,0.7939725221152699,3.361366714949144,0.2906550879704566,3.464974261567465,0.7748003392389603,2.4642228050765063,0.296800331257175,0.5002545338993946,0.0,0.986499573175292,0.2251996607610396,0.283636592562513,3.773359372387896,0.9011786880921476,0.0751681895549268,0.0,3083.195232690125,0,1
(주)대양강관,-0.0933443134314586,-0.1521278109272948,-0.3196568680001699,-0.1409378783229989,1.0157811975996631,-0.4096302514690957,-0.0778755777439913,0.0901435932746806,3.661433188517336,2.138625676964794,0.5525525051932275,0.918410168369245,4.260060513653161,0.5023564476673251,0.1901118812995348,0.1601284406165655,0.6147565692582289,-0.3816292401090475,0.1242107485229385,0.00883015850285,0.8098881187004652,1.465721557840458,-406.02829023225166,0.9468871726150664,-0.0036099000811053,6.64,-6.930121278727109,0,0
(주)덕산종합건설,0.2833125699305668,-0.4033008950804507,0.1049227261771061,0.5780016636402209,0.6825930877387315,2.775089712289509,0.1318811845077076,0.0845841118548464,3632.339792387543,2.2786992118121643,0.2281674825590079,0.2758996058215487,20.042347493681493,0.822292601655594,0.0475232148076765,0.3702049009072578,0.8756824835249332,-0.0268665221807199,0.3195747499157967,0.1094424150334035,0.9524767851923236,4.17446331313226,-22.33483493623518,0.1587272687441509,-0.1869037011041335,7.29,2.220444216307313,1,1
