구분,총자산증가율2015,유동자산증가율2015,매출액증가율2015,매출액순이익률2015,매출총이익률2015,자기자본순이익률2015,총자산순이익률2015,매출원가대매출액비율2015,매출액대판매관리비2015,매출채권회전율2015,재고자산회전율2015,총자본회전율2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,고정비율2015,순운전자본비율2015,차입금의존도2015,현금비율2015,부채/총자산2015,부채/매출액2015,부채/현금흐름2015,유동부채/부채2015,총부채/총자산2015,유동부채/총부채2015,유동자산/총자산2015,현금흐름/매출액2015,이자보상배율2015,차입금평균금리2015,업종,정상기업여부
(주)DCFTREK,-0.2065095349578042,-0.4117134486576677,-0.0518273494509392,-0.0573252884377223,0.0520877810477947,-0.0992250505898434,-0.0746807016747661,0.9479122189522052,0.0336818748998519,22.01915811736719,14.63355059898986,1.302753177699203,2.7135574467129326,0.3286571813688596,0.7964696896766607,0.7526395928329248,0.3638169031604414,0.8446503436144976,-0.0396981381496154,0.1523716578214528,0.0441275570081899,0.1523716578214528,0.1169612635991086,-6.7453975633548495,1.2800792307692308,0.2473604071670752,0.7885166295161224,0.1553496563855023,-0.017339417358365,3.2905451702873023,3.26,0,1
(주)갑우문화사,0.0075436992340092,-0.0452110824436278,0.0133931198715689,0.0162431881527217,0.1455337380086734,0.0212290134135038,0.0147841210804655,0.8544662619913266,0.1309752945639319,6.09367220621671,34.88354579480221,0.9101736027103924,1.428649568910323,0.4359334111213429,1.3232229289291966,0.6964111234232543,1.203296039591643,0.7540113999354378,0.060087498529369,0.09325497229917,0.3105692221688479,0.09325497229917,0.1024584453135835,6.15815117522157,1.9934712,0.3035888765767457,0.6123449041723975,0.2459886000645622,0.0166378580840696,4.482981864990724,3.08,1,1
(주)강원심층수,-0.0523459866900824,0.5331015979067993,0.0897518143997525,-0.5478165041898159,0.2843331015677837,-0.8095692241286284,-0.1328790391773891,0.7156668984322163,0.6944369112121805,7.681665918779448,11.6228772555642,0.2425612192423965,0.2628210447611674,5.092527678860472,0.0843581809962714,0.1641354873888791,0.0664096517745066,0.9298032531451684,-0.7619305705648517,0.784633871946406,0.0081206937529008,0.784633871946406,3.234786972118181,637.8873401681834,1.0605294356659145,0.8358645126111209,0.995528946216698,0.0701967468548314,0.0050710944839653,-2.960051060097862,4.46,0,0
(주)기도스포츠,0.0282640538743255,0.2415770259354739,0.149441998961935,-0.0681411063956843,0.1566907209192821,-0.7252135390095532,-0.0596958074243527,0.8433092790807178,0.1104738904558208,21.44094742416772,3.1953945266435464,0.87606161070689,22.525602123009296,11.148483625563694,0.3212920403999462,0.0823148000048112,0.0670979759599633,0.7077654130857314,-0.617326094413635,0.740921963892096,0.0030465146987172,0.740921963892096,0.8457418460492173,-2695.658269084591,1.2276066245850792,0.9176851999951888,0.991146758364734,0.2922346167608889,-0.0003137422334828,1.6194042679170866,3.42,0,1
(주)기독교텔레비젼,-0.0125363989455547,0.3441432900707644,-0.0532202602278967,0.3357796143048294,-1.576498290462498,0.1383493316139344,0.032891386351882,2.576498290462498,1.2657496480363966,4.533958962939399,9687.58908839779,0.0979552806383962,0.1083888054551086,3.206248032377977,0.082506140837087,0.2377415631010482,0.0824709094696291,0.9390324496708644,-0.6779780567562751,0.4582499070816001,0.0519424791317452,0.4582499070816001,4.678154195415336,40.2592270607761,1.6125384766391833,0.7622584189072005,0.9694161307457756,0.0609675503291357,0.1162007951209074,-13.154755164739504,4.11,1,0
(주)기흥금속,-0.093860930055447,-0.3353552193160046,-0.1221813442569117,-0.2290099623673315,0.1054869760586138,-0.6722407810174208,-0.1001689820336746,0.8945130239413862,0.3398594597422472,22.32892695164474,4.036274654101332,0.4374001069569359,0.5183770287283843,5.711066849592349,0.2290324491639638,0.1490075949901035,0.0463200922286165,0.8784894631427625,-0.409027984216029,0.7019989395286658,0.0075986756037173,0.7019989395286658,1.604935454663208,-63.58186630708917,0.7557540206962124,0.850992336085463,0.6234351339916013,0.1215105368572374,-0.0252420312249353,-6.535749282641461,2.11,0,0
(주)꼬끼오,0.0256476012034566,0.0020757602562004,0.3757353883367003,-0.1951099780553728,0.3041330424138324,-0.620328941454243,-0.2254534012666553,0.6958669575861676,0.4627228571674771,45.74324779306097,1.5982424435338651,1.155519587023227,6.124194949261739,1.751472883186734,0.8980586951280963,0.3634416939150426,0.0737845617316845,0.4518569807379659,-0.062221339143124,0.4408442414422767,0.0071990768433225,0.4408442414422767,0.3815116994926502,-116.10923428550616,1.3845351737118656,0.6365582715116501,0.9588507222688528,0.5481430192620341,-0.0032857998060217,-7.239285036268552,7.33,1,0
(주)남선기공,-0.0248210883448669,-0.0254421476381837,0.2684819884479556,0.0485229748593745,0.1863283900924345,0.1240374664032541,0.0777167706991805,0.8136715665137019,0.1533556062463383,5.421450749507488,3.3617290736854257,1.6016489286655042,8.366622796906002,0.5960194165064708,3.035995640849692,0.6265588370413667,1.5432280621371612,0.211570787864719,0.5287354228798322,0.0486512145775719,0.3701905629534314,0.0486512145775719,0.0303757045047994,-1.2652302086364613,5.337868571428571,0.3734412324603683,0.6954073805521968,0.7884292121352809,-0.0240080455694583,36.14718614718615,2.8,0,1
(주)남양개발,0.141780675569222,0.5929299954414168,0.63146035879711,0.1458214340051291,0.3632808948678644,0.0921216853702742,0.0370820808062698,0.6367191051321355,0.1160083182876179,176.69573878346685,1.087467911087694,0.2542978750638638,0.5142329042026755,1.4842641881816525,0.9016562879624076,0.4025336776810143,0.5145076137334322,0.6532332875172359,-0.0378218686786881,0.4533364778475041,0.0038719903146328,0.4533364778475041,1.78269864714227,-1660.55576608112,0.8483512797988925,0.5974663223189857,0.6436991790076521,0.3467667124827642,-0.0010735554225615,4.90696603630557,3.15,1,1
(주)남양개발,0.141780675569222,0.5929299954414168,0.63146035879711,0.1458214340051291,0.3632808948678644,0.0921216853702742,0.0370820808062698,0.6367191051321355,0.1160083182876179,176.69573878346685,1.087467911087694,0.2542978750638638,0.5142329042026755,1.4842641881816525,0.9016562879624076,0.4025336776810143,0.5145076137334322,0.6532332875172359,-0.0378218686786881,0.4533364778475041,0.0038719903146328,0.4533364778475041,1.78269864714227,-1660.55576608112,0.8483512797988925,0.5974663223189857,0.6436991790076521,0.3467667124827642,-0.0010735554225615,4.90696603630557,3.15,1,1
