,구분,이자보상배율2016,영업이익2016,차입금의존도2016,총자본증가율2016,유동자산증가율2016,매출액증가율2016,순이익증가율2016,영업이익증가율2016,매출액순이익률2016,매출액총이익률2016,자기자본순이익률2016,총자본순이익률2016,매출원가 대 매출액비율2016,매출채권회전률2016,재고자산회전률2016,총자본회전률2016,유형자산회전율2016,부채비율2016,유동비율2016,자기자본배율2016,당좌비율2016,비유동비율2016,순운전자본비율2016,현금비율2016,부채2016,자산2016,매출액2016,부채/현금흐름2016,유동부채2016,유동자산2016,매출/현금흐름2016,차입금평균이자율2016,정상기업여부
0,(주)HJ중공업,0.4,-79319000,53.67,-15.45,5.33,-5.52,0,0,-17.34,7.89,-29.31,-7.81,92.11,8.63,3.11,0.45,1.71,333.73,106.91,170.51,74.48,244.65,2.82,6.19,4361281000.0,5256464000.0,2813271000.0,3.12,2636927000.0,2372221000.0,4.88,5.72,0
1,(주)STX,-2.95,-34169000,115.77,-40.65,-33.44,7.59,0,0,-31.12,-1.95,0,-54.14,101.95,8.3,10.35,1.74,34.68,0.0,48.26,0.0,32.98,0.0,-75.37,2.12,1038305000.0,707709000.0,1720153000.0,3.17,974743000.0,486347000.0,2.07,4.63,0
2,(주)국보,-0.35,204105,36.75,-3.33,-4.46,-8.79,0,0,-6.47,6.86,-33.21,-6.39,93.14,4.62,196.92,0.99,1.94,487.0,45.86,257.0,45.15,400.57,-37.5,0.25,66033326.0,81308887.0,87333326.0,-0.4,54893083.0,26046898.0,-0.33,4.92,0
3,(주)나노엔텍,-37.54,-9685305,25.71,-18.37,-10.27,6.84,0,0,-87.01,14.2,-45.21,-32.61,85.8,1.6,4.55,0.37,1.41,72.73,391.0,226.45,303.26,85.95,37.39,124.93,20131098.0,45707894.0,22205895.0,-8.08,6148991.0,21923466.0,-8.16,3.01,0
4,(주)뉴인텍,-3.08,-9271971,35.3,-17.64,-3.93,-6.39,0,0,-22.16,3.92,-48.85,-20.1,96.08,4.55,7.15,0.91,2.51,127.29,96.2,77.71,63.4,131.2,-1.67,6.85,25479844.0,44566833.0,47895458.0,4.86,20250203.0,21589024.0,2.71,5.44,0
5,(주)대창솔루션,-3.55,-6047049,45.74,-2.65,-14.8,-16.42,0,0,-30.93,-5.81,-19.6,-9.22,105.81,4.32,3.54,0.3,0.41,124.02,51.41,963.21,30.17,179.73,-18.69,1.5,88233105.0,146530880.0,49327918.0,-3.58,65488300.0,29894089.0,-6.56,3.72,0
6,(주)동양에스텍,2.9,3896794,32.58,14.06,11.78,8.51,0,197.94,3.25,6.75,9.08,4.6,93.25,3.88,13.17,1.42,7.84,101.06,97.91,1006.37,76.54,103.37,-1.04,1.36,68125400.0,120249193.0,151970509.0,10.4,58235521.0,56288467.0,3.93,3.37,1
7,(주)디에스앤엘,-0.87,-2007260,50.51,-13.94,-21.96,173.35,0,0,-45.91,10.8,-243.48,-74.6,89.2,6.58,31.68,1.62,6.14,351.46,238.66,53.88,236.08,219.81,29.81,0.7,22666296.0,28784785.0,50063640.0,-19.93,19439355.0,14296567.0,-8.83,13.05,0
8,(주)마니커,-1.08,-3494772,35.03,-8.7,-40.16,-21.91,0,0,0.86,6.78,2.23,1,93.22,10.02,52.96,1.16,3.1,94.3,57.04,156.69,52.86,148.68,-17.68,2.37,114701593.0,211971928.0,229830938.0,7.27,88621021.0,47164890.0,2.9,5.82,0
9,(주)메타랩스,-6.81,-32499667,38.79,-32.41,-42.31,-18.63,0,0,-59.34,24.02,-213.54,-46.27,75.98,9.04,2.15,0.78,3.3,240.13,93.04,66.58,54.47,139.51,-4.41,30.07,53312138.0,76691075.0,92066962.0,-18.02,47625014.0,53226146.0,-13.16,11.84,0
