,영업이익2013,차입금의존도2013,총자본증가율2013,유동자산증가율2013,매출액증가율2013,순이익증가율2013,영업이익증가율2013,매출액순이익률2013,매출액총이익률2013,자기자본순이익률2013,총자본순이익률2013,매출원가 대 매출액비율2013,매출채권회전률2013,재고자산회전률2013,총자본회전률2013,유형자산회전율2013.0,부채비율2013.0,유동비율2013.0,자기자본배율2013.0,당좌비율2013.0,비유동비율2013.0,순운전자본비율2013.0,현금비율2013.0,부채2013.0,자산2013.0,매출액2013.0,부채/현금흐름2013.0,유동부채2013.0,유동자산2013.0,매출/현금흐름2013.0,차입금평균이자율2013.0,이자보상배율2014,영업이익2014,차입금의존도2014,총자본증가율2014,유동자산증가율2014,매출액증가율2014,순이익증가율2014,영업이익증가율2014,매출액순이익률2014,매출액총이익률2014,자기자본순이익률2014,총자본순이익률2014,매출원가 대 매출액비율2014,매출채권회전률2014,재고자산회전률2014,총자본회전률2014,유형자산회전율2014.0,부채비율2014.0,유동비율2014.0,자기자본배율2014.0,당좌비율2014.0,비유동비율2014.0,순운전자본비율2014.0,현금비율2014.0,부채2014.0,자산2014.0,매출액2014.0,부채/현금흐름2014.0,유동부채2014.0,유동자산2014.0,매출/현금흐름2014.0,차입금평균이자율2014.0,이자보상배율2015,영업이익2015,차입금의존도2015,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015.0,부채비율2015.0,유동비율2015.0,자기자본배율2015.0,당좌비율2015.0,비유동비율2015.0,순운전자본비율2015.0,현금비율2015.0,부채2015.0,자산2015.0,매출액2015.0,부채/현금흐름2015.0,유동부채2015.0,유동자산2015.0,매출/현금흐름2015.0,차입금평균이자율2015.0
0,18,2251,2050,2047,2686,7191,6429,633,2393,1632,25,2392,2016,3854,755,1099,1523,11,1519,12,1540,5,289,6,0,620,118,9,1,724,2403,16,3,2276,41,32,737,6234,5297,427,2219,1688,9,2220,1829,3725,540,910,1544,6,1540,9,1558,1,298,3,0,414,42,3,0,450,2400,22,6,2482,32,22,536,6308,5393,384,2233,1724,16,2233,1808,3746,509,886,1593,16,1584,17,1605,5,294,9,1,376,49,12,1,415,2452
9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
