,구분,이자보상배율1999,영업이익1999,차입금의존도1999,총자본증가율1999,유동자산증가율1999,매출액증가율1999,순이익증가율1999,영업이익증가율1999,매출액순이익률1999,매출액총이익률1999,자기자본순이익률1999,총자본순이익률1999,매출원가 대 매출액비율1999,매출채권회전률1999,재고자산회전률1999,총자본회전률1999,유형자산회전율1999,부채비율1999,유동비율1999,자기자본배율1999,당좌비율1999,비유동비율1999,순운전자본비율1999,현금비율1999,부채1999,자산1999,매출액1999,부채/현금흐름1999,유동부채1999,유동자산1999,매출/현금흐름1999,차입금평균이자율1999,정상기업여부
96,삼화콘덴서공업(주),3.95,4144608,19.12,43.71,24.99,26.04,0,0,3.4,14.25,12.24,5.24,85.75,7.04,8.76,1.54,4.6,120.53,119.85,587.05,82.79,117.96,7.7,0.21,33281827,60894574,79674925,19.37,23630815,28321498,8.09,9.58,1
97,서울식품공업(주),-0.8,-1796309,28.09,18.82,30.17,-12.29,0,0,-12.21,24.27,-24.1,-9.13,75.73,2.22,17.5,0.75,1.91,113.31,138.15,122.31,126.79,102.44,14.35,31.07,25067959,47191612,32493433,-10.73,17755877,24528944,-8.28,15.7,0
98,성창기업지주(주),0.22,4229696,51.25,1.76,21.93,-1.05,0,0,-14.56,14.32,-31.42,-8.34,85.68,9.2,10.35,0.57,0.7,346.33,58.65,408.69,38.77,370.83,-11.93,3.11,212312048,273616184,155372313,-15.07,78914411,46283471,-20.59,14.11,0
99,세방(주),0.23,3762390,38.13,10.95,-6.03,-3.76,156.16,-77.98,1.75,8.44,1.89,0.81,91.56,3.98,207.79,0.46,0.97,119.51,92.07,3278.94,91.34,161.97,-2.26,1.12,268219870,492651125,217446353,3.68,140266605,129138741,4.54,9.09,0
100,신라섬유(주),-3.56,-2275750,43.4,-5.6,-4.61,-29.39,0,0,-8.14,4.68,-8.56,-3.85,95.32,9.48,2.58,0.47,0.77,124.67,64.26,1596.57,28.07,152.03,-17.98,2.17,29857265,53805857,26212179,3.15,27074035,17397220,3.59,4.18,0
101,신일전자(주),0.37,3005407,41.63,-15.81,-3.38,16.16,0,0,0.56,15.08,1.28,0.38,84.92,3.52,3.44,0.67,1.84,206.72,94.37,253.49,68.58,135.95,-3.32,11.01,63404981,94077562,69243857,13.51,55489183,52363140,12.37,15.88,0
102,쌍용씨앤이(주),0.14,73198689,59.88,-5.37,-45.75,6.7,0,-5.48,7.43,15.88,6.28,1.53,84.12,5.61,15.89,0.21,0.33,320.65,36.06,218.27,33.13,352.76,-28.61,0.14,3991923337,5236885821,1108148096,-2.81,2343718547,845193091,-10.12,15.96,0
103,쌍용자동차(주),-2.56,-489439515,78.77,-21.36,-24.73,71.21,0,0,-79.03,-9.41,-218.24,-31.72,109.41,4.2,5.29,0.4,0.6,0,54.66,-17.73,43.79,0,-19.95,1.41,3044115854,2982772896,1359736355,-1.78,1312771267,717571984,-3.99,8.09,0
104,씨제이대한통운(주),0.99,60116194,40.09,-10.48,-16.84,4.99,0,111.55,1.42,11.43,2.68,1.04,88.57,5.52,63.55,0.74,1.28,151.84,51.54,414.54,49.42,189.18,-23.39,1.79,767917061,1273656754,993039880,12.02,614760312,316875394,9.29,10.4,0
105,아남전자(주),-0.38,-17317416,190.54,-14.75,-13.32,-43.99,0,0,-36.22,5.37,0,-32.65,94.63,2.42,5.14,0.9,4.32,0,30.74,0,24.06,0,-161.19,1.93,413218119,175436143,171823768,1.93,408281833,125504263,4.65,13.89,0
