구분,총자산증가율2009,유동자산증가율2009,매출액증가율2009,매출액순이익률2009,매출원가대매출액비율2009,자기자본순이익률2009,총자산순이익률2009,매출액대판매관리비2009,매출채권회전율2009,재고자산회전율2009,총자본회전율2009,유형자산회전율2009,부채비율2009,유동비율2009,자기자본배율2009,당좌비율2009,고정비율2009,순운전자본비율2009,차입금의존도2009,현금비율2009,부채/자산2009,부채/매출액2009,부채/현금흐름2009,유동부채/부채2009,현금흐름/매출액2009,차입금평균금리2009,이자보상배율2009,매출,자산,업종,정상기업여부
(주)TS푸드앤시스템,0.2468693132237062,-0.0825142424095921,0.2292394119236548,0.0095649275082564,0.7776677283331835,0.0540016118528651,0.0159643220699376,0.1941006508670276,5.188932949666378,15.170487874156333,1.669047889401898,4.270821315800508,2.3826435984121983,0.7122045827828972,0.295626769686702,0.5639877713763152,0.5888780874290557,-0.1661306388862645,0.3332863183605535,0.0114230369577144,0.7043732303132979,0.4220209826128533,-284.53958637196604,0.8195265331143445,-0.0014831714208692,7.09,1.7505464363408112,2,1,1,1
(주)강앤파트너스,-0.3419179107960562,-0.3506255917575844,5.236693587731979,0.1812153368755984,0.7744515604851824,0.1837022485475048,0.1758086118992624,0.0864040122612857,1.914677072924837,3.938789882610108,0.970164087270121,15.343419711135851,0.0448990328913205,193.97261667036463,0.9570302665827136,153.5405110568745,0.0848533270804622,0.9104287560886548,0.0,16.063863619554766,0.0429697334172865,0.0442912018503963,0.7480875802441762,0.1097962788148238,0.0592059045224888,1.97,104.64538815255612,1,0,1,1
(주)경인일보,-0.026340175323459,-0.0823694470291775,0.0041440043498929,-0.0441523343954717,0.641471342054743,-0.0652377755842276,-0.0374660761074989,0.4009561224691749,3.786619952505188,230.335234338912,0.8485638782293117,1.1496840797754742,0.7412492142770771,0.8585825686047656,0.5743003309352102,0.8496090944469076,0.7738883843844732,-0.0372429222980114,0.2078290417615875,0.0116602872194075,0.4256996690647899,0.5016707403962238,644.4112749459769,0.6186392826945251,0.000778494666218,8.99,-1.9150685298630297,1,1,1,0
(주)고산,0.1382732569006786,0.521266938513884,-0.2013983449950993,0.0246839149487703,0.8930391817338991,0.0323463506497926,0.0167917473275186,0.1052648951940005,4.441797827941784,12.896059383344902,0.680270830715818,1.9906854094940376,0.9263242841191888,0.8663294380616621,0.5191233938356593,0.7202928270524666,0.7205419238851202,-0.0431190681411705,0.2540966461902704,0.1047630539794826,0.4808766061643407,0.706889939200151,373.3721558638257,0.6708106406528098,0.0018932583163966,5.9,0.0829130278245963,1,2,0,1
(주)광성전자,-0.7205365843755076,-0.4100901999422982,-0.3487497674060481,-0.3549505333185799,0.8833110769897702,-0.0590764135575997,-0.0567065618132616,0.4936633840454605,4.109896339488176,21.00086489603229,0.1597590551085765,0.4657835608169288,0.0417916167265863,6.170794390749444,0.9598849760568582,5.96011343016149,0.8031851946023502,0.1649202399762687,0.0143997869030106,0.1765152492958067,0.0401151450209767,0.2510977859359108,9.729736873017735,0.7950754111621197,0.025807253496469,5.26,-81.89134013829437,0,0,0,0
(주)광성텍,0.960384299564778,3.2650620366615413,0.3361878952764898,-0.0368309586462177,0.8336074083525705,-0.2481207433840483,-0.0139764469531395,0.1876200496393563,3.451623324039044,0.5924395717666391,0.3794755137217916,1.2839769734841548,16.752776385419843,1.1160382034745129,0.0563292160200665,0.2398028703869837,0.3199206643418205,0.0707101076789874,0.509589419778401,0.0371645908052186,0.9436707599501843,2.4867764212107404,57.022247874603416,0.645743441262937,0.0436106346891017,4.44,-0.3790427537141377,1,1,0,0
(주)금호에이엠티,0.2035727457635572,0.1175487557750981,0.70356686895082,-0.8096486522138471,1.2258969426249968,-0.8002902699932637,-0.1754448617434242,0.4626650068922972,4.462126313635884,4.194445469798658,0.2166925879067419,0.3141010884846739,3.561491518079104,0.3700976414170108,0.2192265335737507,0.2226966382864089,0.8409845422274468,-0.2706426647805195,0.3977704678508217,0.0936843431013084,0.7807734398607971,3.6031386555631455,30.12725886092623,0.5502980770320208,0.1195972946691231,6.21,-3.813049310853765,1,1,0,0
(주)기독교텔레비젼,0.0433912345360254,0.1293221106533787,-0.0217021809648345,0.0067291371616355,2.3434263946749136,0.0024685979028056,0.0010542102135143,1.7026950436551267,4.670855389727589,218.74810521622825,0.1566635050218132,0.1777838132812021,1.3416562191863295,0.1684240573482774,0.4270481686451294,0.1652774481248372,0.9101669448249028,-0.4435411942608663,0.4143710298315801,0.1016416304490072,0.5729518313548705,3.65721315423841,39.1265122390384,0.9309233695521714,0.0934714837830455,5.09,-23.076681989855,0,1,1,0
(주)남선기공,-0.0747838545171897,-0.1561602265830467,-0.4248333854795978,-0.1530101822307279,0.992120068319541,-0.1234955314202658,-0.0859407284142137,0.2445449153767296,4.058610207455603,1.562770028196684,0.5616667280653359,1.5673812266554965,0.4369849278568702,3.654566170824363,0.6959015231227283,1.4733299995753093,0.4025782937795601,0.4339490316825264,0.0895023724383229,0.3501142264871538,0.3040984768772716,0.5414215613674331,-18.28374109701341,0.5375649237595096,-0.0296121870515806,4.61,-22.82188456375839,1,1,0,0
(주)내성기업,-0.0162768700917875,-0.0276730155039563,-0.0690503468873615,0.0007042062648632,0.980467341423286,0.0874474900599912,0.0040519189857068,0.0328969290524209,1411.337029201014,31.14370488698499,5.753880912283123,52.6310122196394,20.58174691262627,0.3341705412477283,0.0463354520858993,0.1431046604879077,0.6831828029508035,-0.6312531979840169,0.0068761131913829,0.0022042207381028,0.9536645479141008,0.1657428373045158,-70.80480547609194,0.9941340454637608,-0.0023408416447169,3.66,-610.6494345718902,2,1,1,0
