,구분,이자보상배율2017,영업이익2017,차입금의존도2017,총자본증가율2017,유동자산증가율2017,매출액증가율2017,순이익증가율2017,영업이익증가율2017,매출액순이익률2017,매출액총이익률2017,자기자본순이익률2017,총자본순이익률2017,매출원가 대 매출액비율2017,매출채권회전률2017,재고자산회전률2017,총자본회전률2017,유형자산회전율2017,부채비율2017,유동비율2017,자기자본배율2017,당좌비율2017,비유동비율2017,순운전자본비율2017,현금비율2017,부채2017,자산2017,매출액2017,부채/현금흐름2017,유동부채2017,유동자산2017,매출/현금흐름2017,차입금평균이자율2017,정상기업여부
2498,(주)칸,0.91,239132.0,49.36,5.27,98.93,3.4,0.0,1218.55,-1.11,0.0,-0.29,-0.08,0.0,0.0,77.48,0.07,0.08,99.51,37.09,567.54,36.77,175.1,-20.75,0.07,7737079.0,15512426.0,1050343.0,1.75,5117446.0,1898139.0,12.93,2.37,1
2499,(주)칸타빌,-0.69,-179932.0,0.0,-87.41,-87.77,-87.26,-31.76,0.0,4.08,19.2,7.11,1.37,80.8,0.48,16.55,0.34,6251876.0,11.81,1753.01,557.38,1730.27,3.68,91.19,127.13,658089.0,6231907.0,9377814.0,618.12,343789.0,6026640.0,43.38,1.31,1
2500,(주)캐이씨디엔엘,0.0,-1997.0,98.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.46,0.0,0.0,0.0,0.0,0.0,0.0,44.22,0.0,34.2,0.0,-126.13,0.0,117109034.0,51780950.0,0.0,-0.08,117092106.0,51780950.0,0.0,21.84,0
2501,(주)캘리브텍,-9.53,-2239982.0,3.45,-41.24,-50.56,-79.07,0.0,0.0,-192.99,-61.85,0.0,-37.79,161.85,2.1,75.37,0.2,0.23,0.0,73.29,0.0,73.29,0.0,-4.13,4.83,6602070.0,5770344.0,1526490.0,4.5,892871.0,654424.0,19.48,5.17,1
2502,(주)컨시드,-67.09,-90567.0,240.25,-0.67,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,-0.95,0.0,0.0,0.0,0.0,0.0,0.0,31.22,0.0,3.92,0.0,-220.15,0.02,30765166.0,9599774.0,0.0,-0.57,30729148.0,9594774.0,0.0,0.01,0
2503,(주)케이.엠.피이,-4.16,-3348127.0,90.97,-14.48,-29.34,-74.42,0.0,0.0,-16.0,-8.94,0.0,-8.02,108.94,8.91,13.81,0.5,0.56,0.0,9.75,0.0,5.16,0.0,-83.31,0.45,30005486.0,23088440.0,12551572.0,1.8,21311696.0,2077515.0,4.3,3.47,0
2504,(주)케이디전자,-1.86,-236639.0,92.26,-2.7,-17.64,-9.92,0.0,0.0,-57.26,-13.43,-49.08,-3.4,113.43,0.0,0.0,0.06,0.08,1789.35,0.82,62.23,0.82,1874.93,-92.47,0.34,10021163.0,10581208.0,636172.0,-1.67,9865488.0,80735.0,-26.33,1.31,0
2505,(주)케이비에이치,-4.96,-2110374.0,97.53,92.74,94.41,-70.17,0.0,0.0,-73.57,-45.93,0.0,-11.62,145.93,0.0,0.17,0.16,64.2,0.0,232.63,0.0,14.15,0.0,56.5,0.52,30625827.0,28847252.0,3460545.0,-33.93,12288993.0,28588467.0,-300.27,2.02,0
2506,(주)케이아이,2.46,247390.0,78.78,0.5,16.1,7.29,88.69,34.25,24.71,0.0,20.1,1.54,0.0,0.0,0.0,0.06,0.07,1088.0,19.24,175.98,19.24,1087.97,-35.35,5.52,7658570.0,8362484.0,520231.0,2.14,3660220.0,704108.0,31.57,1.51,0
2507,(주)케이앤튤립,-2.69,-616797.0,68.02,-13.14,44.35,1.21,0.0,0.0,-12.17,45.48,-158.68,-11.12,54.52,14.53,10.0,0.91,2.8,6322.56,23.13,18.06,11.38,4975.69,-74.85,1.82,6937371.0,7047095.0,6922708.0,-2.8,6862371.0,1587563.0,-2.8,4.33,1
2508,(주)케이에이치엠홀딩스,1.2,1163329.0,77.06,-1.14,267.65,4.92,157.33,2.73,8.95,84.2,57.7,0.68,15.8,0.0,0.0,0.08,0.08,6414.9,3.29,378.44,3.29,6503.42,-5.18,0.16,24276290.0,24654727.0,1894343.0,2.2,1320305.0,43434.0,28.2,5.02,0
2509,(주)케이엠레텍,-194.56,-1545009.0,0.0,-12.22,-10.83,-4.96,0.0,0.0,-10.2,-4.88,0.0,-29.94,104.88,23.62,4.23,2.94,23.02,0.0,115.29,0.0,22.07,0.0,11.47,1.76,9986466.0,4905200.0,15404237.0,-3.42,3679506.0,4241978.0,-2.22,0.19,1
2510,(주)케이와이제이로드,999999999.0,-187271.0,97.46,12.31,1.36,-8.52,0.0,0.0,-2.95,37.96,0.0,-4.06,62.04,8.7,1.96,1.37,40.33,0.0,54.2,0.0,9.63,0.0,-71.27,0.19,17174103.0,9557070.0,12411550.0,-7.54,14873876.0,8062374.0,-10.44,0.0,0
2511,(주)케이원임산,14.38,2508020.0,59.21,-7.24,-7.09,20.57,92.68,43.86,8.56,14.15,112.87,18.3,85.85,4.47,6.74,2.14,11.18,279.36,119.95,684.22,74.67,72.32,13.46,2.36,8888213.0,12069847.0,26820595.0,4.32,8144054.0,9768971.0,1.43,2.01,1
