구분,총자산증가율2013,유동자산증가율2013,매출액증가율2013,매출액순이익률2013,매출원가대매출액비율2013,자기자본순이익률2013,총자산순이익률2013,매출액대판매관리비2013,매출채권회전율2013,재고자산회전율2013,총자본회전율2013,유형자산회전율2013,부채비율2013,유동비율2013,자기자본배율2013,당좌비율2013,고정비율2013,순운전자본비율2013,차입금의존도2013,현금비율2013,부채/자산2013,부채/매출액2013,부채/현금흐름2013,유동부채/부채2013,현금흐름/매출액2013,차입금평균금리2013,이자보상배율2013,정상기업여부
주식회사화신정공,0.06251674453187557,0.31554942985275963,0.23559054286109002,0.013884449626227731,0.8552700484442146,0.07911185450825615,0.013885768014087762,0.10066003554803665,11.548023895531932,9.760487018333654,1.0000949542758641,1.3619443980756478,4.697333732494557,0.4245443336223549,0.1755206991467838,0.26705519500123986,0.7637643416370737,-0.3202095457157251,0.5188239658394799,0.05668100000342084,0.8244793008532162,0.8244010204512976,27.101397207331484,0.6749050018633718,0.03041913352822563,5.27,1.4225844154359655,1
주식회사화인인터내셔날,-0.08996378765628743,-0.16010508378513605,-0.39027795014700656,0.17929492882943698,0.8950908814556796,0.7011028454307121,0.10608653376411611,0.08995150443551957,5.761692497641265,5.148804895970689,0.591687307927354,2.688068421443292,5.608782665947192,0.5591781810886213,0.15131379719182772,0.3946148960392438,0.6504814582338336,-0.2755390044451601,0.695246571123804,0.018572641471054342,0.8486862028081723,1.4343491763936433,-226.34455545062434,0.7365001859852405,-0.006337016472687092,6.55,0.16283722411706794,0
주식회사환웅정공,-0.1500018989020155,-0.42561576871194495,0.37991323184577236,-0.06211906577093244,0.9691233885751803,-0.12319619147051207,-0.05261018132959814,0.06417495641650743,34.18774372821341,8.255671847792158,0.846924863995881,1.2862850523257625,1.3416796588990791,0.49038499924700374,0.4270438939842615,0.2825419744001156,0.7654295513888303,-0.24376889282508635,0.37927303108042737,0.0032408453758862063,0.5729561060157384,0.676513502405008,-64.55780711629653,0.8348620684683205,-0.010479189622818425,4.84,-1.246110256385754,0
주식회사황보,-0.09884088508503532,0.3669464416044226,-0.09657906282272566,-0.13060680947156147,0.81178129140733,-0.0985654098166569,-0.03424372155057289,0.17993001063634884,54.26354872117423,10.456584248259174,0.26218940412926306,0.2719315125826762,1.8783497839140995,0.08453291297629874,0.3474212871865514,0.03124084710329125,0.9677129929239098,-0.3496588403720443,0.47948782952127433,0.008650314794483301,0.6525786997140172,2.488959086204287,481.34081181097037,0.5852870075533956,0.005170887290524906,4.19,0.08643324101339368,0
주식회사훼미리종합건설,0.4752061486048798,0.6128280741595117,0.6366603278840667,0.006543088607500345,0.8785683723665292,0.01576853134472477,0.004958254289438953,0.0984846898891613,1.603098909026527,7.349077568452147,0.7577849830361925,7.9838375569850815,2.1802587007914522,1.3357534705469956,0.3144398283545725,1.1945308179017025,0.1431384112042948,0.2153797527464097,0.2461339536012392,0.0013432176950594656,0.6855601716454275,0.9046895715703099,2650.9267428755434,0.9357046435612811,0.0003412729431326966,8.37,0.9640731694930122,0
중도가스주식회사,0.4806629055306467,-0.07137079155640778,-0.022982033669074885,-0.005104961029033763,0.8895030386002435,-0.022285391556402977,-0.008975861916358923,0.10417647411598027,13.894812428452173,59.68997433393145,1.7582625734672495,2.1579443663347546,1.4828135463834202,0.3281977083840864,0.40276886738299206,0.27985437616426373,0.822119337745435,-0.36411173351924425,0.31430332699503544,0.030234734135729812,0.5972311326170079,0.3396711854244177,-400.8884914294015,0.9075086112789399,-0.0008472959256407976,6.47,0.47157346887705787,0
중도석유주식회사,0.12433424235020238,0.26374981367797795,0.3147853618727006,0.016691391901690385,0.9655542033585421,0.13425200080492133,0.05522181585584556,0.03958881619926067,16.474610317063746,61.721255479826034,3.308400891974329,5.525954001766298,1.4311407052914726,0.4780785487454763,0.411329555796246,0.385131343335494,0.733790998814569,-0.29062209254171656,0.1836181816248465,0.025256797365480532,0.5886704705894676,0.17793202511143422,-342.9805220760054,0.9459130728428798,-0.0005187817198319035,5.21,-1.2962695687832178,0
중부모터스주식회사,-0.25563952915719007,-0.5725736080181342,0.3498077098178839,-0.04169105493123309,0.8959741394203915,-14.065196548418024,-0.10254240587294679,0.14174899469826857,70.48229383142626,13.21220663234125,2.4595781047537506,3.5023867029767533,136.16468253968253,0.26523941002646007,0.007290506429821643,0.08684537850010855,0.7520075444742154,-0.6869834422906264,0.8245943723806538,0.008236960473533853,0.9927094935701783,0.4036096644589243,-75.11899532040874,0.9418424059327424,-0.005372937467246309,4.01,-2.516153236571001,0
중앙기업,0.057664444349088025,-0.34062218836642344,-0.03554074119496993,0.0011047893785203996,0.8719977320885253,0.0005459956033064381,0.0002514889873346911,0.196122670677697,7.5591085315671185,90.08051669134052,0.22763523276400457,0.29252488136988664,1.1710517390560975,0.6798302633516322,0.46060624996195043,0.6725728057271554,0.7935856179634859,-0.0972119687806299,0.46717652898102163,0.021410249057350696,0.5393937500380496,2.3695530058708147,-7.784848097018439,0.5629029828316062,-0.30438012101717726,4.38,-0.866418073294397,0
중앙산업주식회사,-0.002912261179287388,-0.0024772236239744964,-0.16574650734954607,-0.0618313326616943,0.723145344462551,-0.010610463529591338,-0.0055441707995998535,0.28331780343208485,1.203469246381719,4.553422573882846,0.08966604083942985,0.21836903518470877,0.9138053124837245,0.09374859426181649,0.5225191891134455,0.06156099529216862,0.9585244823569814,-0.4009366376495478,0.42257711647384727,0.013832066143190594,0.4774808108865545,5.3251019719004535,-1657.2487353915926,0.9265548378187701,-0.0032132183046392135,5.46,-0.026067898834444034,0
중앙일보(주),-0.038758976379238017,-0.0753260465667911,-0.02255181547840699,0.0019015300313487873,0.5771266757568212,0.0068470248974639965,0.0013274175849292266,0.4042920728046963,3.1946291406084644,59.34817603792731,0.6980786856085923,2.1564929275897153,4.158154419218585,0.4963790180518275,0.1938677899975033,0.4841938750540349,0.7234644695080421,-0.2805700668173726,0.31011232959489954,0.0324669804961533,0.806132207722259,1.1547870237858138,5602.60373052725,0.6910846504982161,0.00020611613444899822,6.91,0.3029808131256698,0
