구분,총자산증가율2015,유동자산증가율2015,매출액증가율2015,매출액순이익률2015,매출총이익률2015,자기자본순이익률2015,총자산순이익률2015,매출원가대매출액비율2015,매출액대판매관리비2015,매출채권회전율2015,재고자산회전율2015,총자본회전율2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,고정비율2015,순운전자본비율2015,차입금의존도2015,현금비율2015,부채/총자산2015,부채/매출액2015,부채/현금흐름2015,유동부채/부채2015,총부채/총자산2015,유동부채/총부채2015,유동자산/총자산2015,현금흐름/매출액2015,이자보상배율2015,차입금평균금리2015,정상기업여부
(주)HJ중공업,-0.0858767559507434,-0.0823539943207528,0.2361393867854344,-0.0837513276475193,0.035640174060247,-0.1906525626027974,-0.0441151333547604,0.964359825939753,0.0611162414182372,15.309524862530036,3.437657469638824,0.5267395108102154,2.5463862334571323,3.3217043246730755,0.7082637313430226,0.2313901935148344,0.4534758432262906,0.589239542511231,-0.1691936462034779,0.2179276598039744,0.0514623268841805,0.2179276598039744,0.4137294722181832,-9.52445097981261,2.6612230141594444,0.7686098064851655,0.754549446024327,0.4107604574887689,-0.0434386688634438,-0.6099425945422549,5.68,0
(주)골드앤에스,-0.4819925966194378,0.0193667542427887,-0.2905107241449483,-0.4280824770412202,0.315276353408549,-0.6268065825282347,-0.3942622993670177,0.6847236465914509,0.2637505245420351,3.040439830946777,6.523744713215266,0.9209961175987448,74.04766511330013,0.5898212523352181,1.934332545958921,0.6290015299085632,1.64100397665625,0.3625399934130204,0.3079096363992273,0.0188533411246342,0.3899497586132138,0.0188533411246342,0.0204705978281313,1.152268122538715,17.479680021126526,0.3709984700914369,0.8882795934617483,0.6374600065869795,0.017765481338692,2.03084888591381,7.93,1
(주)나노엔텍,0.2178829906986736,0.087232650833897,0.2738988126207872,-0.3007845707184529,0.2448686590242662,-0.1945223933632754,-0.1418050320525881,0.7551313409757338,0.5351806386295017,1.8664061240244487,3.247886279151755,0.4714504860201876,1.9368316616134036,0.37175945414361,3.283777416421489,0.7289907840469745,2.529787327100046,0.5226182985638832,0.3320059219911306,0.0888264505582391,0.9949916540623532,0.0888264505582391,0.188410985230028,0.8200971464649695,1.6366271367521368,0.2710092159530255,0.536423748298598,0.4773817014361168,0.2297422763171095,-69.88429744056906,4.83,0
(주)녹원씨엔아이,0.1315188966955817,-0.1781976286982965,0.4460991921266631,-1.886596531537954,0.4659635416489009,-0.757463739459314,-0.557626722402393,0.534036458351099,0.4038232081738965,1.9321461835078653,5.271755805386709,0.2955728546515536,49.25362051006351,0.3583705891926664,3.45163642356317,0.7361761274545408,3.1945860851718546,0.5979435520507839,0.2855735979003202,0.0016131280880564,0.3392049223576464,0.0016131280880564,0.0054576327381557,-0.045473923546966,72.2093,0.2638238725454592,0.4415174749920512,0.4020564479492161,-0.1200167549325061,1.1057594724651474,12.87,1
(주)뉴인텍,-0.0676118306039242,-0.1735084062518782,-0.1280469931309448,-0.0330698881613416,0.1052384677837888,-0.0961770605050784,-0.0321637716450909,0.8947615322162111,0.1212899157546683,3.824026756537117,4.038345731132248,0.9725999522033488,2.831349481571268,1.9902295528751373,0.9203007331943984,0.3344224857380897,0.5505824117226356,0.4635900232529077,-0.0464538170099691,0.4342653330826223,0.0661544602906307,0.4342653330826223,0.4464994390538764,-67.01983446804431,1.3421835669442377,0.6655775142619103,0.8757263898907794,0.5364099767470922,-0.0066621984759865,-0.6679576806609593,5.11,0
(주)대창솔루션,0.0017758056306904,-0.1619601293967592,-0.2779634384171342,-0.0365171292918073,0.1157783033561831,-0.0347627261756462,-0.0141553121197316,0.8842216966438169,0.1184145328733407,4.205467053089875,3.2753876082069038,0.3876348550461609,0.6768116725233918,1.4558078184082648,0.5377580930802418,0.4071979869532915,0.3027105791740671,0.7605843408125091,-0.2057950447856176,0.3788989962612922,0.095772580689778,0.3788989962612922,0.977463691226042,-6.364164231045386,1.1750115686928004,0.5928020130467084,0.7510276520232214,0.2394156591874908,-0.1535886969191998,-0.0926828607315136,3.48,0
(주)동방선기,-0.0173005389823314,-0.1184130794003586,0.2688338177932209,-0.0202035553178023,0.1331244841576679,-0.0263659042696356,-0.0120117491471797,0.8668754936656996,0.1033910976211148,2.531800229898701,10.199858520819776,0.5945364050155881,2.197169040165855,1.1950095359922208,0.5946937783494116,0.4555788803729045,0.4545232233149547,0.7856232747009868,-0.1461058173198477,0.4029422100049965,0.1176115053234669,0.4029422100049965,0.6777418617358373,23.20857973224504,0.8946259132653063,0.5444211064422801,0.6621391756366071,0.2143767252990131,0.0292022118352296,1.0030561066772004,4.39,1
(주)디엠에스,0.0555074062679289,0.1486815943700068,0.7325944122635768,0.0645486254677312,0.2531270974213197,0.1280153100847308,0.0503377470629449,0.7468728970521059,0.163761566671087,7.861341475399452,9.206021682520364,0.7798422770150156,3.3358135697016014,1.5431275246517036,0.86857594949187,0.3932166162752518,0.7574750118741141,0.5053801315692252,-0.0748408318339917,0.2501174091060782,0.0590897180793891,0.2501174091060782,0.3207281991218108,-7.181684801816848,2.2767735452722944,0.6067833837247482,0.938490926974836,0.4946198684307747,-0.0446591862456386,3.02609416062779,5.41,1
(주)룽투코리아,4.436095263084162,1.2086324503633024,0.187313062435215,0.0526007887977393,0.7569884632083536,0.0152244685559103,0.0081180662088705,0.2430116018653775,0.9236985123624472,3.2611803434268065,2.827140642222949,0.1543335450745069,8.295774533837253,0.8753811762799825,0.7936995677416064,0.533224931895502,0.7595315267608164,0.6918401847922969,-0.0800976888409053,0.1864326901590569,0.2484340372160022,0.1864326901590569,1.207985535931632,-7.153804592872915,2.0825612379154266,0.466775068104498,0.8317871294673105,0.3081598051646434,-0.1688591741987341,-9.44946737879548,3.35,0
(주)마니커,-0.0143753896528703,-0.0838542687843216,-0.1922437705208572,-0.0506692041172722,0.0516118825629011,-0.1731743333561684,-0.0624286875588433,0.9483881174370988,0.0870299139349939,10.333778344627992,46.21456741828302,1.232083444893946,4.08825041497659,1.7739544255210389,0.5628033018869831,0.3604961910287594,0.5163234977144908,0.69384618122806,-0.2378263209064496,0.3538984251179304,0.1473954721872274,0.3538984251179304,0.2872357603574431,5.206308714074054,1.53710811088554,0.6395038134589458,0.8506284532317516,0.30615381877194,0.0551707123284809,-1.7294667603145302,6.27,0
