구분,총자산증가율2013,유동자산증가율2013,매출액증가율2013,매출액순이익률2013,매출총이익률2013,자기자본순이익률2013,총자산순이익률2013,매출원가대매출액비율2013,매출액대판매관리비2013,매출채권회전율2013,재고자산회전율2013,총자본회전율2013,유형자산회전율2013,부채비율2013,유동비율2013,자기자본배율2013,당좌비율2013,고정비율2013,순운전자본비율2013,차입금의존도2013,현금비율2013,부채/총자산2013,부채/매출액2013,부채/현금흐름2013,유동부채/부채2013,총부채/총자산2013,유동부채/총부채2013,유동자산/총자산2013,현금흐름/매출액2013,이자보상배율2013,차입금평균금리2013,업종,정상기업여부
(주)ENS,-0.0197161626025572,0.0011161354710973,-0.0884683899193734,0.0081986229317723,0.3541963764669038,0.0528899597848781,0.0087946658055652,0.6458036450781999,0.3381749418465334,2.312956631232824,1.845681844799043,1.0727003642871482,7.558103062485172,5.01386805981982,1.3278035316151513,0.1662823311141882,0.7361295878869085,0.1576870939291006,0.2079472894602078,0.1858879510214956,0.0003837785471726,0.1858879510214956,0.1732897248944494,-72.0961088552451,3.412623643031791,0.8337176688858118,0.7608878164456605,0.8423129060708994,-0.0024035933096248,0.6767616554847306,9.1,0,0
(주)G1네트웍스,0.1709704944407568,0.6343737805136545,-0.0413715452523245,-0.0188644037822877,0.117596332554894,-0.0951596336386875,-0.0234697139883331,0.882403667445106,0.1408761355816057,11.872070147669431,63.2714735956822,1.244126994905053,2.73463812945336,3.0545715080290945,1.1716142062996078,0.2466351864851175,1.1165782760001808,0.6306292991700303,0.0541042016053624,0.2480228995252816,0.7919516440975658,0.2480228995252816,0.1993549698230041,15.16937269927128,1.2711183148612872,0.7533648135148825,0.4184778004439657,0.3693706516969489,0.0131419389433671,-26.81779718848096,0.3,1,0
(주)IEN한창,-0.0297454245249682,-0.0391381129778506,-0.0313935937467408,-0.0743479236013783,0.2033144119386153,-0.045440344140399,-0.0239824386444413,0.7966855880613847,0.1384638916696251,5.191184259140332,1.865613270220151,0.3225703890941844,0.7048388891224288,0.8947340933125371,1.327440898111582,0.5277785434534057,0.9615459206761277,0.5002547667618609,0.1232725526471787,0.2867042295223748,0.0390319007688669,0.2867042295223748,0.8888113702174402,-12.609851886922256,1.3131047324210467,0.4722214565465943,0.7972375574463411,0.4997452332381391,-0.0704854726437533,1.5011268765809416,3.86,0,1
(주)KH엘텍,0.4154246539233182,1.5250450116909189,2.7562209775161293,0.1688352453968833,0.2137589555051724,0.6748094225643081,0.264763904753121,0.7862410444948276,0.0503884938238428,11.179281568865456,14.96590861793052,1.5681791093485062,2.3792765494822503,1.5487213719465796,0.7295545064591928,0.3923535977713611,0.5521005302136187,0.6612960230242232,-0.1255573962006247,0.3145719968121762,0.2286354576346125,0.3145719968121762,0.2005969821539478,3.0725819398070566,1.4758509272317764,0.6076464022286389,0.7640321270292227,0.3387039769757768,0.0652861294128886,13.747664233345072,5.56,0,1
(주)SIMPAC산기,0.1619031071426951,1.168193612445143,2.155181881604417,-0.3146835181174389,0.0419705390999396,-0.178584540388831,-0.1018557579555026,0.9580294609000604,0.1309206546101951,3.7189437156331735,1.1071601298226368,0.3236768120708831,0.9382757401065824,0.7533082466172273,1.1806131639236246,0.5703503659036371,0.4659772065234542,0.5372965137530579,0.0707855402287872,0.1555313550206941,0.1342678329863492,0.1555313550206941,0.480514356359373,9.83813441961791,2.519864537706937,0.4296496340963628,0.9121803323362184,0.4627034862469422,0.0488420198245304,-3.5503516762841514,4.41,0,0
(주)가야,0.0040880431945259,0.091579703918443,-0.1124533500831782,0.0931970503220962,0.0856805170193875,0.4630489158728352,0.1086463133786171,0.9143193962417072,0.0543274386729919,3.561145363563353,5.777743002723051,1.1657698715048068,2.7183315845938014,3.2619850439063742,0.7427158923451918,0.2346324754347425,0.4935025623120748,0.4502010470727718,-0.1904558128717652,0.4459220534962675,0.0635802539964582,0.4459220534962675,0.3825129336381454,92.66710794511336,1.660054399894783,0.7653676256828598,0.967188632072256,0.5497990540448305,0.0041278177567029,1.4970532323328545,3.91,0,1
(주)가야,0.0040880431945259,0.091579703918443,-0.1124533500831782,0.0931970503220962,0.0856805170193875,0.4630489158728352,0.1086463133786171,0.9143193962417072,0.0543274386729919,3.561145363563353,5.777743002723051,1.1657698715048068,2.7183315845938014,3.2619850439063742,0.7427158923451918,0.2346324754347425,0.4935025623120748,0.4502010470727718,-0.1904558128717652,0.4459220534962675,0.0635802539964582,0.4459220534962675,0.3825129336381454,92.66710794511336,1.660054399894783,0.7653676256828598,0.967188632072256,0.5497990540448305,0.0041278177567029,1.4970532323328545,3.91,0,1
(주)가우넷,-0.3271067111653549,-0.2907213668706584,-0.0269619546991111,0.0028590228182877,0.0685204340659821,0.0174323229104762,0.0079097834611219,0.9314795659340178,0.068108640802433,23.59528359176762,8.298726690966385,2.766603823700514,35.9390137030465,1.2038938229041818,1.5015654321312486,0.453742367081119,0.9089730205162854,0.2131410639931667,0.2628331964891059,0.2770831172829384,0.6399722227181706,0.2770831172829384,0.1001527992223771,35.13454549995629,1.8912221886930332,0.546257632918881,0.959301450338809,0.7868589360068332,0.0028505505848226,0.0623820360443921,4.13,1,0
(주)강원심층수,-0.0264101544997587,0.2442438048095901,0.3939160606240299,-0.928978275648086,0.1260824714339291,-0.3428244324355228,-0.1379507524422208,0.8739175285660709,0.8770420814606051,8.416376610745548,11.961728767012174,0.1484972857368293,0.1563718822542731,1.4851218740478498,0.0570290566874742,0.4023947519206237,0.0387989163154726,0.9660607337579424,-0.5611830838969014,0.1760028919789479,0.0064430115022655,0.1760028919789479,1.185226323199366,144.4341277210358,3.3813214285714284,0.5976052480793763,0.9958452541231908,0.0339392662420575,0.0082059991076938,-4.214063025175152,5.16,0,0
(주)강원엘피씨,-0.1002856851933778,-0.0773888359352347,0.0737992562106869,0.01873982748377,0.0575064641209171,0.1892229808156854,0.0549933908298117,0.9424935358790828,0.0367605909398343,9.533674230193265,49.019812231592,2.9345729504415017,5.053421703369034,2.440831306461434,1.3278645535982672,0.2906274417237863,1.145656908395242,0.5888135171833553,0.1015265241240164,0.2696788755775396,0.4179052188066324,0.2696788755775396,0.0918971448765541,4.328886674249077,1.1482544119537204,0.7093725582762137,0.4365265544597705,0.4111864828166447,0.0212288174285586,2.07051215285997,5.69,0,1
