구분,항목,자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
(주)TCC스틸,002710,213427599,246067682,248341448,259011407,57665872,65207503,66297285,63061141,75248844,90338244,89836693,86371692,138178755,155729439,158504755,172639715,125332795,142254762,132002948,139520955,81475229,90508902,87216690,94389103,17630723,25749073,16470863,9677988,22580000,37431776,51395856,60525896,0,0,0,0,5367107,7380746,9567815,4978619,4383089,7816592,5661973,4101720,88094804,103812921,116338500,119490451,43901004,46129211,48258097,48203329,180550710,213335439,218438585,233313732,17582972,25130740,23539408,23310551,14540241,16584291,21863322,20915074,209981745,244227642,254601800,263647511,29431035,30892203,36163214,30333779,14890794,14307912,14299893,9418706,6930140,5625114,2168929,4942314,378347,566396,1467755,-1991466,6110490,5224882,5059751,3899968,10.86,9.76,8.39,6.37,70785381,87569504,86390254,85371654
(주)가비아,079940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516530,,,,49096,,,,,,,,463349
(주)강원랜드,035250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18442614,2875636,21115496,,0,905465,475159,,,7.94,8.34,,91496199,182748575,414207335
(주)강원에너지,114190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74365,-60188,-34245,,291061,239475,115968,,,15.4,8.3,,4299292,4442564,5022851
(주)갤럭시아에스엠,011420,62389594,66992091,58976701,,14792536,18948044,11000908,,44504062,49984989,39009308,,17885532,17007102,19967394,,40972366,44480145,35484444,,20582244,40553119,23346613,,0,1788979,0,,15730288,17648808,19615691,,0,0,0,,1411930,551044,586423,,4558442,9528937,647301,,21417228,22511945,23492258,,5768579,6446155,8123873,,50155260,69453093,55467018,,29711526,31036945,28008400,,4713608,5606825,4697344,,52328467,80300777,65486715,,2173207,10847684,10019697,,-2540401,5240859,5322353,,-7100636,896380,1448570,,-5134990,-861207,36014,-455441,4238526,4080817,4010642,2772323,12.42,12.34,12.69,8.61,14655146,14106425,13513259,10625130
(주)경농,002100,,,207546301,,,,39798772,,,,101889228,,,,105657073,,,,107789318,,,,79575222,,,,6979972,,,,19807553,,,,0,,,,13534178,,,,6256723,,,,99756983,,,,18897099,,,,115697929,,,,62090456,,,,25043082,,,,155060559,,,,39362631,,,,14319548,,,,4452297,,6683626,-15913418,10399649,-8682075,10637982,8041593,6507378,5086060,14.39,13.74,12.69,9.97,73253651,67709448,61716212,63364521
(주)경동나비엔,009450,138443970,148013991,143058258,159979374,81604638,88307183,80976496,95364929,94008728,106577079,101282065,117437016,44435242,41436913,41776193,42542358,71779936,76190466,60859386,63055750,50114484,69866601,55162518,55728692,2019926,633747,131092,0,4174189,4563305,2563520,2320320,0,0,0,0,31667290,21964607,27109279,41337983,7402893,16534500,6930000,4850000,66664034,71823526,82198871,96923624,37672883,46241617,45751607,45821920,101577684,130042875,140349383,155979951,12404090,18269896,20305569,22072087,28931737,28083949,30902410,32060150,135268745,170347574,187890222,210786227,33691061,40304699,47540839,54806276,4759324,12220750,16638429,22746125,6731540,6165417,11049674,17240604,14890897,-8486228,3926257,13878823,1297258,1296782,941661,2115,11.73,12.63,19.15,0,17878055,20928844,19977172,20486037
(주)경동인베스트,012320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9681,4014,-8780,25696,3165663,2134310,1993077,803523,6.83,9.3,10.42,3.08,80902873,94641269,107742612,114835661
(주)경방,000050,283603778,648412007,593633670,559264554,72855813,81319403,55606940,47914929,125190619,134971770,108025168,93545208,158413159,513440237,485608502,465719346,246675017,273734496,251620544,201199369,210891243,240151839,215060754,175215542,8974189,11003833,16273529,6452475,88733140,132739545,144191221,108685609,0,0,0,0,6438955,6423087,3112968,2174527,12618230,11421112,5386205,4031205,36928761,374677511,342013125,358065185,48913887,55158605,44637056,38920603,325373025,316128854,292605368,283401323,52334806,53652367,52418228,45630279,48761728,47479754,48233473,46720603,393141122,370385537,342763747,330176753,67768097,54256684,50158378,46775430,19006369,6776930,1924905,54827,3744466,-421004,-4303079,-599052,180545,-2538750,679265,31995,9570501,8479705,8278723,6244538,11.87,10.35,7.63,5.61,99003330,444965339,434798789,425344477
(주)경보제약,214390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154018,-96742,208103,953787,3484992,2827719,2520257,3396474,,11.34,9.69,8.56,19012760,18475551,17404413,17232225
