구분,항목,자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
(주)엘지생활건강,051900,,,,697809419,,,,179850010,,,,260981295,,,,436828124,,,,421443902,,,,342335333,,,,22349283,,,,78294210,,,,0,,,,36096655,,,,0,,,,276365517,,,,140370451,,,,558341848,,,,81131285,,,,488157361,,,,1149688871,,,,591347023,,,,103189662,,,,45127372,,,27226778,-12510073,,,12766850,11870297,,,,6.87,,,302190232,312802272
(주)엘지유플러스,032640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-560536493,59337071,195387199,-248727811,168993582,169488860,162156854,102681102,,11.47,11.94,8.37,1377836134,1426299775,1606671436,1647704516
(주)엘지헬로비전,037560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3431476,-2428989,-144426,1123892,0,0,76534,240524,,0,12100.24,16.03,857066,591046,2962005,4696683
(주)엘지화학,051910,,,3978728317,4618143547,,,588320365,773866968,,,885133665,1225846415,,,3093594652,3392297131,,,2676691826,2846204014,,,1544004902,2126962063,,,92211197,92777011,,,404647715,294236539,,,0,0,,,129768610,238819875,,,5097202,20561213,,,1302036491,1771939533,,,405641031,472347323,,,3266898448,5238308355,,,296813299,451979448,,,458753172,659208779,,,4002484361,6511136564,,,735585913,1272828210,,,276832741,613619430,,,127063584,387112688,,,63766882,53783365,,,104964063,96822982,,,,7.54,,,2356414419,2259794704
(주)엠게임,058630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544778,,,,0,,,,,,,,1491016
(주)엠에스씨,009780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273783,-218626,8973,60220,4210747,3689947,3148966,2477916,11.56,10.36,8.6,6.55,35004039,39884607,42157037,45028743
(주)엠에스오토텍,123040,,106830668,115126182,114026038,,18712568,22601128,18812679,,21717949,25306501,21804398,,85112719,89819681,92221640,,94186727,99874838,97520669,,62308881,71596538,73361409,,27460847,23496045,18574117,,31346455,44309085,41694793,,0,0,0,,116144,272552,98305,,667992,1200,1001000,,12643942,15251343,16505369,,10430053,13158624,12679734,,36154872,106380919,122980148,,3005381,2705372,2991719,,1821422,8412241,8124318,,39206790,117664180,135079706,,3051918,11283261,12099557,,1230496,2871020,3975240,,476774,2024283,1010523,0,0,0,0,0,0,0,0,,3.64,6.16,5.78,0,0,0,0
(주)엠투엔,033310,,,38127033,,,,7731349,,,,15927404,,,,22199629,,,,21790894,,,,18667681,,,,676549,,,,6168977,,,,0,,,,749360,,,,107982,,,,16336139,,,,4931486,,,,27062854,,,,8196055,,,,4125770,,,,32290397,,,,5227543,,,,1101773,,,,721900,,-644,-2635,676496,-297441,2344719,1175158,298467,451783,14.63,20.86,3.34,5.84,10900365,11017384,10544203,12193517
(주)엠피대산,065150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338014,,,,8478,,,,,,,,2644664,
(주)연우,115960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-156410,240576,-147806,,278507,293162,288695,,,5,4.39,,6218533,6173252,8601632
(주)영원무역홀딩스,009970,237593975,253388638,293076404,299433482,54207928,46951960,81363875,106692105,71176567,87628369,118493758,149998405,166417408,165760268,174582646,149435077,89376645,98575564,111719552,109881447,53857332,77778883,83420201,93592889,269707,268504,176767,16004834,570709,2703437,4324834,3000000,0,0,0,0,7928591,3205741,32685033,54273946,29015484,7300764,1800550,389697,148217330,154813074,181356852,189552035,8304039,18033191,28521421,35742860,314983368,310181289,436840826,326508249,16968639,40676409,37129883,43306300,28297033,37266963,46899498,51024470,361262823,372616102,518888336,412515729,46279455,62434813,82047510,86007480,17982422,25167850,35148013,34983010,14681829,17513066,26064725,20796324,-39441448,-5230876,28622534,19872319,4463897,7729077,6013126,3755091,13.51,36.84,29.42,20.85,50524538,55573739,56772497,57769942
(주)영풍,000670,801701740,1000093856,999168404,947819633,80050884,114591066,70431938,50764381,135409406,198441699,154386748,152385553,666292334,801652158,844781655,795434080,243712932,481324659,489771067,475901740,134406196,226688059,197118185,190115952,12482889,97383775,160676709,163114306,75765464,89993452,72114710,50625267,0,0,0,0,3062214,10296910,12151354,5871213,52390283,58976642,21931326,11983712,557988808,518769197,509397337,471917893,18260596,34005684,25817722,24793939,244474788,343586726,381934421,491483427,55358522,83850633,83954810,101621172,24809262,34828310,41747075,46490773,293974644,409419328,405242466,513912471,49499856,65832602,23308045,22429044,24690594,31004292,-18439030,-24061729,22842682,7106937,-19748395,-23501592,-21932036,2177406,-1643652,1208472,8363354,7582927,8068516,9268040,10.73,8.52,6.73,6.43,347530948,355596018,404898880,401842345
(주)영흥,012160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51413,,,,4782797,,,,,,,,17110515
(주)예림당,036000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-136071,-191983,95332,13940558,129946,109164,468482,1763408,9.01,8.3,3.12,6.62,2698582,5344101,10347393,10479948
(주)예스코홀딩스,015360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4546867,-2213029,-2438295,-120588,10558713,11434967,8564741,6109754,11.47,13.83,9.41,5.88,227975105,230705728,235323510,237925755
(주)오공,045060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51065,1237604,1245034,-2066284,369512,420502,542854,412555,6.66,8.03,9.24,5.84,9736570,10225793,11171582,15454176
(주)오뚜기,007310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5993567,6202643,-282737,-7675575,7899223,5409720,6704387,4433502,12.21,7.1,7.9,6.04,162500219,170388850,183619583,191185219
(주)오르비텍,046120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,10.24,10.65,6.64,0,0,0,0
(주)오리엔탈정공,014940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3800086,-653753,-2765756,4748574,2066405,2495302,3131688,2474114,9.84,10.86,9.38,6.14,39243032,51987960,55465626,54480529
(주)오리엔트정공,065500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185729,255839,94984,411315,159384,163023,139093,108769,,8.9,8.1,6.6,3893084,3968855,3788633,4542360
(주)오리온홀딩스,001800,539027215,769417419,801009365,868658350,104764130,200705587,143871822,170779308,131004414,226237889,181169028,213966607,408022801,543179529,619840336,654691742,346117579,453420323,448786817,508631113,222438637,283346927,323406991,295627804,15071124,40716508,36761203,83235033,76083221,90834320,112658218,100021012,0,0,0,0,6443833,38866259,19344883,40650244,4377728,44740520,12100030,14970665,192909636,315997095,352222548,360027237,84747679,96714098,100637772,103018653,326861944,375006757,445422374,547783221,26240284,25532302,37297207,43187299,159191974,216284043,250063554,285692945,539785059,627014440,742750266,889839476,212923115,252007683,297327892,342056254,53731141,35723640,47264338,56363309,21758720,27778364,17268267,38010009,-10620647,4243716,-6078114,-1553318,32457807,27969202,23944428,17371304,16,12.82,9.62,7.58,244347590,247744182,256177920,215364049
(주)오리콤,010470,,,167680430,78893586,,,35084077,38793232,,,35084077,38793232,,,132596353,40100354,,,115238964,120672296,,,114167593,39638504,,,0,0,,,90404,943000,,,0,0,,,541657,9070809,,,1148617,15600,,,52441466,-41778709,,,33634436,30390547,,,34255837,28980554,,,0,0,,,17096223,16274888,,,48050311,38783882,,,13794474,9803328,,,-3301749,-6471560,,,-3351389,-94145941,241249,200194,-180693,8670515,1787116,300291,129739,10863,,0,0,0,22863836,17075084,16597321,16175502
(주)오스코텍,039200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-186959,,,,117275,,,,,,,,3354155
(주)오스템,031510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-747081,3506684,-1532468,-203409,3226537,2070339,2734634,2269711,10.7,6.87,8,6.27,33560493,32828032,34405040,36267494
(주)오텍,067170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28262,483606,805126,,85079,58893,172678,,,14.72,14.23,,102767,793911,974885
(주)오픈베이스,049480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50543,2912301,1651894,-1596517,65737,198881,577326,683729,,6.38,4.95,5.71,231892,379867,360170,590905
(주)옵트론텍,082210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883206,,,,217398,,,,,,,,9174452
(주)와이비엠넷,057030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472629,2183502,,,0,0,,,,0,,,502444,746352
(주)와이어블,065530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341964,360445,,,801740,804442,,,,8.04,,,42244154,41498152
(주)와이엔텍,067900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-161182,1305335,-902255,-126618,1049099,876455,603801,464878,,10.66,7.61,5.55,14973101,14551670,18858430,14727869
(주)와이오엠,066430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2315582,-1184302,2788330,1907864,204819,214507,279226,200539,,5.45,6.71,5.45,5413847,6048668,5760178,5916864
(주)와이지-원,019210,,,91007051,94660038,,,15047725,14191934,,,53313985,57349697,,,37693066,37310341,,,54919519,56402499,,,41202113,43016822,,,7893342,9202839,,,16717272,22917888,,,0,0,,,3239394,794964,,,885348,1371884,,,36087532,38257538,,,9882374,12003165,,,55058502,46000006,,,38266260,43157763,,,13196727,14395968,,,76677808,67315410,,,21619306,21315404,,,8422578,6919436,,,3144490,2817730,1912786,5494085,-4599073,-2408863,2547634,1786823,2752827,2872277,11.34,6.34,7.76,7.8,13716999,27264720,31833815,30473028
(주)와이지플러스,037270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2803374,45712,52735,5496509,72087,95236,80173,30769,,5.44,2.66,1.02,6225889,6460380,6340354,6453649
(주)와이투솔루션,011690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4820691,6239538,-1381909,2286979,2400963,928800,2042177,1282127,10.36,4.37,8.33,7.13,4888336,8240437,6998485,6116183
(주)와이티엔,040300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4203811,-4052509,3667491,,206740,0,0,,,0,0,,50551579,50038378,47954528
(주)용평리조트,070960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15286284,-6336234,,,6048348,4120685,,,,2.55,,,488492265,554391427
(주)우리기술,032820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525671,2908819,-421337,2745620,440367,298316,1286709,1825537,12.18,7.96,10.46,6.49,3224084,3430985,5113979,4644383
(주)우리로,046970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-882860,532494,,,283151,303417,,,,4.81,,,4409531,3874701
(주)우성,006980,192739168,194584020,203857223,197099008,63504000,71372286,79816008,81512630,89524192,97078575,107448850,104746773,103214976,97505445,96408372,92352235,81848116,77138881,79564876,66172583,70533883,61635070,62507359,57759172,2310303,2177044,3041918,0,33963738,28171135,27592035,24512390,0,0,0,0,17755787,23198823,32051050,31906427,7866303,5096041,3865643,3565566,110891052,117445139,124292347,130926425,40136620,45596090,45512161,44911766,191117926,188291442,192734662,204717236,26020192,25706289,27632843,23234143,50342640,39169443,39012092,45542553,255066156,240590975,240904461,261204352,63948230,52299533,48169799,56487116,13605590,13130090,9157708,10944563,12281449,9010345,8824988,12617196,-6542479,4976519,8488673,353834,4156396,3052236,2235826,965064,9.2,8.24,6.25,2.97,78842151,74632674,71836780,70179782
(주)우신시스템,017370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-824292,3825615,-873454,,538621,260551,3645,,,0,0,,9293032,9070324,8894927
(주)우주일렉트로닉스,065680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352253,-265074,95129,,53502,36003,46874,,,0,8.52,,3008632,4102104,4955191
(주)우진,105840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,8.52,7.44,6.95,0,0,0,0
(주)우진아이엔에스,010400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6948,-57905,-47701,-63123,373592,253849,170803,188323,,15.02,18.17,31.92,4599509,4039602,1965134,983142
(주)우진플라임,049800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-297822,2189974,3549200,,425410,342096,226226,,,12.35,5.16,,3394295,5387114,5698312
(주)웅진,016880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4061990,6331524,5463263,2711883,16377659,9270853,7022102,885508,16.55,14.01,12.84,4.31,43265957,46982493,54409468,59586912
(주)원림,005820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475895,878436,-758734,690829,1556015,1758069,1217152,742958,10.2,11.17,8.35,5.52,20448615,37345335,36669315,41697560
(주)원방테크,053080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218218,-535819,246433,,308317,114008,135678,,,12.8,13.75,,3702512,3512819,3421169
(주)원익,032940,,,93057799,110835184,,,24327867,26981833,,,44984950,55414574,,,48072849,55420610,,,36208073,53844642,,,28780237,47298109,,,2737745,2248704,,,11742326,21341862,,,0,0,,,6501228,5431245,,,1082500,771109,,,56849726,56990542,,,14451039,19388288,,,65712765,78561513,,,20657083,28432741,,,13696936,15637522,,,84873412,100641671,,,19160646,22080158,,,5463710,6442636,,,2404443,3581494,1142461,1218225,-3716756,-1694653,524214,386752,573834,2364914,7.8,6.52,8.05,19.23,3362040,4044145,3840179,3752213
(주)원익큐브,014190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1411230,408974,3553400,302657,320666,501045,146295,293949,8.54,22.43,51.15,8.46,4049806,4027097,4045490,3538638
(주)원익홀딩스,030530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333995,-380046,1454064,-1216577,397586,355317,916595,889696,13.29,9.23,7.97,3.85,2733615,15163383,16125978,28066127
(주)원일특강,012620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2466078,358861,304601,-96359,593665,637030,628593,550159,8.51,6.93,5.88,4.09,5648327,7126295,7135093,11681864
(주)원풍,008370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733191,72847,502166,-6500,894474,777386,727997,623144,10.73,9.14,8.84,5.49,16202948,21626421,20608456,27375603
(주)웰크론,065950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943467,711903,-1714288,,430236,354886,638091,,,3.04,4.49,,1431959,7767350,12605900
(주)웹젠,069080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20975,1983862,5212813,,0,0,0,,,0,0,,39099,459813,2293722
(주)위니아,071460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78464576,10306925,9378003,-57877482,2475043,13707931,11578671,19311036,,14.78,9.95,18.17,123708520,137686183,142399097,137502130
(주)위닉스,044340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-869539,-50232,121729,275161,381430,244863,196683,615321,,10.8,3.05,8.38,5643053,11460138,12166793,15028323
(주)위메이드,112040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288528,,,,158,,,,,,,,1454461
(주)위세아이텍,065370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989815,-1242156,53439,-42661,26895,15550,58659,151061,,5.72,7.06,7.08,113278,697145,1363840,2095501
(주)위스컴,024070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10889136,939346,-670442,500952,1087674,615070,392317,92339,8.91,7.3,9.79,7.22,22567191,37334726,37623922,38972860
(주)위지트,036090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163555,814717,-787288,340783,179884,426324,822923,1312016,6.67,7.57,6.36,7.42,4794307,5927936,6804570,6303469
(주)윌비스,008600,343278214,382487322,378854712,325579435,91082267,89724829,69822800,35415693,142321288,146287525,131383841,97229579,200956926,236199796,247470871,228349856,169425404,239509555,185445320,154722255,95630569,144824810,140197858,113346776,15680630,22219750,12892963,2207765,77622650,96085848,82677937,90952055,0,0,0,0,436835,19325411,31065296,8495938,43354745,45026313,15552156,3445173,173852810,142977766,193409392,170857180,10569314,10906968,10098464,11258454,128178835,133685744,128318228,146667729,51239021,56562696,61561040,61813886,28939896,29377347,29723285,29071598,168514635,171621638,166093138,181079223,40335800,37935893,37774910,34411494,11395904,8558546,8051625,5339895,13290591,3798912,63813196,-8478117,-20538198,18848395,11147879,-22812291,7000985,7846248,5651043,3109973,25.59,11.44,8.31,9.18,35869727,58320996,59602760,58703962
(주)유니드,014830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5942730,-5589929,2149810,1185675,10380105,9825931,8829856,4035464,,10.24,10.36,6.16,120436885,124451851,109436732,97361757
(주)유니온,000910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604875,-536508,1477401,-763271,2977452,2256868,1934493,1396375,10.54,8.15,7.78,6.62,31088652,47665780,46954891,44811570
(주)유니온커뮤니티,203450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-958879,,,,278337,,,,,,,,4476722
(주)유니켐,011330,,,,27015236,,,,7766089,,,,17299589,,,,9715647,,,,11143186,,,,10385017,,,,0,,,,7170409,,,,0,,,,602459,,,,2395000,,,,15872051,,,,2985788,,,,28808891,,,,9533501,,,,3233369,,,,31138513,,,,2329623,,,,-903746,,,,27095,1216547,-1097611,393862,58652,2956565,1652329,792205,430234,17.61,11.29,8.06,6.85,8130444,12383532,6147194,6338997
(주)유니크,011320,,,47521298,,,,13191710,,,,15875598,,,,31645700,,,,53307854,,,,25339698,,,,21572828,,,,5965000,,,,0,,,,486927,,,,96600,,,,-5786555,,,,8525145,,,,65132502,,,,2683888,,,,10532043,,,,72092613,,,,6960111,,,,-3571932,,,,-13565449,,,227579,-2330473,-83190,,6856615,5546956,4203456,,21.49,18.69,18.17,,22315782,21264214,20714148
(주)유라테크,048430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11868,2202248,-1766027,176288,338400,231474,129525,52208,,10.15,6.51,1.69,4538900,4316104,6026219,13371058
(주)유비케어,032620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139503,-684439,5211325,-5401741,307319,481835,1438256,839089,10.23,11.01,11.51,8.38,435982,882643,489563,442312
(주)유비쿼스홀딩스,078070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333957,,,,11007,,,,,,,,1032620
(주)유성티엔에스,024800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753094,-564572,-891942,1022246,2341728,1502697,1082293,712665,19.24,11.95,7.48,5.24,21470270,24094717,22842919,22765066
(주)유수홀딩스,000700,,5911762264,6246100108,5861943741,,1025261087,1513097457,1354666682,,1078205100,1572885215,1426429913,,4833557164,4673214893,4435513828,,5121631032,5600400524,5176306004,,1777424692,1903251174,1456924590,,100377521,99996451,157654148,,173974994,146936352,228246264,,0,0,0,,402000721,296642111,169670474,,124227679,580405832,193842252,,790131231,645699583,685637737,,329666914,258193433,279471363,,5261935443,5393247183,5318183968,,52944013,59787758,71763231,,335276233,397920006,345170635,,6042375856,6019723776,5599279302,,780440413,626476593,281095334,,445164180,228556587,-64075300,,-65196285,-120420835,58460373,-28493732,189127551,-146905009,-125085519,320978619,294750489,277466054,181362346,18.11,18.71,15.4,8.33,3487266659,3910146319,3812011658,3669844697
(주)유신,054930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12259035,3454257,779351,519796,40898,56623,130879,230636,6.55,0,0,0,1810897,2027852,1995761,3153474
