구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)에스디엠,057273,128655884,116978030,112245400,112571859,127723600,20574519,15848452,11608973,127723600,116886215,112160148,112498813,932284,91815,85251,73046,151216535,151732987,157444898,167663518,1159739,61653603,157369749,167654361,150000000,90000000,0,0,0,129588,157319819,167542133,0,0,0,0,33509583,13699755,3297864,913360,0,0,0,0,-22560651,-34754957,-45199498,-55091659,0,0,0,0,0,0,0,0,0,96311696,96311696,100889840,3814949,1651176,1202796,1406373,0,0,0,0,0,0,0,0,-3814949,-1651176,-1202796,-1406373,-12796550,-12194306,-10444541,-9892161,-3883844,-19809828,-10401892,-2384504,9613077,10827312,9581447,7962012,6.63,7.22,6.23,4.9,17206,25725,11499,4294
(주)에스디오,045336,19396382,25822807,27090015,36424235,8662985,13907438,16798302,19798073,13959207,20274415,21985710,28704173,5437174,5548392,5104305,7720062,12726920,17620664,16082791,22217445,8543678,13487598,11807784,15922292,1500000,1000000,1000000,3174000,0,2197716,2350000,8090031,0,0,0,0,1240848,836852,186183,75218,557145,454398,641650,617000,6669462,8202143,11007223,14206790,6355417,11955283,15632798,18635928,13268341,16458405,14866054,12246777,5296222,6366977,5187408,8906101,4010495,5781282,6223509,7314779,18978279,24407152,24871984,21838247,5709937,7948747,10005930,9591470,1699443,2167465,3782420,2276691,1314941,1532681,2805080,3199567,924490,-403995,-650669,-110965,99613,135505,322954,335307,6.64,4.37,6.77,3.6,4633461,4669532,4483607,6986949
(주)에스디이앤티,058322,16739117,19983311,24631005,32621440,6172036,8459178,10365433,11224914,7903362,11091731,13334984,12766569,8835755,8891581,11296021,19854871,13977113,16583569,20605950,27032432,10068184,12127271,17745779,22495442,3867810,4375000,2721266,4450000,2976843,3945463,6955591,11399645,0,0,0,0,414252,1257273,1496914,1517700,0,540000,175000,0,2762003,3399743,4025056,5589007,5171691,5878064,8368549,8629500,42051341,54034921,59954945,112242665,1731326,2632553,2969552,1541655,2072062,2310994,2856923,4926670,44854289,57597473,63356962,118230915,2802948,3562552,3402018,5988250,730887,1251558,545095,1061580,387369,637739,575313,1095902,-599116,843021,239641,20786,489090,521983,546450,770709,6.57,6.6,5.4,5.25,3411774,3768927,5946689,12806627
(주)에스디인터내셔날,045565,30849232,33336398,36042507,36441624,8638551,10079396,11469535,17210598,15424435,18073209,20637251,27105503,15424797,15263188,15405256,9336120,20271377,21926307,23239934,23529770,19961377,21605187,22929934,22453410,0,0,0,766360,14258539,15169891,15593020,16457574,0,0,0,0,6160,4829,59429,7180,1360000,1360000,1275000,585000,10577855,11410091,12802573,12911854,4122391,4173464,4767346,4504883,13832343,15159672,15500339,14499170,6785885,7993813,9167716,9894906,26512403,28161953,28021782,27459616,44002792,46131765,46598656,44160173,30170449,30972093,31098317,29661003,3658047,2810140,3076535,2201387,3011554,832236,1392482,109280,-16397,-1331,54600,-52249,937773,990728,947220,975497,6.8,6.73,6.16,5.91,6367393,6259386,6377479,5981173
(주)에스디케이,069737,,,,12782771,,,,9057707,,,,9057707,,,,3725064,,,,6978670,,,,6978670,,,,0,,,,420000,,,,0,,,,1118249,,,,3496168,,,,5804101,,,,4049631,,,,33304125,,,,0,,,,1709971,,,,35993263,,,,2689138,,,,979167,,,,764467,,,,175383,,,,0,,,,0,,,,118489
(주)에스디페이퍼,061943,12452667,12807240,15021563,19132505,7966626,8449057,10649977,12028262,12060577,12330640,14212536,14699661,392090,476600,809027,4432843,9014374,8572857,9053586,13089019,7014374,7823635,8640513,9530467,2000000,416500,291550,3341590,2561815,3944061,3953649,4492743,0,0,0,0,92950,1567,313934,801199,0,30800,38491,0,3438294,4234383,5967977,6043486,7948013,8495545,10497815,11387513,19367956,26780261,25655373,26093591,4093951,3881583,3562559,2671399,1548184,1913502,1865836,2169156,21804286,29560936,28352709,28707830,2436331,2780675,2697336,2614239,888147,867173,831500,445083,1089795,496090,550541,150509,-30956,-91383,312367,487265,216608,198886,146211,268638,9.5,4.42,3.33,4.38,182933,166583,356005,3779481
(주)에스떠블유산업개발,050474,207361790,99550530,103524778,45015154,35427628,31672759,47532575,20866178,207018408,99327098,103301396,44691771,343382,223432,223382,323382,274681278,193575466,204003671,147340831,274681278,193475466,169671058,135144485,0,0,34000000,12000000,170000000,53720628,44128210,15069628,0,0,0,0,2986120,10482129,15913023,5282925,0,0,0,0,-67319488,-94024936,-100478893,-102325678,26430732,7123903,26807682,14686241,37456709,146108907,58871884,69811038,171590780,67654338,55768821,23825593,4552964,13269424,3814325,2874920,45582793,130011275,58980205,77300537,8126085,-16097632,108321,7489499,3573121,-29367056,-3706003,4614579,-20030695,-35538448,-6453957,-1846785,-474700,7496010,5430894,-10630098,24005243,6621285,3146179,6704430,14.68,5.92,4.37,10.07,0,0,0,0
(주)에스랜드이십일,061755,14753302,20408576,5845009,,11891090,14633137,3528204,,12996429,16579586,3817404,,1756874,3828990,2027605,,8366032,10521581,1032322,,8366032,10521581,1032322,,0,0,0,,0,0,0,,0,0,0,,6178976,5646759,2497415,,5500000,8500000,1000000,,6387270,9886995,4812687,,197,359,0,,22215005,24432233,17126557,,1105338,1946449,289200,,5187155,6163581,5037804,,34309364,38807444,28800304,,12094359,14375212,11673747,,6907204,8211631,6635943,,5043293,6428578,1102840,,3159830,-532217,-3149344,,1998,1292,327,,0,0,0,,150746,663279,1825616,
(주)에스백,071466,,,,1151491,,,,16496,,,,16496,,,,1134995,,,,1203326,,,,903326,,,,300000,,,,688636,,,,0,,,,946,,,,0,,,,-51836,,,,5800,,,,47872,,,,0,,,,11160,,,,59976,,,,12105,,,,945,,,,-13702,,,,277,,,,14688,,,,2.97,,,,162216
(주)에스비디,063493,,11505210,8598857,10412511,,795270,887850,811339,,2035384,2287274,2282955,,9469825,6311583,8129556,,11057650,8341735,7511558,,2597650,1614019,7232995,,8300000,6500000,0,,1608550,742706,787737,,0,0,0,,9324,150090,1025,,0,0,0,,447559,257122,2900952,,763961,497438,573968,,2470136,6831420,4691957,,1240114,1399424,1471616,,143403,510061,317721,,2261095,7548444,5793176,,-209041,717024,1101220,,-352444,206963,783498,,-552441,-190438,718416,,9324,140767,-149066,,219132,380826,296127,,4.42,4.44,4.25,,9469825,6311583,8129406
