구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(유)비티투자,054082,16387225,9680749,9631181,7228493,7020507,846527,636705,190438,13381206,8588381,8375564,6250091,3006019,1092368,1255617,978401,16050091,14281384,15773821,16188599,15663869,13511204,14993821,15151814,0,0,0,0,13886000,12772489,13772489,14244407,0,0,0,0,135154,89590,135237,55843,190836,234696,0,0,337134,-4600635,-6142640,-8960106,1869570,590072,757085,734556,1685682,177628,145120,201820,6360699,7741854,7738860,6059653,1864735,1494515,1041858,896273,4078670,1421954,1210369,1106485,2392988,1244326,1065249,904666,528253,-250189,23390,8392,2076399,-3044851,-1132550,-2868840,-71469,-45564,45647,-79395,991927,838785,901309,813621,6.91,6.29,6.79,5.81,276649,157687,86453,115050
(재)미래인력연구원,054023,,9081757,,,,450706,,,,571347,,,,8510410,,,,968389,,,,75505,,,,0,,,,0,,,,0,,,,193317,,,,2887,,,,8113368,,,,0,,,,0,,,,120641,,,,168009,,,,1394,,,,1394,,,,-166616,,,,0,,,,-21394,,,,0,,,,0,,,,122105,,
(주)명전사,044284,,10633057,11784049,12559112,,7485964,8838481,9846175,,7662253,8925076,9860043,,2970804,2858973,2699070,,3746601,4772911,3762986,,2213011,3135066,1989879,,0,0,0,,0,0,0,,0,0,0,,1410509,2526761,5510690,,2811279,2252909,2317510,,6886456,7011138,8796126,,2805297,3936509,1879105,,8157697,9156732,8033287,,176288,86595,13868,,1439725,1279935,1226608,,10053420,10696460,11201746,,1895723,1539727,3168459,,455997,259792,1941852,,467851,385658,1934988,,-580152,1116252,2983929,,0,0,0,,0,0,0,,2252690,2252798,2211061
(주)명종스틸,063500,,11302044,12138186,12727683,,1339253,2567886,3102624,,2311177,3400387,4162569,,8990867,8737799,8565113,,8585895,9892695,10321121,,3692596,6334666,8926585,,4762500,3200000,1000000,,2000000,3512500,3370000,,0,0,0,,255984,25138,320339,,110000,110000,210000,,2716149,2245491,2406562,,940191,2398677,2596508,,10926886,10720363,12332615,,971924,832501,1059945,,558016,803751,742032,,12278583,11808109,13593984,,1351696,1087746,1261369,,793680,283995,519337,,572515,-164538,161071,,140432,-230846,295201,,383408,418324,359933,,11.34,6.21,5.42,,8749710,8574768,8263125
(주)명주파일,070289,,,,12201568,,,,11077705,,,,11978865,,,,222703,,,,11867483,,,,11867483,,,,0,,,,10000000,,,,0,,,,399442,,,,100000,,,,334085,,,,558172,,,,14558292,,,,901159,,,,1821578,,,,16805286,,,,2246994,,,,425416,,,,284905,,,,350262,,,,0,,,,0,,,,174023
(주)명지문화,014584,53267197,49802861,45447951,41622774,29836463,25071573,19841879,17356981,30123233,25123219,19860536,17361729,23143964,24679642,25587415,24261045,38803561,6937409,4284646,1450869,36225053,5221425,3227527,1076754,2024000,1458000,972000,0,3500000,0,0,0,0,0,0,0,384350,1344969,1526630,1168403,25967276,20378069,15031113,15227446,14463636,42865451,41163305,40171905,3184272,3197760,2693924,721386,9494590,9397071,7860395,2915773,286770,51646,18658,4749,1324817,1214060,1456978,631106,10393177,8945786,6894278,1932331,898587,-451285,-966117,-983442,-426230,-1665345,-2423095,-1614548,-253447,28590515,-1241324,845373,-3363115,960619,181662,-358227,390877,94307,65123,4941,8.69,2.3,3.74,0.68,22985787,24521465,23774959,23173981
(주)명지엘펜하임,046456,24383061,1415,,,845,1402,,,24383048,1402,,,13,13,,,40381848,18608241,,,32383317,9784114,,,7998532,8824127,,,10230266,9775266,,,0,0,,,1,805,,,0,0,,,-15998787,-18606827,,,0,0,,,0,24382202,,,24382202,0,,,1738051,13766,,,0,24000000,,,0,-382202,,,-1738051,-395969,,,-2779541,-2608039,,,-5308450,805,,,1042418,212071,,,4.76,1.15,,,13,13,,
(주)명진금속,051691,15155811,16179795,16769540,16402034,5925923,6776927,6063304,5191399,9660712,10443279,11238823,10911407,5495099,5736516,5530717,5490627,6956418,7331448,7323585,6435208,6465389,6943876,7002606,5917293,210500,23000,17220,13940,3345416,3500000,4706177,3603940,0,0,0,0,14992,250920,72287,166575,277836,347119,849945,615792,8199393,8848347,9445955,9966826,5866821,6683981,5648725,4668028,29056389,33515433,27230116,24813529,3734789,3666352,5175519,5720008,2071207,2394856,1926279,2219489,33134316,37475346,30478978,27928279,4077927,3959912,3248862,3114751,2006720,1565057,1322583,895262,1241825,948954,897608,520871,-169312,235928,-178633,94288,340959,297389,308960,274133,7.66,7.91,7.32,6.57,4933716,5159741,5076595,5000432
