구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)21세기조선,040736,148898387,102864612,47535512,,65315411,34803558,18701975,,71290882,36038188,18701975,,77607505,66826425,28833537,,566440099,683265154,675395796,,206572201,658517599,657059375,,335808892,8896800,3000000,,24931164,16396559,25982634,,0,0,0,,7163792,3524878,2379140,,1014404,1029481,430000,,-417541713,-580400542,-627860284,,5515782,24402041,484597,,164553764,173298836,29023973,,5975471,1234629,0,,10983915,6406181,14329777,,110835535,93566420,44008632,,-53718229,-79732417,14984659,,-64702144,-86138597,654882,,-137274500,-162858829,-47459742,,-14812627,-3638915,-1145738,,10599848,13325612,18649100,,2.93,2.63,2.99,,73656959,65653547,26093798,
(주)3Z,012815,13978679,19837034,21930073,25716867,1380045,6061609,4725532,12639327,3642579,9122206,9305695,16734284,10336101,10714828,12624378,8982583,6190571,10577252,7855959,8877282,5969743,9385355,6900799,5106858,0,1000000,955160,2865480,3636192,6246130,2000000,0,0,0,0,0,332311,8227,38634,762352,9973,10099,9380,4769241,7788109,9259782,14074115,16839586,948663,5884527,4324932,4069111,8255132,13345334,12407093,10599629,2262534,3060597,4580164,4094957,3800064,3120100,4346002,3548978,10945859,18606751,21720463,17263793,2690728,5261418,9313369,6664164,-1109336,2141317,4967367,3115186,-1289781,1471673,4781587,5716225,-194755,-324084,30407,723718,319403,408213,314093,147939,8.08,6.29,5.15,4.34,9627795,9837613,11144292,5010326
(주)A.M.C,064118,,13250271,16129899,17709388,,7662911,9696157,8627090,,8115329,10202990,9018587,,5134943,5926909,8690801,,6734376,7028671,5815688,,5523764,5442761,3010189,,500000,1228000,2322560,,3298096,2298500,1550000,,0,0,0,,2199212,5125112,3970088,,1134693,676693,918000,,6515895,9101228,11893700,,4022660,3977666,3957316,,17781829,16939346,16413624,,452418,506833,391497,,1779631,1891287,2381474,,22095943,22029188,22286839,,4314114,5089842,5873215,,2534484,3198555,3491741,,2776910,2835423,2740090,,1161064,2925901,-1155024,,253787,217525,177470,,11.81,5.23,4.4,,456496,1147179,2547705
(주)ATS엔지니어링,061907,9474090,11360107,12768690,12850948,3429455,5287549,6879186,3881262,4976137,5948311,7707647,5802498,4497953,5411796,5061043,7048450,8113410,9174942,8602013,10175397,4298520,4146213,5856841,7112463,2000000,1591600,1098240,1804185,1305296,300000,1000000,3079161,0,0,0,0,15602,259688,791754,15532,1100506,700000,804000,19000,1360679,2185165,4166677,2675552,2046455,3526930,4807387,3250545,10366045,10752195,9315658,11218836,1546682,660762,828461,1921236,2758107,2620621,3801056,3004049,14261803,14737026,11643416,13626057,3895758,3984832,2327758,2407221,1137651,1364211,-1473298,-596829,786821,670069,-1987859,-1491125,-135006,244086,532066,-776222,161875,358048,407559,283224,6.61,7.08,8.89,5.53,2863193,3633018,3494807,4748302
(주)DCFTREK,017676,50965665,58085861,56829908,58399725,10574187,6322019,3848716,3235931,14769351,11466322,8640740,8762316,36196314,46619540,48189168,49637408,22917545,21152118,19119471,21876683,22917545,16339618,16025695,19805045,0,4812500,3062500,2000000,9213103,6717049,8770436,11670759,0,0,0,0,126206,479706,133237,668776,340000,410000,410000,220000,28048121,36933744,37710437,36523042,9841131,5464945,2656347,1885523,60444679,79084963,67893884,53451256,4195164,5144303,4792024,5526386,2070315,2326599,2523972,2546627,70491414,91065932,73838711,54853421,10046735,11980968,5944827,1402164,7976419,9654369,3420856,-1144462,9223386,10211565,3621162,-1175893,-383401,353499,-346468,535539,1059683,924125,716135,704899,7.38,7.41,5.69,4.67,17166633,22600367,23107941,23103205
(주)DH케미칼,040581,16158333,17101743,17336870,18431927,6079716,6047893,6439576,7383348,8500530,8356680,8796571,9863403,7657803,8745064,8540299,8568524,3325007,2905582,2378117,2790569,2852897,2550971,2192106,2613558,300000,225000,0,0,0,0,0,0,0,0,0,0,466270,776537,861837,579345,1798000,698000,698000,1198000,12833326,14196162,14958753,15641358,3774779,4580723,4837595,5385864,13340706,15126145,16173023,17872418,2420814,2308786,2356995,2480055,2119152,2123777,2277786,2721616,16369355,18149257,19492842,21894184,3028649,3023112,3319819,4021766,909498,899334,1042033,1300150,2156977,1459150,1840753,1368286,-133045,310267,85300,-282492,2005,6824,9789,2658,1.34,2.27,3.73,2.36,1907204,1796870,1702378,1710351
(주)DKASTEEL,059783,17537884,16196533,8524181,,9806589,8335320,6896131,,10846198,8335320,6896131,,6691686,7861213,1628050,,13653783,12103349,5378252,,13624298,12103349,5378252,,0,0,0,,6299981,5300000,2200000,,0,0,0,,22514,79564,49946,,30000,60000,0,,3884101,4093184,3145929,,2883319,1397462,1370709,,44933954,37173855,7254718,,1039609,0,0,,3299507,2852982,3196416,,48981560,40627438,8008019,,4047606,3453583,753301,,748099,600601,-2443115,,401711,209158,-947330,,8909,57050,-29619,,268519,296562,237121,,6.18,5.11,6.32,,3995606,4011738,86923,
(주)DNSC,063900,,15367342,17928027,20593862,,5775890,4832868,8446381,,7305519,6950934,9404132,,8061823,10977093,11189731,,9017889,11894755,15611565,,6817055,9672755,14761565,,2200000,2200000,0,,4325940,7475759,10649837,,0,0,0,,2359312,13478,2863100,,0,263000,108000,,6349453,6033272,4982297,,2887343,4086672,5193319,,23136339,25929652,25032375,,1529628,2118066,957750,,7944148,6330588,5657488,,34904562,34123705,30796530,,11768222,8194053,5764154,,3824075,1863465,106666,,1571348,183818,-1020975,,-634167,-2345834,2849622,,294028,481946,422000,,9.01,5.95,3.75,,3371408,3622287,3835955
