구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실),영업이익(손실),자본금(*),자본금(*),차입금의존도,차입금의존도
,년도,2007,2008,2007,2008,2007,2008,2007,2008
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount
(주)삼광실업,050106,3.42,2.03,1052385,815774,407000,407000,55.47,54.73
(주)삼광씨스템,044056,1.56,0.62,916217,442254,1000000,1000000,49.72,59.42
(주)삼광염직,042997,-1.48,0.46,-260061,84930,1400000,1400000,47.64,57.01
(주)삼광정밀,053178,-0.81,0.77,-206380,393458,850000,1000000,92.84,67.97
(주)삼광컴퓨터,029479,-2.42,0.68,-1126865,307520,700000,700000,44.11,42.74
(주)삼광피에스,050307,1.26,1.62,969573,1343030,1000000,1200000,76.28,55.13
(주)삼구아이앤씨,052681,12.29,15.54,1144181,1619921,1200000,1200000,3.09,3
(주)삼기오토모티브,056280,,1.46,,1676841,,3260000,,52.94
(주)삼남,042384,1.54,1.66,2073284,2253551,80000,80000,83.72,86.96
(주)삼녹,053952,,1.24,,1742406,,3000000,,63.5
(주)삼능,053409,-7.74,4.24,-1310725,530012,1550000,1550000,24.75,29.14
(주)삼동기공,046205,1.9,-2.3,975999,-1225766,3000000,3000000,51.23,61.72
(주)삼동산업,017926,1.13,-0.58,1394286,-798240,3204000,3204000,35.77,36.06
(주)삼두,044766,3.25,2.38,826556,681420,50000,50000,27.85,37.8
(주)삼두에너지,051376,-0.18,-0.61,-57488,-211022,50000,50000,104.5,110.38
(주)삼두주택,030779,1.08,1.07,546908,563120,600000,600000,84.7,84.5
(주)삼라,014983,0.24,-1.55,420152,-2628544,4525000,4525000,23.57,29.55
(주)삼라,026607,0.86,0.61,429346,338296,8722000,8722000,9.43,13.44
(주)삼리,046286,10.77,8.85,1171758,2365399,300000,300000,16.14,29.51
(주)삼마피제이씨,052351,13.47,4.4,492388,738861,100000,200000,22.79,47.53
(주)삼명금속,014990,-1.46,,-633584,,800000,,126.76,
(주)삼목리스,030729,999999999,999999999,734253,132190,600000,600000,0.76,0.56
(주)삼미뉴트랩,057178,,-22.62,,-562463,,2800000,,42.26
(주)삼미정공,046003,2.58,3.27,917173,1849855,600000,600000,31.95,21.56
(주)삼백골프클럽,048105,-0.3,,-371952,,50000,,96.53,
(주)삼보,046460,1.54,1.22,580377,623887,750000,1100090,49.36,47.46
(주)삼보기술단,015003,31.35,9.41,8927036,3846506,3050000,3050000,0,0
(주)삼보유통,052561,-1.2,-0.08,-485862,-92980,150000,250000,96.97,93.8
(주)삼보철강,015010,2.89,-1.3,3641842,-2355733,3000000,3000000,51.53,58.96
(주)삼부스텐,051359,1.98,1.77,954340,1039566,300000,300000,59.33,63.82
(주)삼비,047230,7.98,3.26,733264,449937,2100000,2100000,54.92,52.12
(주)삼비텍,045875,0.26,1.99,77691,652349,200000,200000,54.33,49.73
