구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실),영업이익(손실),자본금(*),자본금(*),차입금의존도,차입금의존도
,년도,2000,2001,2000,2001,2000,2001,2000,2001
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount
(유)그룹세브코리아,013171,,174.41,,8222341,,1700000,,0
(유)유맥에프앤알,014534,0,0.84,-528,339796,500000,1500000,68.83,65.46
(주)3Z,012815,,1.06,,290011,,900000,,53.3
(주)ABC,020570,,-2.86,,-1552617,,500000,,70.18
(주)DCFTREK,017676,1.64,1.7,2872007,2064898,1250000,1250000,39.45,36.31
(주)KHE,027325,-0.81,0.92,-1038820,1188024,7579600,7579600,46.72,39.21
(주)KTE,026849,68.11,384.58,2571007,2955127,650000,800000,3.15,0
(주)LG경영개발원,018261,,999999999,,-269188,,6000000,,0
(주)LG파워콤,021438,,1.87,,58312281,,750000000,,36.89
(주)MBC아카데미,020587,999999999,999999999,691414,360285,3200000,3200000,0,0
(주)MBC애드컴,020588,19.26,16.56,2339330,1877325,3000000,3000000,0,0
(주)NH무역,017587,-2.12,0,-3147173,5345,20500000,20500000,63.84,81.99
(주)P&I지주,014359,5.28,,260386,,300000,,40.35,
(주)TAPEX,010942,1.19,1.01,1441246,1026628,3300000,3300000,49.13,46.9
(주)TSR,019379,4.5,3.4,1465998,992730,1960000,1960000,14.11,33.87
(주)TS건설,020606,-0.64,0.88,-1078985,1226513,8500000,9500000,62.15,48.22
(주)TS센트릭,020607,0.91,1.55,2433674,2157908,2930000,2930000,55.19,50.3
(주)TS푸드앤시스템,020608,1.5,1.27,3607231,2383329,8000000,8000000,51.8,50.3
(주)가나아트갤러리,017417,1.04,4.44,146835,582064,4200000,4200000,47.92,46.43
(주)가야종합건설,012822,,2.18,,793257,,2200000,,50.26
(주)가야중공업,020634,,1.05,,715202,,2500000,,57.32
(주)가우디,012823,0.73,-1.69,463949,-910876,2000000,2700000,30.34,28.15
(주)가인테크,054543,999999999,999999999,-73652,-237172,620000,620000,0,0
(주)가치네트,012368,,999999999,,-3731957,,21351100,,0
(주)가파치,021670,0.19,-0.7,310820,-2071395,4000000,4000000,115.38,594.3
(주)가현,014227,1.42,1.24,801753,684239,1400000,1400000,39.78,36.48
(주)갑을프라스틱,012828,,195.24,,6472483,,100000,,4.23
(주)강남산업,012833,0.7,1.88,699826,1674495,1900000,3400000,44.59,40.06
(주)강변스포렉스,021688,-1.58,-0.46,-1261464,-182307,100000,2000000,27.07,26.84
(주)강성수산,012846,1.87,,820847,,150000,,71.14,
(주)강숙희레디스웨어,012847,999999999,999999999,1823450,2181231,232500,232500,19.63,0
(주)강원도민일보,017428,1.35,0.13,207172,19035,5146500,5146500,22.27,22
(주)강원엘피씨,019670,,-10.25,,-259938,,4100000,,65.22
(주)강제규필름,011702,,-16.41,,-484584,,3000000,,0
(주)거성,028808,,-2.02,,-346391,,550000,,49.91
(주)거홍건영,012871,-0.95,5.16,-549308,2556544,500000,800000,45.93,3.18
(주)건덕상사,021729,999999999,999999999,26566,51367,7444660,7444660,33.4,24.18
