구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실),영업이익(손실),자본금(*),자본금(*),차입금의존도,차입금의존도
,년도,2007,2008,2007,2008,2007,2008,2007,2008
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount
(유)비티투자,054082,-2.98,1.4,-366247,1778578,300000,300000,97.09,93.31
(재)미래인력연구원,054023,999999999,999999999,-1231685,33120,8675849,8675849,0,0
(주)21세기조선,040736,1.11,10.32,6220203,115225929,5700000,13600000,48.17,47.44
(주)3Z,012815,-4.35,1.8,-5021219,1345381,3500000,3500000,54.87,51.68
(주)DCFTREK,017676,6.86,2.05,2753259,1101998,1250000,1250000,14.78,45.6
(주)DH케미칼,040581,999999999,999999999,759116,585650,670000,670000,0,0
(주)ENS,030661,9.19,-0.63,6479235,-674085,150000,150000,24.7,30.04
(주)GBSTYLE,029522,2.04,2.46,1154582,1524341,900000,1300000,34.81,35.12
(주)GMT,048980,1.25,1.17,512268,564355,300000,300000,88.82,76.54
(주)H.M.T,056408,,-0.06,,-39338,,1540000,,69.46
(주)HM금속,043596,2.69,-0.15,1291762,-150332,1690000,1690000,49.91,66.16
(주)IEN한창,045661,11.26,20.24,1653144,3417670,762250,762250,31.57,36.19
(주)KAL호텔네트워크,029255,0.34,1.01,1611625,4798507,99900000,99900000,58.26,57.49
(주)KHE,027325,3.6,2.6,6404760,8329625,4207693,4207693,33.75,57.7
(주)KH엘텍,043023,-5.65,-5.77,-3127344,-3760007,700000,700000,63,74.43
(주)KJ컴텍,038835,-4.67,-10.54,-541287,-1671583,720000,720000,15.16,31.08
(주)KRGSOFT,056737,,17.64,,2154828,,2899960,,35.8
(주)KTE,026849,17.1,22.29,3043647,6646784,4000000,4000000,8.94,11.98
(주)LF개발,052323,1.26,-0.05,720806,-97228,5350000,5350000,75.53,79.81
(주)LF네트웍스,040278,-191.68,2656.27,-1546631,2228610,450000,450000,0,0
(주)LG경영개발원,018261,999999999,999999999,3705453,3386879,6000000,6000000,0,0
(주)LG파워콤,021438,1.76,2.27,44770559,88658398,600000000,667000000,34.35,37.6
(주)MBC아카데미,020587,999999999,999999999,1030136,851560,3200000,3200000,0,0
(주)MBC애드컴,020588,83367,999999999,166734,-192392,3000000,3000000,0,0
(주)MSSteel,048874,1.02,,642917,,1000000,,82.41,
(주)MS이엔지,042524,1.46,1.53,261518,413102,926225,926225,28.63,27.66
(주)NH무역,017587,1.75,4.22,636127,3061920,16600000,16600000,24.49,29.14
(주)NH여행,047761,999999999,-23.77,117014,-478483,2328000,1320000,0,0
(주)P&I지주,014359,4.36,6.93,1294222,1134425,300000,300000,49.81,38.83
(주)P&T,049179,-4.76,,-1049358,,443750,,50.26,
(주)PSG,040133,2.03,2.26,1768042,2456857,400000,400000,57.82,49.06
