구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실),영업이익(손실),자본금(*),자본금(*),차입금의존도,차입금의존도
,년도,2007,2008,2007,2008,2007,2008,2007,2008
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount
(유)유맥에프앤알,014534,1.27,0.63,1065436,512045,1500000,1500000,60.27,57.5
(주)유라클,029417,10.88,26.98,1513206,2357051,1853800,1853800,18.49,9.35
(주)유래코,016911,-0.53,-0.64,-417479,-595346,3100000,3100000,75.98,87.26
(주)유로신재중공업,049576,-0.24,-0.14,-310694,-273782,300000,300000,74.61,89.01
(주)유리버,047368,-46.68,-8.64,-5532499,-2380442,2316000,2316000,21.61,70.66
(주)유림,048217,999999999,1.27,-141517,425942,4050000,4050000,60.44,35.88
(주)유림산업,057265,,3.07,,1463360,,1000000,,58.84
(주)유림수산유통,047867,1.17,-0.08,376880,-28954,1500000,1500000,67.34,61.59
(주)유맥스,044016,-0.6,-0.23,-216598,-132584,4833340,4833340,46.1,47.69
(주)유베이스인터내셔날,053018,6.5,5.71,2158373,5016267,600000,600000,52.09,60.39
(주)유봉,053220,6.42,4.44,2721954,2726794,150000,150000,24.68,58.74
(주)유비닉스,048087,98.44,16.44,1364511,455561,1850000,1850000,1.52,17.33
(주)유비에폴,046078,999999999,999999999,8900,-255509,500000,500000,29.94,93.58
(주)유비와이즈,049793,-5.52,,-2308734,,920385,,31.08,
(주)유비쿼스,029768,999999999,,17923041,,2315200,,0,
(주)유선주택,053098,1.68,1.39,488073,362568,860000,860000,82.45,48.77
(주)유성ENG,047248,-4.65,-1.58,-2756025,-925980,4900000,4900000,96.43,115.25
(주)유성금속,016931,-3.57,-1072.64,-12596,-645727,1500000,1500000,26.52,22.73
(주)유성산자,049835,3.55,2.05,1294590,807835,600000,600000,50.54,56.51
(주)유성전자,047051,1.46,2.14,581533,1062722,800000,1150000,53.49,54.29
(주)유성피엘,043657,999999999,,-13767,,310000,,56.09,
(주)유스텍,053137,7.83,3.37,1157596,2096896,1100000,1100000,40.89,55.63
(주)유승건설,041808,4.77,4.29,2376547,6114887,2500000,2500000,26.06,17.92
(주)유신메디칼,053980,228.09,999999999,1599821,1798580,1200000,1200000,0,0.32
(주)유신쥬얼리,021187,-0.46,-2728.64,-281125,-4199376,3000000,1469000,121.14,0
(주)유아이지,028776,,-0.14,,-312372,,410000,,126.39
(주)유앤미개발,046153,1.25,1.93,1880100,2865217,400000,500000,25.03,30.3
(주)유앤비오피씨,051781,-0.56,1.15,-195927,426812,1000000,2000000,74.83,63.82
(주)유앤아이,016943,1.45,1.04,930255,824822,2255475,2255475,37.85,42.33
(주)유에스티,028760,-6.94,,-5109729,,1443750,,211.16,
(주)유엔아이,038945,-2.78,-3.15,-330430,-334719,300000,300000,22.13,22.84
