구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실),영업이익(손실),자본금(*),자본금(*),차입금의존도,차입금의존도
,년도,2000,2001,2000,2001,2000,2001,2000,2001
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount
(유)짐머바이오메트코리아,018711,6.09,12.99,3678499,5184479,540000,540000,37.55,24.9
(유)한국비엠에스제약,018712,-4.8,-6.3,-6733756,-7754016,10660000,10660000,65.83,38.72
(주)주연테크,011341,19.47,5.25,3230527,1118482,800000,800000,16.48,25.77
(주)주영크리에이션,018903,,-24.55,,-3120632,,200000,,57.75
(주)준일,026527,12.04,9.27,3093708,2374045,300000,300000,10.6,0.34
(주)중부농축산물류센터,018921,-8.12,-5.48,-8741065,-7004438,19100000,19100000,67.58,84.92
(주)중소기업유통센터,018925,-16.09,-2.22,-19230268,-7755508,98402000,99503000,33.75,33.8
(주)중앙교육진흥연구소,026550,1.4,2.51,1045125,2716088,2811175,2811175,18.93,26.24
(주)중앙백신연구소,030133,1.18,4.69,228333,739191,2410000,3310000,26.26,32.27
(주)중앙유엠에스,021328,,231.33,,364809,,100000,,0
(주)중앙정공,018945,,1.19,,462411,,1300000,,20.63
(주)중앙제공,018509,1.09,-11.72,1134179,-7162937,1000000,1000000,27.35,75.7
(주)중앙타프라,018953,1.1,1.4,606303,709363,1727000,1727000,60.8,64.59
(주)중앙화촌기업,026251,0.19,0.65,41213,148830,1100000,1100000,46.39,46.34
(주)중외신약,013648,7.36,25.45,1386520,3689670,500000,1500000,4.61,2.13
(주)쥬리아,026592,-0.58,,-4503900,,10000000,,174.15,
(주)지그모,016311,999999999,,-36736,,500000,,0,
(주)지맥스테크놀러지,023301,,-2.2,,-1058928,,1920000,,60.91
(주)지앤디윈텍,012478,,12.04,,3695890,,4500000,,10.3
(주)지앤피,025059,50.26,96.87,1098832,685091,1000000,1000000,0.57,6.77
(주)지에스리테일,010033,2.45,4.53,62711802,82129518,47000000,47000000,10.25,14.24
(주)지에스텔레텍,018990,,3.59,,1623229,,2600000,,48.62
(주)지에프이코리아,018991,-5.41,-78.23,-1584347,-11278411,4160000,4160000,14.94,153.97
(주)지엔에스,016528,1.24,-0.28,2357358,-596410,3200000,4000000,61.13,60.83
(주)지엔코,018993,999999999,626.78,10333717,14007301,3000000,3000000,0,0
(주)지엔텍홀딩스,010704,6.11,14.27,1334537,1277341,2000000,2000000,7.9,9.16
(주)지영사,018996,2.31,-16.17,465072,-614720,700000,700000,21.74,0
(주)지오닉스,010586,3.99,,1193569,,3400000,,26.35,
(주)지오스테크널러지,011898,,-0.55,,-15145,,2413840,,6.61
(주)지오이네트,021334,,-11.74,,-2594960,,3000000,,44.35
(주)지원콘텐츠,019000,,20.28,,2583407,,2323330,,22.57
(주)지인텍,012074,-98.93,-18.22,-3800217,-6568930,5200000,5200000,27.09,39.5
(주)지존인터미디어,011090,-68.04,-82.22,-197186,-855373,1135124,1135124,9.23,18.86
(주)지케이파워,019220,7.23,19.62,2463542,4269866,5230000,5230000,0,0
