구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실),영업이익(손실),자본금(*),자본금(*),차입금의존도,차입금의존도
,년도,2007,2008,2007,2008,2007,2008,2007,2008
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount
(주)지에스밸리,047177,-0.22,-0.14,-582067,-368393,300000,300000,187.83,235
(주)지에스북,039205,-0.65,-1.33,-139318,-233646,210000,210000,20,17.57
(주)지에스씨,049831,0.48,1.11,257128,774948,1050000,1050000,62.94,56.99
(주)지에스아이티엠,047807,999999999,999999999,2734091,4579695,3000000,3000000,0,0
(주)지에스아키텍츠,048835,0.01,,12197,,50000,,112.88,
(주)지에스이,039627,1.84,3.01,3258456,4075489,14463925,14463925,37.12,31.93
(주)지에스이앤알,038616,7.94,5.45,46720134,60174508,62342180,62436685,42.3,38.05
(주)지에스텔레서비스,042874,6.93,37.8,514846,650455,3000000,3000000,7.49,0
(주)지에스텔레텍,018990,0.69,-0.42,692570,-237226,1040000,1040000,22.92,25.47
(주)지에스피,049190,-1.47,1.85,-724930,1374450,1500000,1500000,49.82,44.11
(주)지에이치아이,046489,3.64,4.06,10320790,13299812,7985000,7985000,47.13,48.31
(주)지에프에스,022156,4.07,3.08,1234089,861676,1000000,1000000,19.61,20.12
(주)지에프퍼멘텍,038635,-0.69,9.36,-88515,566174,4180390,4593310,18.99,10.44
(주)지엔씨에너지,048803,7.41,7.32,1799726,4220375,1500000,1833333,29.55,53.41
(주)지엔에스,016528,5.15,2.62,7905042,5382656,3180000,3180000,47.2,57.34
(주)지엔에스,030357,-33.5,-12.49,-420048,-134916,1050000,1050000,0.67,0.76
(주)지엔지매니지먼트,040181,2.61,2.96,2525497,2567348,3000000,7500000,49.34,33.85
(주)지엔지블루,054282,-1.69,-0.12,-2463376,-392598,100000,100000,114.53,140.17
(주)지엔텍리소스,052904,-8.57,-1.9,-791142,-4048786,1000000,1110000,59.75,114.8
(주)지엔텔,043851,623.76,2027.18,4975740,17336430,3500000,3500000,0.39,0.21
(주)지엠비,047042,1.36,0.91,665768,1165050,1475000,1475000,55.35,54.31
(주)지엠씨,051587,999999999,-0.33,-32071,-391591,8000000,8000000,0,76.15
(주)지엠에스,056807,,-0.37,,-102169,,1800000,,84.29
(주)지엠에스종합건설,040985,-1.14,999999999,-153141,3171665,600000,600000,89.62,1.39
(주)지엠테스트,053869,2.78,1.65,153183,537041,2610000,2610000,12.04,44.03
(주)지엠티종합건설,047738,1.78,,9299308,,510000,,77.18,
(주)지오고성조선,057211,,-0.48,,-274403,,4200000,,57.18
(주)지오닉스,010586,0.02,2.59,29913,562776,2510845,2510845,35.38,24.56
(주)지오빌드,040108,1741.89,-1.17,411086,-204317,300000,300000,3.61,29.04
(주)지오엘리먼트,051503,999999999,999999999,4284474,554343,100000,100000,0,0
(주)지오엠티,047259,-0.33,1.48,-99474,349577,1500000,1500000,41.89,40.7
(주)지오영,039152,3.2,3.24,4474799,6881224,10000000,10000000,32.42,33.08
(주)지오자인,056948,,-0.28,,-666021,,50000,,99.7
(주)지오팜,029725,3.57,3.52,1819332,1401312,1500000,1500000,22.98,0
(주)지오플러스피디엔씨,050874,-0.16,,-527776,,300000,,117.01,
(주)지오해양조선,052367,-7.07,10.72,-1500837,2524251,2100000,7600000,18.04,10.56
(주)지온네트웍스,057156,,140.6,,1625012,,300000,,9.89
(주)지와이인텍,012342,,2.59,,757297,,1925000,,48.99
(주)지와이테크,041028,-2.66,0.19,-695085,70408,1200000,1200000,29.46,46.35
(주)지와인개발,038793,2.07,6.58,7374924,7350197,500000,500000,36.49,7.15
(주)지원(G1),030077,999999999,999999999,2627012,169331,16000000,16000000,0,0
(주)지원산업,049886,0.1,2.14,73798,1409418,300000,500000,73.66,23.91
(주)지원에스아이,050637,1.69,2.44,558142,716653,300000,300000,61.47,49.6
(주)지원콘텐츠,019000,2.33,1.5,1742438,2028162,2296840,2296840,27.64,48.18
(주)지유온,051410,1167.68,2731.11,932973,2163036,756006,756006,0,0
(주)지이에스앤드에프,052418,7.62,1.19,1347008,294010,50000,50000,32.38,42.87
(주)지인택,049421,-1.47,-0.01,-2287166,-29618,50000,50000,149.28,165.7
(주)지일이삼공교육,040335,3.27,1.81,2527274,2764773,50000,1000000,54.49,59.93
(주)지장,051339,1.5,1.51,384060,539742,850000,850000,58.02,50.76
(주)지제이알미늄,041895,-0.86,-0.73,-626160,-538113,1000000,1000000,57.43,63.85
(주)지지개발공사,049571,-0.39,-0.14,-1469263,-454239,350000,350000,111.23,108.64
