구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(유)짐머바이오메트코리아,018711,46688493,47798181,49778359,50000042,31532195,30372242,28237111,28234624,40346327,40490048,41267825,41883666,6342166,7308133,8510533,8116376,16495693,14618473,17718671,16686166,16253988,14487101,16722488,15675588,0,0,0,0,0,0,0,0,0,0,0,0,3410310,2460544,4114239,4876327,0,0,0,0,30192800,33179709,32059687,33313876,23152645,27474769,22882775,21111825,26891339,23700638,21080735,22187369,8814132,10117806,13030714,13649042,10858737,11423981,13982964,13361215,37803251,39746780,36198391,36950932,10911912,16046142,15117656,14763563,53175,4622161,1134692,1402348,2192962,2986909,-902830,1254189,-2446548,-949766,1653695,762089,0,0,0,0,0,0,0,0,3945497,4812028,4800496,4849437
(유)케이원에너지,047069,27001767,26334003,27034877,29833781,13130894,14669425,14992966,17753267,14036600,15438100,15537034,18385369,12965167,10895903,11497843,11448412,23588847,22389618,22512131,24737142,21425815,20225039,18962093,19576766,606673,866669,1200000,2929988,9185088,8806839,10043660,10174007,0,0,0,0,43405,27942,60847,22594,663294,1483649,1123562,1852135,3412920,3944385,4522746,5096639,10871582,11472776,12243901,14255421,111190434,124536757,127863150,128488850,905706,768675,544068,632102,2198231,2207072,2160377,2154359,114072565,127753946,130827593,131489722,2882131,3217189,2964444,3000872,683901,1010118,804067,846513,369839,531465,578361,573894,-36695,-15462,32904,-38253,897685,831587,796273,784581,7.85,7.64,6.89,5.83,9794033,7979267,7774760,6931231
(주)진광건설엔지니어링,067919,,,10472105,12203128,,,7147281,10192982,,,7147281,10192982,,,3324824,2010146,,,518924,790431,,,338924,610431,,,0,0,,,0,0,,,0,0,,,149994,632498,,,5883680,8571916,,,9953181,11412696,,,972263,790170,,,6221224,5567003,,,0,0,,,2417323,2597590,,,10388458,10880110,,,4167234,5313107,,,1749911,2715517,,,1634603,1459516,,,-796904,482505,,,618,0,,,0,0,,,515524,415847
(주)진달래,069461,,,,26257905,,,,1197705,,,,1197705,,,,25060200,,,,26935120,,,,1532801,,,,10602240,,,,1000000,,,,0,,,,902095,,,,115000,,,,-677214,,,,61053,,,,0,,,,0,,,,966768,,,,210933,,,,210933,,,,-755835,,,,-677714,,,,902095,,,,239329,,,,4.13,,,,25050200
(주)진데크,052321,15834386,3856276,,,5301924,2674926,,,14940362,3102837,,,894024,753439,,,13605515,3000969,,,12042361,2884475,,,1200000,0,,,3818250,920219,,,0,0,,,31215,80825,,,119000,324267,,,2228872,855307,,,5283507,2180527,,,14213421,10063883,,,9638438,427911,,,892551,894428,,,15411271,10776918,,,1197850,713035,,,305299,-181393,,,20191,-175647,,,-92635,49610,,,498842,272967,,,8.08,9.19,,,10935,26009,,
(주)진도선파크,060022,18817198,16879446,15730330,14955835,1610448,806737,802259,1098255,1610448,806737,802259,1098255,17206750,16072709,14928071,13857581,15663650,13014585,12126624,11310913,1359978,838544,892314,894075,14300676,12176041,11229285,10408915,0,0,0,0,0,0,0,0,1257449,705819,684413,987512,0,0,0,0,3153548,3864861,3603706,3644922,187623,74562,85593,96859,1339455,1328347,1317324,1330836,0,0,0,0,29268,197439,57503,58723,1968751,2033831,2008237,2158624,629296,705484,690913,827788,600028,508045,633410,769064,602542,-398687,-261155,41216,-191594,-551630,-21406,303099,0,858184,857382,797364,0,6.3,6.87,6.88,17180861,16049220,14905599,13766402
(주)진두아이에스,052071,17805991,19268849,19767499,22619234,11555279,13132547,13384427,12422711,14924104,16459581,16958777,17909514,2881887,2809269,2808722,4709720,12801219,13630149,13458693,15328981,9016901,9917858,9794634,11893162,251000,150600,50200,0,1115279,1594050,1200000,1734000,0,0,0,0,2508825,1511712,851822,857303,0,93000,113307,247904,5004772,5638700,6308806,7290253,7007120,7517999,10310594,8695213,45468219,46554716,48563235,54122333,3368825,3327034,3574350,5486803,5961852,6357811,7064076,9609254,52250885,54488584,56790624,66033658,6782666,7933868,8227388,11911325,820814,1576057,1163312,2302071,678683,633928,670106,981447,-550088,-997113,-659890,5481,466051,629640,787616,838912,8.37,13.42,17.13,18.99,1166091,949704,825267,2529738
(주)진명기업,044313,11109677,11320706,13234100,12988206,1118053,1165945,2471693,2094266,1233328,1569480,2652319,2182475,9876349,9751226,10581781,10805731,4813557,5701788,5814261,5199709,4711025,5530520,5646925,4788764,0,0,0,300000,133605,2480945,2900000,2400000,0,0,0,0,970,921,18733,67134,13352,18120,762305,715316,6296120,5618918,7419839,7788498,587063,886998,385317,42777,14807541,18081391,17195585,15689247,115275,403535,180626,88209,3469312,3179855,2640939,2746687,17720797,20840897,21231440,18364535,2913256,2759506,4035854,2675288,-556056,-420349,1394915,-71399,-215904,-677202,1800921,368659,-17250,-49,17811,48401,20407,101440,94582,98677,1.89,6.42,3.52,3.52,4211409,4059417,3712822,3419882
