구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)주안디앤씨,064779,,14116387,5078657,,,2176505,3232001,,,13939273,4538811,,,177114,539846,,,11069854,1519670,,,10980088,1285504,,,0,180000,,,10070852,745000,,,0,0,,,734603,593632,,,0,0,,,3046533,3558987,,,194870,10454,,,12417075,10455957,,,11762768,1306810,,,3008180,3093408,,,18678987,14455444,,,6261912,3999486,,,3253732,906078,,,2212851,517451,,,730524,-140970,,,358114,360572,,,7.11,6.56,,,40064,27034,
(주)주영아이엔씨,041242,28284291,54890041,55871026,,1786874,1428186,7609594,,1786874,1428186,7609594,,26497417,53461855,48261432,,24066948,26753395,25018740,,23665760,26128658,22906613,,0,0,1690000,,21414240,22037143,21439619,,0,0,0,,170866,27136,5595174,,80000,56000,221000,,4217343,28136646,30852286,,539710,417757,373240,,0,0,0,,0,0,0,,4626048,4534013,4572978,,5147620,4593411,4573195,,5147620,4593411,4573195,,521572,59397,217,,522202,-801168,4691560,,19308,-143729,5568037,,1137955,1342084,1533692,,5.69,6.18,6.79,,15395,94496,651218,
(주)주영페이퍼텍,070977,,,,14830867,,,,7578343,,,,8602667,,,,6228200,,,,10266939,,,,5447993,,,,4536146,,,,2064559,,,,0,,,,245621,,,,1492158,,,,4563928,,,,2300724,,,,13112074,,,,1024323,,,,946513,,,,14814170,,,,1702096,,,,755583,,,,390821,,,,-702234,,,,334285,,,,10.13,,,,5410721
(주)주원,044228,31081973,19803843,17354063,3617111,5763129,1456172,1171314,1238730,9054233,3671766,2225023,1618608,22027740,16132078,15129040,1998503,26185872,25731020,25245757,10726090,23680124,2804175,25159651,10601622,1938400,22710859,0,0,20048833,0,0,0,0,0,0,0,304424,267300,204627,406670,88000,0,500000,200000,4896102,-5927177,-7891694,-7108979,7376413,1179947,1095996,1160055,7203016,5765664,3123308,1954157,3291104,2215594,1053709,379878,6085316,1705517,1579125,1094018,10494208,5148329,2199200,1548589,3291192,-617335,-924108,-405568,-2794124,-2322853,-2503233,-1499587,-9130939,-545944,-1964517,782715,260737,-37124,-62673,202043,1585459,439630,0,0,7.21,1.92,0,0,14716609,13647393,13190600,22354
(주)주은,064953,,11023067,11946830,12191436,,513103,1332816,1736542,,513103,1332816,1736542,,10509964,10614014,10454894,,10907094,11712061,11854154,,15723,36615,42670,,8183272,8181144,8173101,,0,0,0,,0,0,0,,77253,91990,65282,,425000,1239693,1659035,,115973,234769,337282,,0,0,0,,0,0,0,,0,0,0,,191674,574869,608249,,160616,418897,418552,,160616,418897,418552,,-31058,-155972,-189697,,65973,118796,102513,,0,14738,-26708,,0,0,0,,0,0,0,,10504964,10609014,10449894
(주)주피터인터내셔널,052960,13056770,15556714,18886183,24801423,7855400,11079302,12422284,16189902,11194964,14557014,15951765,21694694,1861806,999700,2934418,3106729,1457447,1340684,1523926,3347590,1457447,1340684,1523926,3347590,0,0,0,0,0,0,0,0,0,0,0,0,1250173,1343141,2899495,3669502,2815500,5115500,4940000,7710000,11599323,14216030,17362257,21453833,3690941,4531287,4531985,4757622,10958942,11618286,12807811,14288775,3339564,3477713,3529481,5504792,2737892,3111628,3411255,3848611,17806130,19225065,21188871,24330971,6847188,7606779,8381060,10042196,4109296,4495151,4969806,6193585,3312742,3516707,4053175,5008194,556428,92968,1556353,770008,815,0,655,0,0,0,0,0,218547,152338,1994220,2037104
(주)죽암,059142,9559631,8030510,8128868,7963089,1677696,232695,456012,519511,1677696,232695,456012,519511,7881935,7797815,7672856,7443578,9619936,8362158,8676056,8668354,9269936,6055158,7356056,7320507,0,0,0,0,3000000,2000000,3560000,3948442,0,0,0,0,97937,54948,132991,47580,275000,100000,125000,125000,-60305,-331648,-547188,-705265,48072,73278,197551,344421,0,0,0,0,0,0,0,0,438029,499447,376541,393176,263400,387367,349835,385543,263400,387367,349835,385543,-174629,-112080,-26706,-7633,-75750,-300350,-215540,-158077,21732,-42989,78043,-85411,253540,199909,189967,162176,3.71,2.95,2.84,2.21,7826935,7687815,7507863,7338593
(주)죽암엠앤씨,069989,,,,16505618,,,,4500690,,,,9420411,,,,7085208,,,,6827198,,,,6827198,,,,0,,,,5007000,,,,0,,,,833461,,,,300000,,,,9678420,,,,2196552,,,,4671219,,,,4919721,,,,2098467,,,,6914649,,,,2243430,,,,144963,,,,193025,,,,412423,,,,88627,,,,3.22,,,,4672661
