,구분,이자보상배율2009,영업이익2009,차입금의존도2009,총자본증가율2009,유동자산증가율2009,매출액증가율2009,순이익증가율2009,영업이익증가율2009,매출액순이익률2009,매출액총이익률2009,자기자본순이익률2009,총자본순이익률2009,매출원가 대 매출액비율2009,매출채권회전률2009,재고자산회전률2009,총자본회전률2009,유형자산회전율2009,부채비율2009,유동비율2009,자기자본배율2009,당좌비율2009,비유동비율2009,순운전자본비율2009,현금비율2009,부채2009,자산2009,매출액2009,부채/현금흐름2009,유동부채2009,유동자산2009,매출/현금흐름2009,차입금평균이자율2009,정상기업여부
146,(주)대현에너지,-5.36,-174588,98.11,-4.12,-50.19,16.15,0,0,-1.88,12.9,0,-2.21,87.1,99.95,286.79,1.17,1.3,0,89.86,0,81.04,0,-0.57,5.08,9035482,8663400,10363038,-6.04,485482,436270,-5.26,0.38,0
147,(주)더굿플러스,-0.31,-814294,133.72,-33.21,-33.51,0,0,0,0,0,0,8.58,0,0,0,0,0,0,70.1,-3181.18,11.96,0,-42.01,0.48,32921415,23377889,0,-11.03,32843526,23023184,0,8.61,0
148,(주)더높은꿈을향하여,1.63,674165,113.77,-7.15,-63.94,1.57,0,27.46,20.63,0,0,2.7,0,0,0,0.13,0.14,0,2.14,-6358.78,2.14,0,-117.14,0,13124631,9945242,1350381,0.71,11904631,255135,6.93,3.55,1
149,(주)더리즈,1.5,6967335,90.72,62.68,64.35,985.52,0,0,6.52,24.46,0,2.99,75.54,8.28,0.5,0.46,185714.74,0,173.38,-4647.03,20.4,0,42.04,0.13,110085328,96144247,35657230,-11.57,55083470,95504725,-35.73,5.93,1
150,(주)더뮤지엄양지,-0.38,-1606591,125.35,14.67,32.57,-91.62,0,0,-3001.57,-44.29,0,-15.78,144.29,0.72,0.08,0.01,0.01,0,41.93,-25641.91,28.56,0,-27.16,1,50510224,37689269,185430,-5.87,17628488,7391663,-1600.31,10.02,0
151,(주)더블유파크,3.1,20134977,102.15,-11.36,-11.37,810.23,0,0,6.01,28.59,0,6.27,71.41,8.21,1.52,1.04,3443.08,0,82.27,-6489.8,40.71,0,-21.52,19.02,110283315,90813913,100735826,10,110269142,90721753,10.94,6.42,1
152,(주)더욱더나은건설,-0.27,-2561323,128.95,39.11,37.04,12.66,0,0,-68.44,-0.84,0,-13.18,100.84,3.17,0.22,0.19,1853.12,0,76.32,-12150.21,13.27,0,-30.49,3.33,140927178,104476563,17295157,-20,134557663,102700179,-162.97,8.47,0
153,(주)더원,-6.41,-1215805,20.53,20.18,-71.63,0,0,0,-196.1,21.29,-2.03,-1.7,78.71,128.86,32.57,0.01,0.01,32.14,27.51,88.01,27.18,126.8,-10.66,6.54,17157886,70536377,558610,-7.64,10368678,2852519,-234.66,2.16,0
154,(주)더잼존부천,-0.28,-712962,201.73,-3.57,-13.23,9.47,0,0,-171.54,20.48,0,-21.95,79.52,35.45,181.68,0.13,0.14,0,4.45,-3046.69,4.39,0,-146.13,2.14,29510017,14276556,1860683,-9.02,21833632,971558,-143.07,9.12,0
155,(주)더존에스엔에스,2.44,3934716,183.69,38.17,-74.18,29.92,0,0,11.2,49.96,0,17.42,50.04,129.81,1411.58,1.56,156.19,0,5.55,0,5.55,0,-211.65,0.16,23632034,10519227,14104469,-6.74,23573496,1309178,-11.28,8.98,1
