,구분,이자보상배율2009,영업이익2009,차입금의존도2009,총자본증가율2009,유동자산증가율2009,매출액증가율2009,순이익증가율2009,영업이익증가율2009,매출액순이익률2009,매출액총이익률2009,자기자본순이익률2009,총자본순이익률2009,매출원가 대 매출액비율2009,매출채권회전률2009,재고자산회전률2009,총자본회전률2009,유형자산회전율2009,부채비율2009,유동비율2009,자기자본배율2009,당좌비율2009,비유동비율2009,순운전자본비율2009,현금비율2009,부채2009,자산2009,매출액2009,부채/현금흐름2009,유동부채2009,유동자산2009,매출/현금흐름2009,차입금평균이자율2009,정상기업여부
0,(주)대호에이엘,1.32,6618066,62.73,9.92,1.39,-2.69,0,22.94,4.57,8.02,26.13,5.25,91.98,8.08,3.56,1.15,3.06,301.77,83.79,212.42,38.63,189.49,-10.22,2.74,86970566,115791127,127034797,-0.96,73010240,61178318,-0.65,6.71,1
1,(주)비케이홀딩스,1.25,6119803,51.66,-14.22,-31.69,9.06,0,0,0.27,19.87,0.4,0.1,80.13,9.1,11.33,0.36,0.54,143.95,39.84,175.98,30.83,208.6,-21.88,3.83,65059179,110255350,42451859,10.18,40096164,15974150,15.61,5.97,1
2,(주)아센디오,-12.73,-5720785,40.43,2.74,110.4,96.32,0,0,-154.21,2.82,0,-84.22,97.18,2.85,116.26,0.55,38.99,0,39.44,0,38.59,0,-64.23,0.24,13151289,12291797,6623835,-48.34,13035247,5140725,-95.98,5.95,1
3,(주)와이오엠,-6.28,-3370784,15.91,84.66,1429.13,9.72,0,0,-79.52,3.16,-46.4,-25.94,96.84,7.85,93.63,0.33,20.7,31.93,201.85,163.45,199.34,74.87,21.82,154.77,3871277,15997013,4022414,-203.16,3427803,6919039,-195.53,12.4,1
4,(주)한창제지,1.76,7397768,56.12,-1.87,3.5,-2.48,0,2601.48,5.33,16.3,29.41,5.58,83.7,6.99,6.49,1.05,1.66,217.56,167.28,207.41,87.41,201.35,14.72,6.32,86096913,125671362,132652342,2.46,27491782,45989155,1.6,5.18,1
5,도이치모터스(주),1.06,2182366,50.95,-14.4,-12.76,31.71,0,0,0.56,10.88,8.38,1.71,89.12,96.71,20.67,3.03,7.07,205.87,91.27,186.66,56.3,192.27,-3.55,18,37452193,55644177,182673900,13.94,22644000,20667185,2.86,5.42,1
6,삼보산업(주),1.53,7474909,67.34,0.8,2.48,-33.75,0,0,2.7,6.98,45.39,5.57,93.02,7.66,10.62,2.06,5.27,565.14,64.94,1888.27,39.23,307.52,-29.02,1.09,74699071,87916964,180629519,-1.88,72785175,47269449,-0.78,7.64,1
