구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실)(천원),영업이익(손실)(천원),영업이익(손실)(천원),차입금의존도,차입금의존도,차입금의존도,총자본증가율,총자본증가율,총자본증가율,유동자산증가율,유동자산증가율,유동자산증가율,매출액증가율,매출액증가율,매출액증가율,순이익증가율,순이익증가율,순이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,매출액순이익률,매출액순이익률,매출액순이익률,매출액총이익률,매출액총이익률,매출액총이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출채권회전률,매출채권회전률,매출채권회전률,재고자산회전률,재고자산회전률,재고자산회전률,총자본회전률,총자본회전률,총자본회전률,유형자산회전율,유형자산회전율,유형자산회전율,부채비율,부채비율,부채비율,유동비율,유동비율,유동비율,자기자본배율,자기자본배율,자기자본배율,당좌비율,당좌비율,당좌비율,비유동비율,비유동비율,비유동비율,순운전자본비율,순운전자본비율,순운전자본비율,현금비율,현금비율,현금비율,부채(*)(천원),부채(*)(천원),부채(*)(천원),자산(*)(천원),자산(*)(천원),자산(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,유동부채(*)(천원),유동부채(*)(천원),유동부채(*)(천원),유동자산(*)(천원),유동자산(*)(천원),유동자산(*)(천원),CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,차입금평균이자율,차입금평균이자율,차입금평균이자율
,년도,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)SNT홀딩스,036530,999999999,999999999,999999999,17392153,14644644,21542366,0,0,0,46.27,35.25,-1.6,13.7,-93.26,387.64,30.53,-78.98,-4.04,-18.19,20.13,-18.98,44.12,-15.8,47.1,11.18,63.89,53.94,19.25,50.79,72.24,9.44,7.11,4.68,6.98,6,4.26,80.75,49.21,27.76,5.09,1.85,51.29,5.33,1.76,0,0.62,0.09,0.08,5.4,2.29,808.75,33.34,9.59,10.12,158.64,4249.23,1057.37,3973.22,4821.78,4721.51,101.95,4249.23,1057.37,86.45,107.67,100.56,13,1.71,7.86,43,3603.8,1034.04,74834600,35416445,36624717,299321536,404847081,398373004,157275739,33063002,31728688,-0.84,6.87,19.28,66341352,166913,3270950,105245069,7092520,34585889,-0.4,7.36,22.25,0,0,0
(주)STX,011810,6.65,1.57,-1.18,135009955,73598182,-95402962,45.22,34.57,49.74,83.16,69.4,15.44,106.3,71.19,-3.38,33.06,92.71,-7.99,182.72,-71.97,0,160.99,-45.49,0,6.61,0.96,-7.72,17.18,6.67,0.09,26.14,3.45,-19.34,8.32,1.34,-7.3,82.82,93.33,99.91,17.53,11.52,8.65,37.89,18.62,9.99,1.26,1.39,0.95,16.32,23.5,14.6,210.37,134.54,198.73,107.01,106.93,63.95,480.55,932.03,675.82,102.71,78.53,48.71,184.09,138.11,195.93,2.66,2.66,-19.4,53.53,17.86,19.48,874676605,1253967493,1678819457,1290453638,2185999043,2523599224,1255199274,2418949621,2225676108,-0.04,-13.91,-8,490675541,840558756,1357945358,525051875,898811951,868430555,-0.02,-7.21,-6.04,4.32,6.99,8.01
(주)TCC스틸,002710,1.46,7.2,3.98,7649547,51982323,15756156,31.88,31.81,20.97,8.58,2.67,-6.63,15.03,9.89,-9.07,5.58,52.19,-16.05,-84.83,-42.26,1926.8,0,579.55,-69.69,0.38,0.15,3.51,10.22,19.54,11.99,0.75,0.43,8.23,0.38,0.21,4.33,89.78,80.46,88.01,6.4,9.31,7.67,5.99,7.48,6.98,1,1.44,1.23,2.8,4.35,3.73,101.46,106.44,75.47,103.69,102.88,128.58,1067.68,1030.12,1053.59,58.92,55.7,85.25,117.48,114.34,99.24,1.48,1.25,9.66,6.5,8.71,11.29,140824221,148028296,115301681,279622132,287093863,268072135,267844422,407634270,342201139,2.58,14.98,37.07,112418964,124504163,90584012,116562063,128091816,116470148,1.36,5.44,12.49,6.4,8,5.37
(주)가비아,079940,9.82,9.87,4.97,2756838,3900714,3653308,21.62,36.1,21.17,68.36,26.64,-1.19,-18.38,72.93,-22.69,14.46,14.76,7.59,45.67,-34.45,66.58,21.73,41.49,-6.34,16.28,9.3,14.4,54.7,52.04,48.28,22.54,12.51,18.3,14.69,6.77,10.15,45.3,47.96,51.72,23.25,21.19,17.26,0,0,0,0.9,0.73,0.71,4.21,4.96,5.43,64.02,105.4,60.37,175.81,139.54,200.06,237.66,240.33,304.14,175.81,139.54,200.06,118.54,127.64,112.87,11.95,10.73,14.81,23.89,47.71,27.19,9688140,16130784,11692473,24822026,31434599,31059755,17845205,20479549,22033524,49.37,29.18,40.27,3914319,8527994,4598378,6881667,11900139,9199483,26.8,22.98,21.37,9.1,4.73,8.23
(주)강원랜드,035250,999999999,132088.08,32608.62,418174770,470761907,465031522,0,0.87,0,18.12,2.68,14.94,-12.4,5.82,72.52,22.66,7.76,4.99,18.09,5.63,26.11,28.21,12.58,-1.22,27.45,26.91,32.32,56.13,58.58,57.36,19.83,19.32,22.15,15.68,15.09,17.48,43.87,41.42,42.64,348.33,324.13,443.3,2766,1166.01,724.81,0.57,0.56,0.54,1.08,1.19,1.22,28.85,27.28,26.29,140.17,152.87,218.65,1467.16,1525.07,1766.58,140.06,152.49,218.28,91.72,89.48,69.99,8.26,10.27,24.19,8.25,14.12,30.17,452783362,445042331,496820744,2022203780,2076415220,2386535399,1066507237,1149282882,1206658712,84.84,91.34,87.72,415756985,403413590,486575532,582771754,616680591,1063890829,36.02,35.37,36.12,0,0.04,0.16
(주)강원에너지,114190,241.72,569.29,514.44,3388920,6501293,4242047,1.25,0.72,0.44,66.02,30.92,8.52,85.98,39.19,7.13,38.08,57.24,-21.87,264.97,-0.02,10.99,201.15,91.84,-34.75,7.42,4.71,6.7,22.36,20.94,20.88,43.33,30.31,19.45,13.05,9.06,8.5,77.64,79.06,79.12,7.98,4.81,2.7,103.32,56.33,33.97,1.76,1.92,1.27,10.73,15.48,12.19,235.85,233.87,77.36,117.1,123.47,192.39,443.05,486.22,674.65,114.74,116.48,186.01,68.71,51.52,29.28,11.62,16.08,40.09,63.06,18.43,53.55,15673946,20467939,13829706,22319635,29219824,31707899,31479842,49499533,38673260,31.76,11.02,-1.01,15160645,20014124,13759706,17753461,24711260,26472372,15.81,4.56,-0.36,4.45,4.66,4.71
(주)갤럭시아에스엠,011420,2.01,4.1,1.94,6472954,6590527,2178651,1.65,2.35,14.59,-27.48,-17.15,-15.8,-32.56,105.74,-15.13,-1.5,17.95,-12.06,0,0,0,987.27,1.82,-66.94,7.72,-5.72,4.14,21.29,20.69,11.56,0,-19.32,9.31,4.49,-5.1,3.89,78.71,79.31,88.44,12.92,21.12,11.77,20.33,0,0,0.58,0.89,0.94,69.06,101.07,116.18,434.08,180.38,103.49,38.98,119.92,135.05,156.99,201.03,233.24,38.98,119.92,135.05,427.95,142.01,102.27,-31.11,8.2,12.91,17.8,47.83,13.17,54252828,35577442,23680861,66751314,55301387,46564045,46163886,54450391,47884151,27.24,5.21,0.11,34030645,22758098,17150878,13264531,27290774,23162325,32.01,3.4,0.06,44.9,133.87,27.79
(주)경농,002100,9.52,9.03,7.04,19764756,13749851,16796762,11.77,10.24,10.24,2.54,13.14,-1.65,6.89,23.21,-2.23,5.61,9.16,6.41,12.89,-22.93,45.02,3.38,-30.43,22.16,11.64,8.22,11.2,39.64,33.39,36.5,12.84,8.87,11.81,8.56,6.11,8.42,60.36,66.61,63.5,19.88,21.83,20.72,2.43,2.52,2.09,0.74,0.74,0.75,2.25,2.53,2.71,44.28,45.75,35.14,378.98,215.28,265.58,1134.96,1271.21,1348.31,172.84,109.17,73.47,65.56,59.15,55.32,40.16,31.82,36.83,126.65,74.01,40.6,54513133,63071440,51390199,177609593,200945613,197625886,128992027,140801593,149831874,36.76,33.9,1.21,25569619,55458217,43953179,96903681,119391209,116730121,15.53,15.19,0.42,7.96,7.34,11.7
(주)경동나비엔,009450,10.66,12.85,225.66,1463089,4803658,6368807,3.69,0.37,0.34,3.2,6.47,4.39,-8.85,4.65,8.33,-3.2,16.21,13.88,27.75,1.19,-52.24,-37.33,228.32,32.58,4.34,3.78,1.58,21.46,23.6,22.23,6.2,5.76,2.63,4.31,4.16,1.88,78.54,76.4,77.77,4.81,5.38,5.96,8,7.12,7.42,0.99,1.1,1.19,4.4,4.42,4.72,41.16,36.37,43.16,218.12,199.77,177.04,1109.12,1222.32,1215.46,158.29,124.37,124.42,73.88,72.49,73.56,25.81,23.4,21.16,11.85,28.01,41.61,52584156,51216288,60427516,180354656,192027981,200448648,176294384,204875901,233314593,9.08,-4.96,18.68,39407300,45029519,55042157,85956673,89955618,97447788,2.71,-1.24,4.84,3.7,10.14,4.02
(주)경동인베스트,012320,22.09,35.06,37.83,20816794,34309321,25555182,4.77,3.93,3.2,13.42,11.64,19.17,29.26,16.52,36.76,10.64,45.11,4.91,14.84,29.95,-13.13,-0.71,64.82,-25.52,3.49,3.12,2.59,12.11,10.17,9.18,10.62,12.46,9.77,5.62,6.49,4.88,87.89,89.83,90.82,4.61,6.04,5.43,78.89,103.79,78.5,1.61,2.08,1.89,4.59,6.56,6.68,91.69,91.91,107.8,121.92,122.17,125.54,1333.43,1486.89,1636.48,116.89,117.45,119.66,97.5,93.49,85.49,8.83,9.31,11.97,6.14,10.71,17.28,193662814,216477421,279425697,404877671,452001225,538644137,613592335,890353583,934033440,18.89,24.92,22.25,163180631,189739978,252536644,198944082,231806899,317025489,5.96,6.06,6.66,4.74,5.27,3.86
