구분,총자산증가율2016,유동자산증가율2016,매출액증가율2016,매출액순이익률2016,매출원가대매출액비율2016,자기자본순이익률2016,총자산순이익률2016,매출액대판매관리비2016,매출채권회전율2016,재고자산회전율2016,총자본회전율2016,유형자산회전율2016,부채비율2016,유동비율2016,자기자본배율2016,당좌비율2016,고정비율2016,순운전자본비율2016,차입금의존도2016,현금비율2016,부채/자산2016,부채/매출액2016,부채/현금흐름2016,유동부채/부채2016,현금흐름/매출액2016,차입금평균금리2016,이자보상배율2016,정상기업여부
(주)A.M.C,-0.09609341690795126,-0.22528871243179527,-0.027823025504424566,-0.18917887430953015,0.937997596604638,-0.31576275243076757,-0.10723981645608968,0.19087705206429956,4.061668328683567,7.690987948107776,0.5668699364424081,1.1423964819959744,1.9444542686266628,0.852573474215411,0.3396214899653261,0.6000463655189289,0.7665860382116707,-0.040361811030700474,0.524229368801911,0.14137210682821277,0.6603784558804257,1.1649558627590364,-697.2211549456832,0.4145740527740689,-0.0016708555879228761,3.29,-4.044188626075487,0
(주)EG메탈,0.02241758402322545,0.1887985302173578,-0.3984209563694512,-0.06658840820888781,0.9965852657728425,-0.10290142693856635,-0.05159451827115533,0.05741787943973211,10.243579944000524,4.039051422857676,0.7748273259409257,1.3845608888674708,0.9944255016519842,3.323514613159018,0.5013975005609786,1.8419049893087518,0.5711516315096337,0.29981374470566163,0.40979007584247357,0.740861528238174,0.49860246102240224,0.6435013897024284,5.702627972566903,0.2587925159925916,0.11284295465144493,3.35,-3.1816025541784363,0
(주)JBM,-0.05486034732649876,-0.1664401435738386,0.029369384176066986,0.0058612835525780685,0.8886925334594997,0.06005644482690571,0.006650598901610895,0.08901349606665437,15.610925507194217,5.466034283449483,1.134665955324009,2.124485296555887,8.030231068717578,0.8231671937060063,0.11073913750271445,0.37607651583451157,0.6603437923288892,-0.07296494135200762,0.4472294803924603,0.00923961227808382,0.8892608624972855,0.7837204053975102,-223.9044326712623,0.46400452913644563,-0.003500245153914272,4.32,1.1607821208223825,1
(주)KAL호텔네트워크,-0.04022774810159529,0.006991375307970286,0.041675528008451285,-0.11048313630360221,0.0,-0.041298134818115916,-0.02261076808320202,1.0250974963538528,15.074867979541937,0.0,0.20465356831533768,0.22353269168777565,0.8264808460353501,0.185239629429177,0.5475009508972676,0.17900636452164265,0.9173387355100396,-0.36357837831752743,0.0,0.02886284229275082,0.4524990491027324,2.211048909762987,-42.92438460792588,0.986167033128447,-0.051510322860976385,3.65,-0.32958916030606555,0
(주)KH엘텍,0.23371463206543774,1.3643349867916559,0.12323591156185679,-0.053716930699270415,0.9721090549398482,-0.7111612602514182,-0.08228745059351401,0.07720127959240772,7.54389125099069,11.638814653685685,1.531871786461389,2.5033151646774057,7.642402892315343,0.45687104700197617,0.11570856737109494,0.30155542914805455,0.6236369604274129,-0.4474209188163523,0.40062217368650516,0.05217755628017233,0.8842914899425207,0.577262077517092,27.422889206443998,0.9315751285161477,0.02105037412985075,3.49,-5.428667342180923,0
(주)TS푸드앤시스템,0.2686602064223181,0.5108181749150659,0.017670474222050356,-0.02501762186362776,0.7635552641217853,-0.27280714975568804,-0.04449759727272016,0.2553551566590143,13.776135287797716,14.953663580445278,1.7786501656823603,3.781794313290841,5.130828774499609,0.6793550617623912,0.16311008458748202,0.4965298959777482,0.6625229481090841,-0.1592838775344553,0.48069653202173684,0.23969837707924582,0.836889915412518,0.47051968484845585,8.802382364263957,0.5935797770731995,0.053453674854966375,3.41,-2.5223967452878773,0
(주)가야,0.01812688849254043,0.11386397337891434,0.09236263588778097,-0.020577627650319202,0.8899105221432365,-0.09741043230564989,-0.02792779808183032,0.0919124724182079,4.4421326359864475,8.391065221226405,1.3571923137309319,3.0164476442755768,2.4879381475127684,0.7553458006593775,0.28670233178105387,0.5527395025923534,0.463384127837923,-0.17380824311550755,0.48370759231687815,0.12256301414756907,0.7132976682189461,0.5255686029182448,9.099989277778539,0.9959714533365339,0.0577548595800703,2.61,1.9458247237286581,1
(주)가현산업개발,0.018341950718692063,-0.0028588601654791937,-0.09930354321503723,-1.0199433112818939,0.007546259514763452,-0.12985464806712074,-0.02898111582514937,1.0557316699048982,15.45303889789303,14.039024390243902,0.028414437846280963,0.032074062312562594,3.4806641970091037,0.14561501208114266,0.2231811972581011,0.14559413775649072,0.8934563445247143,-0.6251367801649297,0.7208641578413488,0.0012917643050474016,0.7768188027418989,27.33887634675036,86887.73333333334,0.9418933129033941,0.0003146459839373225,4.47,-0.05741154416190279,0
(주)강원심층수,-0.09119875654482949,-0.3336522618948495,0.0984745095135596,-0.4144094414387106,0.6986749732608235,-2.05554786200675,-0.12149882532636352,0.6070691137084728,9.139810489887772,15.919446253578299,0.2931854662976656,0.3138483342294585,15.91825296652251,0.08517276010446814,0.05910775787421901,0.06387960232957005,0.9485305733794199,-0.5528246093941694,0.826342843175213,0.008738532272827252,0.940892242125781,3.2092049241298715,-436.624563624853,0.6422563286004116,-0.007350032937879359,3.63,-2.8431377639642514,0
(주)강진금속,-0.021288521673799177,-0.06367490333531055,-0.12906853821722952,0.003415257476542948,0.8963273636310373,0.008824713089588572,0.003331616176097457,0.0873906662835046,4.236060245680645,4.842762218735067,0.9755095183833238,2.344705480804094,1.6487784375946763,0.8182711600671553,0.37753252057884007,0.47550002538281877,0.5689793356649566,-0.0957248364283556,0.48552685484450975,0.003995501105282895,0.6224674794211599,0.6380947265924709,-427.5488152544749,0.8462216101812563,-0.0014924488241481386,3.61,0.834195169192614,0
