구분,총자산증가율2016,유동자산증가율2016,매출액증가율2016,매출액순이익률2016,매출원가대매출액비율2016,자기자본순이익률2016,총자산순이익률2016,매출액대판매관리비2016,매출채권회전율2016,재고자산회전율2016,총자본회전율2016,유형자산회전율2016,부채비율2016,유동비율2016,자기자본배율2016,당좌비율2016,고정비율2016,순운전자본비율2016,차입금의존도2016,현금비율2016,부채/자산2016,부채/매출액2016,부채/현금흐름2016,유동부채/부채2016,현금흐름/매출액2016,차입금평균금리2016,이자보상배율2016,정상기업여부
(주)JBM,-0.05486034732649876,-0.1664401435738386,0.029369384176066986,0.0058612835525780685,0.8886925334594997,0.06005644482690571,0.006650598901610895,0.08901349606665437,15.610925507194217,5.466034283449483,1.134665955324009,2.124485296555887,8.030231068717578,0.8231671937060063,0.11073913750271445,0.37607651583451157,0.6603437923288892,-0.07296494135200762,0.4472294803924603,0.00923961227808382,0.8892608624972855,0.7837204053975102,-223.9044326712623,0.46400452913644563,-0.003500245153914272,4.32,1.1607821208223825,1
(주)KH엘텍,0.23371463206543774,1.3643349867916559,0.12323591156185679,-0.053716930699270415,0.9721090549398482,-0.7111612602514182,-0.08228745059351401,0.07720127959240772,7.54389125099069,11.638814653685685,1.531871786461389,2.5033151646774057,7.642402892315343,0.45687104700197617,0.11570856737109494,0.30155542914805455,0.6236369604274129,-0.4474209188163523,0.40062217368650516,0.05217755628017233,0.8842914899425207,0.577262077517092,27.422889206443998,0.9315751285161477,0.02105037412985075,3.49,-5.428667342180923,0
(주)TS푸드앤시스템,0.2686602064223181,0.5108181749150659,0.017670474222050356,-0.02501762186362776,0.7635552641217853,-0.27280714975568804,-0.04449759727272016,0.2553551566590143,13.776135287797716,14.953663580445278,1.7786501656823603,3.781794313290841,5.130828774499609,0.6793550617623912,0.16311008458748202,0.4965298959777482,0.6625229481090841,-0.1592838775344553,0.48069653202173684,0.23969837707924582,0.836889915412518,0.47051968484845585,8.802382364263957,0.5935797770731995,0.053453674854966375,3.41,-2.5223967452878773,0
(주)강원심층수,-0.09119875654482949,-0.3336522618948495,0.0984745095135596,-0.4144094414387106,0.6986749732608235,-2.05554786200675,-0.12149882532636352,0.6070691137084728,9.139810489887772,15.919446253578299,0.2931854662976656,0.3138483342294585,15.91825296652251,0.08517276010446814,0.05910775787421901,0.06387960232957005,0.9485305733794199,-0.5528246093941694,0.826342843175213,0.008738532272827252,0.940892242125781,3.2092049241298715,-436.624563624853,0.6422563286004116,-0.007350032937879359,3.63,-2.8431377639642514,0
(주)경동개발,0.1669628848640981,0.2957557622949614,-0.018776682799187955,0.004883624643386754,0.8985825623830396,0.006444627505291662,0.003147916135297974,0.07946894168802121,13.270547837864694,1.3072185941089831,0.6445860124734974,3.2158818288581847,1.047267852223652,1.6231407133269504,0.48845587005815777,0.7233283547775223,0.20072756993546223,0.30684905388893213,0.19687321012295664,0.06809118486448866,0.5115441299418422,0.7936010401139052,54.3874309487402,0.9626214970575258,0.014591625790559384,1.02,6.214407671950144,1
(주)교학사,0.005190195240518525,-0.12242105898063485,-0.03614279364551204,0.004174476773423137,0.7914078641937388,0.0037486501226220727,0.0009269527926686604,0.19946119435605392,1.1729114206999254,1.2062886324926634,0.22205244943991972,0.4795507029798865,3.0440572079510733,0.5516286817288213,0.24727642280477313,0.32393769369362335,0.6470560982053891,-0.2868776247118115,0.18252038924966832,0.0013382879614987759,0.7527235771952269,3.3898458634156596,-334.2074946756364,0.85000862667859,-0.010142937897624528,1.69,0.21786058185929577,1
(주)국일방적,0.14110785919345817,0.2742623683215766,-0.10573626989745441,0.005063170662316532,0.9469255855841382,0.010943803578979505,0.004767198876039326,0.04355361830034258,5.6293458979767035,4.578261092824665,0.94154418130125,3.361965226935768,1.2956465344847983,1.2359749171353829,0.4356071307050872,0.861721877925281,0.35686771055522126,0.12278816385395672,0.4635422532899316,0.35412519074110804,0.5643928692949128,0.5994332294793647,-41.152016135303036,0.9219537703305959,-0.01456631498948917,1.8,1.105440721396583,1
(주)국제금속,-0.03344626571129157,-0.030569698360960948,0.3057133129505779,-0.06287614885991852,0.975807104863716,-0.1489669679768436,-0.03165799637285888,0.044249337205132924,12.426090007895429,12.597356668649384,0.5034977005889719,0.5879256944132307,3.7055086237860144,2.7581882536568307,0.21251688748729858,1.6860853365492787,0.8996610692699765,0.06396036570749715,0.7483463300043615,0.44489843672657564,0.7874831592843471,1.564025333905557,57.91501642502107,0.04619599110612942,0.02700552344538143,3.29,-0.4096587394648664,0
(주)기흥금속,-0.03443368204731483,0.05296113963333112,-0.07788916058758774,-0.2287550939532871,0.9978138316969967,-1.6259858539897556,-0.0955543974159003,0.22338784826730826,13.267502074538273,4.205813373900466,0.41771483976401835,0.4983922188759253,16.016337269258848,0.21884420256281664,0.058767053342705364,0.05517386263723438,0.8674913664781291,-0.47298437004003907,0.7530405508379329,0.001604501374966902,0.9412329466572946,2.2532906592186905,-293.800935828877,0.6432977146754847,-0.007669446841146582,1.78,-6.3953853754940715,0
(주)꼬끼오,0.028686683136468313,-0.07684227489771842,0.26256870262445103,-0.07981751722328724,0.616413046556403,-0.4735137533461295,-0.11320026095505234,0.44266993507149816,56.47198278457839,1.95678596965825,1.4182383127550537,7.242242615901234,3.1829740439745486,0.7469367806228419,0.23906435695924783,0.06855390426603454,0.508088836972428,-0.16666018569806737,0.4897990954629198,0.015428995647815878,0.7609356430407521,0.5365358107993622,105.1896932218903,0.8654757531056662,0.005100650019651426,6.97,-2.589016016880862,0
