구분,총자산증가율2002,유동자산증가율2002,매출액증가율2002,매출액순이익률2002,매출총이익률2002,자기자본순이익률2002,총자산순이익률2002,매출원가대매출액비율2002,매출액대판매관리비2002,매출채권회전율2002,재고자산회전율2002,총자본회전율2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,고정비율2002,순운전자본비율2002,차입금의존도2002,현금비율2002,부채/총자산2002,부채/매출액2002,부채/현금흐름2002,유동부채/부채2002,총부채/총자산2002,유동부채/총부채2002,유동자산/총자산2002,현금흐름/매출액2002,이자보상배율2002,차입금평균금리2002,정상기업여부
(주)지에스글로벌,-0.16986714617328502,-0.17213303665756977,-0.1277929952948992,0.05273961448219866,0.03749203323414067,-10.597477275088764,0.22444431238005919,0.962507966287507,0.03549702439625705,8.949670233876356,59.00231240453623,4.255706352495551,45.97894840191387,-48.216510691274266,0.7524004545393148,-0.021179032193600927,0.6721773184347465,0.3488869988250986,-0.2142679236327127,0.43778206356633165,0.08587408925622024,0.43778206356633165,0.10286942455736303,11.634476594793878,1.9767391056588908,1.021179032193601,0.8474331116539713,0.6511130011749015,0.008841775022642136,0.3194657413009118,9.05,1
(주)한창,-0.6083804689573203,-0.8744976755211675,-0.30437837554936886,-0.06152887643564598,0.08500691316123071,-1.3525862848122727,-0.07913195935304815,0.9149930868387693,0.057136360347425995,2.1177320506696966,47.380846445975145,1.2860946589169966,2.054329761008574,16.092794060332732,0.37898673136265887,0.0585041858265116,0.32535445834549426,0.8244965192446677,-0.2875826017687285,0.5441276061460166,0.014584344420337956,0.5441276061460166,0.42308519234829833,-334.5836103258675,0.851061547499929,0.9414958141734884,0.49186207262173604,0.17550348075533231,-0.0012645126039982498,0.36177960753479615,8.83,1
케이지케미칼(주),-0.03906000618823068,-0.012952821369923595,0.02014977139715832,-0.06331721380028975,0.19198805157056217,1.2476371147757916,-0.07295358916766878,0.8080119484294378,0.16129208297723566,4.237286625747923,4.87970332417164,1.1521920310292448,3.3930666396321723,-18.101792242462945,4.361633191904569,-0.05847340408815828,2.941997008091394,0.41383309934964524,0.45177529208081413,0.9207710702641093,0.19137764338861799,0.9207710702641093,0.799147230207443,-299.56876654952936,0.1459555071935442,1.0584734125134245,0.12696739188792436,0.5861669006503547,-0.0026676587129296596,0.36081512879875643,11.63,0
하이트진로(주),-0.11572313117045212,-0.31542592915361867,0.06008206205565445,-0.26719089769374965,0.29628735838765397,0.5979314874292246,-0.1384589877993638,0.7037126427053166,0.22188496951070022,7.4096251558789605,14.227991969163654,0.5182024874143112,2.3232025360475,-5.318473628419606,0.484377345295919,-0.23156329899042621,0.43030921420879237,0.770388466008222,-0.24442288611823396,0.7529771784267794,0.13373557011665835,0.7529771784267794,1.45305589362168,-12.769899940676336,0.6295468623636484,1.2315632989904262,0.3849046334026043,0.229611533991778,-0.11378757080102238,0.3173020607686816,16.79,0
