회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(유)비티투자,054082,2006,
(재)미래인력연구원,054023,2006,
(주)미래자원엠엘,053385,2006,
(주)미래중공업,050423,2006,
(주)미래지원,050712,2006,
(주)미래테크,059349,2006,
(주)미래테크노,053254,2006,
(주)미래테크빌,044629,2006/12,부동산업
(주)미래테크윈,039534,2006/12,제조업
(주)미래페이퍼,014639,2006/12,제조업
(주)미래홈이엔씨,039841,2006/12,부동산업
(주)미래화이바테크,053926,2006,
(주)미르도시건설,049720,2006,
(주)미르디앤아이,048745,2006,
(주)미르시스템,047449,2006/12,제조업
(주)미르알앤디,045865,2006/12,건설업
(주)미르앤두루,052982,2006,
(주)미르이앤씨,046222,2006/12,부동산업
(주)미림아트텍,059331,2006,
(주)미미월드,014646,2006/12,제조업
(주)미백산업,056399,2006,
(주)미봉이앤씨,049691,2006,
(주)미성드림시티,040276,2006/12,건설업
(주)미성엔아이티,044634,2006,
(주)미성이앤씨,052991,2006,
(주)미성포리테크,044092,2006/12,제조업
(주)미소인,049441,2006,
(주)미소하우징,050127,2006,
(주)미스지콜렉션,040893,2006/12,제조업
(주)미스터도너트코리아,051237,2006,
(주)미스터피자,047100,2006/12,도매 및 소매업
(주)미엔지에셋,060065,2006,
(주)미우라인,029374,2006/12,제조업
(주)미우주택건설,053005,2006,
(주)미즈나래,059146,2006,
(주)미진산업개발,038995,2006/12,건설업
(주)미창케이블,058492,2006,
(주)미켈란젤로,023645,2006/12,제조업
(주)미코티엔,051469,2006,
(주)미토,050726,2006,
(주)미토스,012576,2006/12,제조업
(주)미트리치,059787,2006,
(주)미트뱅크,052185,2006,
(주)미트빌,048457,2006,
(주)미트포유,049386,2006,
(주)미평건설,038831,2006/12,건설업
(주)미평산업개발,029363,2006/12,건설업
(주)미포,059901,2006,
(주)미포쉬핑,052794,2006,
(주)미화공영,044274,2006/12,건설업
(주)미화실업,058864,2006,
(주)민맥정보,048124,2006,
(주)민아이티에스,014665,2006/12,"전문, 과학 및 기술 서비스업"
(주)민영물산,014666,2006/12,제조업
(주)민영산업,059161,2006,
(주)민예,049161,2006,
(주)민음사,038964,2006/12,제조업
(주)민진`,041685,2006/12,제조업
(주)민한건설,014667,2006/12,건설업
(주)민훈건설,050128,2006,
(주)밀개,044526,2006/12,부동산업
(주)밀라노,028625,2006/12,부동산업
(주)밀라트,029991,2006/12,건설업
(주)밀라트산업개발,038968,2006/12,건설업
(주)밀레21,020816,2006,
(주)밀레니엄,052781,2006,
(주)밀레니엄빌더,058022,2006,
(주)밀레니엄산업,038973,2006/12,부동산업
(주)밀레에델바이스홀딩스,041400,2006/12,제조업
(주)밀레코리아,010719,2006/12,도매 및 소매업
(주)밀리언골프클럽,046572,2006/12,"예술, 스포츠 및 여가관련 서비스업"
(주)밀양한천,017859,2006/12,제조업
(주)바라,051413,2006,
(주)바로스,049350,2006,
(주)바로크씨앤에프,038730,2006/12,제조업
(주)바론즈인터내셔널,014672,2006/12,숙박 및 음식점업
(주)바바패션,017861,2006/12,제조업
(주)바비엥데꼬레,044608,2006/12,부동산업
(주)바스코,039909,2006/12,부동산업
(주)바움디파트너스,059499,2006,
(주)바이오넷,042259,2006/12,제조업
(주)바이오노트,047952,2006,
(주)바이오로제트,045627,2006/12,제조업
(주)바이오리더스,059494,2006,
(주)바이오메디앙,052398,2006,
(주)바이오메디칼홀딩스,045756,2006/12,보건업 및 사회복지 서비스업
(주)바이오세움,013413,2006/12,제조업
(주)바이오액츠,013538,2006/12,제조업
(주)바이오에이지,042258,2006/12,"전문, 과학 및 기술 서비스업"
(주)바이오컨트리클럽,050548,2006,
(주)바이오톡스텍,038655,2006/12,"전문, 과학 및 기술 서비스업"
(주)바이오프로테크,051824,2006,
(주)바이오하이테크,047620,2006/12,제조업
(주)바이온텍,043077,2006,
(주)바이텍금속,050631,2006,
(주)바이텍씨스템,020828,2006/12,정보통신업
(주)바이텍정보통신,017865,2006/12,정보통신업
(주)바이텍코리아,052912,2006,
(주)바인아이엔지,053964,2006,
(주)바체,014063,2006/12,제조업
(주)바텍,011193,2006,
(주)바텍이우홀딩스,046039,2006/12,제조업
(주)박스인시네,048218,2006,
(주)박스터,014683,2006/12,도매 및 소매업
(주)박원,052983,2006,
(주)박전자,041225,2006/12,제조업
(주)박홍근홈패션,039978,2006/12,제조업
(주)반도,058325,2006,
(주)반도개발,013904,2006/12,"예술, 스포츠 및 여가관련 서비스업"
(주)반도건설,052744,2006,
(주)반도도건,053061,2006,
(주)반도레저,052528,2006,
(주)반도종합건설,052523,2006,
(주)반도종합건설홀딩스,014689,2006/12,건설업
(주)반도주택지주,014690,2006/12,부동산업
(주)반도호이스트크레인,038929,2006/12,제조업
(주)반도홀딩스,017867,2006/12,"전문, 과학 및 기술 서비스업"
(주)반우이앤씨,053892,2006,
(주)반월,059652,2006,
(주)반추정보통신,058014,2006,
(주)발트하우스,048816,2006,
(주)발해인터내셔날,045587,2006/12,건설업
(주)밤비니교육센터,060028,2006,
(주)방림,046873,2006/12,제조업
(주)방원,043358,2006/12,제조업
(주)백강디앤씨,049663,2006,
(주)백년약속,057349,2006,
(주)백마실업,044644,2006/12,부동산업
(주)백산린텍스,014710,2006/12,제조업
(주)백산티엔에스,014711,2006/12,도매 및 소매업
(주)백산하이테크,048860,2006,
(주)백석공영,014714,2006/12,제조업
(주)백석씨엠,039416,2006/12,부동산업
(주)백선,038825,2006/12,부동산업
(주)백송개발,059486,2006,
(주)백송물산,042505,2006/12,건설업
(주)백스글로벌,014716,2006/12,운수 및 창고업
(주)백악관웨딩하우스,059135,2006,
(주)백익인베스트먼트,053994,2006,
(주)백조씽크,014249,2006/12,제조업
(주)백진디앤에스,059597,2006,
(주)백철금속,014721,2006/12,"수도, 하수 및 폐기물 처리, 원료 재생업"
(주)백학음료,042877,2006/12,제조업
(주)백호에이엠씨,050574,2006,
(주)밴퀴쉬홀딩스,053358,2006,
(주)밴티지건설,049670,2006,
(주)밸류버거시스템즈,051497,2006,
(주)밸류스페이스,050699,2006,
(주)밸류플러스,059530,2006,
(주)뱅크타운,043054,2006/12,정보통신업
(주)버드우드,042017,2006/12,"예술, 스포츠 및 여가관련 서비스업"
(주)버텍스,048952,2006,
(주)범농,051892,2006,
(주)범비에스티,053415,2006,
(주)범산디엔씨,049941,2006,
(주)범서,046757,2006/12,제조업
(주)범양사,042671,2006/12,제조업
(주)범양이엔씨,018187,2006/12,건설업
(주)범어개발,046652,2006/12,건설업
(주)범우,014733,2006/12,"수도, 하수 및 폐기물 처리, 원료 재생업"
(주)범우건설,053516,2006,
(주)범우공영,030635,2006/12,건설업
(주)범창주택,043588,2006/12,건설업
(주)범천정밀,041603,2006/12,제조업
