회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(주)인스빌,039379,2018/12,부동산업
(주)인스코퍼레이션,058601,2018,
(주)인스타디앤씨,087283,2018/12,부동산업
(주)인스텍,085404,2018/12,제조업
(주)인스파월드,044731,2018,
(주)인아,082697,2018/12,제조업
(주)인아오리엔탈모터,025922,2018/12,제조업
(주)인아코포,017114,2018/12,도매 및 소매업
(주)인아텍,042936,2018/12,제조업
(주)인아트,070933,2018/12,제조업
(주)인암,066249,2018/12,부동산업
(주)인앤아웃,026266,2018/12,숙박 및 음식점업
(주)인엑스하우징,051878,2018,
(주)인원어페럴,065861,2018/12,제조업
(주)인정건설,081613,2018/12,건설업
(주)인젠,017119,2018,
(주)인젠트,041449,2018/12,정보통신업
(주)인지컴퍼니,089952,2018/12,제조업
(주)인천공항영종위탁관리부동산투자회사,090664,2018/12,부동산업
(주)인천글로벌시티,075965,2018/12,부동산업
(주)인천금속,064226,2018/12,제조업
(주)인천도화공공임대위탁관리부동산투자회사,078234,2018/12,부동산업
(주)인천도화뉴스테이기업형임대위탁관리부동산투자회사,078287,2018/12,부동산업
(주)인천도화위탁관리부동산투자회사,074695,2018/12,부동산업
(주)인천리사이클링,063906,2018/12,"수도, 하수 및 폐기물 처리, 원료 재생업"
(주)인천송도M2PFV,084815,2018/12,건설업
(주)인천신세계,080223,2018/12,도매 및 소매업
(주)인천유나이티드,040385,2018/12,"예술, 스포츠 및 여가관련 서비스업"
(주)인천유니온약품,080804,2018/12,도매 및 소매업
(주)인천이피에스,073665,2018/12,제조업
(주)인천장례식장,080296,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)인철스카이정비,076059,2018,
(주)인코미디어넷,089867,2018/12,"전문, 과학 및 기술 서비스업"
(주)인콤,091880,2018/12,제조업
(주)인크룩스,069091,2018,
(주)인타이어모터스,070583,2018/12,도매 및 소매업
(주)인터내셔널시티스퀘어,089675,2018/12,숙박 및 음식점업
(주)인터내셔널오토트레이딩,060974,2018/12,도매 및 소매업
(주)인터네셔널메디칼,074579,2018,
(주)인터랙티비,045340,2018,
(주)인터렉스메가라인,052683,2018/12,운수 및 창고업
(주)인터롤코퍼레이션,090123,2018/12,도매 및 소매업
(주)인터불고건설,048546,2018/12,건설업
(주)인터불고몰,067277,2018,
(주)인터불고유통,058780,2018,
(주)인터소프트,083454,2018,
(주)인터아이디,060074,2018,
(주)인터알리아,038719,2018,
(주)인터에셋홀딩스,051150,2018/12,부동산업
(주)인터오션,089857,2018/12,제조업
(주)인터우드,078400,2018/12,도매 및 소매업
(주)인터워크코리아,082050,2018/12,제조업
(주)인터웨이브,059120,2018,
(주)인터컨스텍,040705,2018/12,건설업
(주)인터케어,053221,2018/12,도매 및 소매업
(주)인터코스,072353,2018,
(주)인터코스코리아,081798,2018/12,도매 및 소매업
(주)인터콤어소시에이션,043247,2018/12,"전문, 과학 및 기술 서비스업"
(주)인터텍,076429,2018,
(주)인터텍킴스코,059280,2018/12,"전문, 과학 및 기술 서비스업"
(주)인터파크,045517,2018,
(주)인터파크비즈마켓,065670,2018/12,도매 및 소매업
(주)인터파크씨어터,058019,2018/12,"예술, 스포츠 및 여가관련 서비스업"
(주)인터파크에이치엠,061986,2018,
(주)인터파크인터내셔널,065658,2018/12,도매 및 소매업
(주)인터파크큐브릿지,028359,2018/12,도매 및 소매업
(주)인터펫코리아,075985,2018/12,도매 및 소매업
(주)인터피드,065693,2018/12,도매 및 소매업
(주)인터하우스,011725,2018,
(주)인테라뱅,069119,2018,
(주)인테로,057231,2018,
(주)인테코,084991,2018/12,제조업
(주)인테코스틸,070366,2018,
(주)인테크디자인,089617,2018/12,건설업
(주)인텍상역,073017,2018/12,도매 및 소매업
(주)인텔로그디앤씨,046354,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)인텔리안시스템즈,070816,2018/12,정보통신업
(주)인텔리안테크놀로지스,051805,2018,
(주)인템,053575,2018/12,부동산업
(주)인토디앤씨,088111,2018/12,부동산업
(주)인투온,066592,2018/12,제조업
(주)인트라게임즈,073270,2018,
(주)인트라코,089291,2018/12,제조업
(주)인트로메딕,052392,2018,
(주)인포마스터,074446,2018,
(주)인포마크,061038,2018,
(주)인포스,090471,2018/12,정보통신업
(주)인포트,049309,2018,
(주)인포허브,030417,2018,
(주)인풍,018422,2018/12,"전문, 과학 및 기술 서비스업"
(주)인프라웨어테크놀러지,072767,2018,
(주)인플레이인터렉티브,070125,2018/12,정보통신업
(주)인피니티,050367,2018/12,제조업
(주)인피니티플래닝,092032,2018/12,부동산업
(주)인피온,070436,2018/12,"전문, 과학 및 기술 서비스업"
(주)인하,083063,2018,
(주)인하우징,064940,2018,
(주)인흥개발,073086,2018,
(주)인흥산업,077238,2018,
(주)일강,047395,2018/12,제조업
(주)일강케이스판,081539,2018,
(주)일경아이씨디,064775,2018/12,부동산업
(주)일광,089074,2018/12,도매 및 소매업
(주)일광메탈,050310,2018/12,제조업
(주)일광캔테크,042983,2018/12,제조업
(주)일광태양광발전소,059117,2018,
(주)일광폴리머,051845,2018/12,도매 및 소매업
(주)일군토건,074768,2018/12,건설업
(주)일동,041198,2018/12,제조업
(주)일동유황온천,017151,2018,
(주)일렉스,080654,2018/12,제조업
(주)일렉콤,062030,2018/12,제조업
(주)일룸,053188,2018/12,도매 및 소매업
(주)일륭금속,063170,2018/12,제조업
(주)일만,072590,2018,
(주)일미,053943,2018/12,제조업
(주)일산,065956,2018/12,제조업
(주)일산씨월드,065761,2018/12,"예술, 스포츠 및 여가관련 서비스업"
(주)일산전기,087518,2018/12,제조업
(주)일산태양광,059070,2018,
(주)일삼사메리트컴,056502,2018/12,"전문, 과학 및 기술 서비스업"
(주)일성,067279,2018/12,"수도, 하수 및 폐기물 처리, 원료 재생업"
(주)일성건설,017162,2018/12,건설업
(주)일성레미콘,080429,2018,
(주)일성산업,087617,2018/12,제조업
(주)일성엔지니어링,058827,2018/12,건설업
(주)일성테크,063953,2018/12,제조업
(주)일성티디에스,074574,2018,
(주)일성티엔씨,092372,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)일성하이스코,010561,2018/12,제조업
(주)일승식품,083334,2018/12,제조업
(주)일신레져,018433,2018/12,"예술, 스포츠 및 여가관련 서비스업"
(주)일신밸브,048930,2018/12,제조업
(주)일신비츠온,059384,2018/12,도매 및 소매업
(주)일신씨앤에이,082944,2018,
(주)일신오토클레이브,070218,2018/12,제조업
(주)일신이앤씨,057850,2018/12,"전문, 과학 및 기술 서비스업"
(주)일신이앤씨,043408,2018/12,건설업
(주)일신전기,046238,2018/12,제조업
(주)일신정밀,053580,2018/12,제조업
(주)일신종합건축,090912,2018/12,건설업
(주)일신종합환경,067346,2018/12,건설업
(주)일신케미칼,086532,2018/12,제조업
(주)일신테크,073066,2018/12,제조업
(주)일신피앤씨,077033,2018/12,부동산업
(주)일심,017181,2018/12,도매 및 소매업
(주)일양로지스,043533,2018/12,운수 및 창고업
(주)일양물류,043643,2018/12,운수 및 창고업
(주)일양엔지니어링,078699,2018,
(주)일양오피오,064737,2018/12,제조업
(주)일양익스프레스,018437,2018/12,운수 및 창고업
(주)일양종합물류,048926,2018/12,운수 및 창고업
(주)일양토건,017183,2018,
(주)일우,017186,2018/12,건설업
(주)일우산업개발,083209,2018,
(주)일우상사,048839,2018/12,제조업
(주)일우정밀,041695,2018/12,제조업
(주)일우텍,049390,2018/12,건설업
(주)일우피피씨,080931,2018,
(주)일웅테크론,086444,2018/12,제조업
(주)일웅플라텍,089987,2018/12,제조업
(주)일원디앤씨,076483,2018/12,부동산업
(주)일월,070919,2018/12,제조업
(주)일월세미컴,052326,2018/12,도매 및 소매업
(주)일이종합건설,065035,2018/12,건설업
(주)일진,092323,2018/12,제조업
(주)일진,014145,2018/12,제조업
(주)일진글로벌홀딩스,018438,2018/12,제조업
(주)일진레이텍,064649,2018,
(주)일진베어링,017196,2018/12,제조업
(주)일진에너지,070302,2018/12,제조업
(주)일진에이엔씨,078402,2018/12,제조업
(주)일진이플러스,067853,2018/12,제조업
(주)일진콤텍,071367,2018/12,제조업
(주)일해,073759,2018/12,제조업
(주)일해토건,017204,2018,
(주)일호인터내셔날,040364,2018,
(주)일화,017207,2018/12,제조업
(주)일흥,061202,2018,
(주)임광아이앤씨,059655,2018,
(주)임산업,017211,2018,
(주)임오산업,058497,2018/12,도매 및 소매업
(주)임오파트너스,058129,2018/12,제조업
(주)입소스코리아,061221,2018/12,"전문, 과학 및 기술 서비스업"
(주)잇츠스킨,063089,2018,
(주)잉글리쉬무무,053777,2018,
(주)잉카엔트웍스,077643,2018,
(주)잉카인터넷,030404,2018,
(주)자강,026437,2018/12,제조업
(주)자광,085178,2018/12,부동산업
(주)자광홀딩스,081010,2018/12,"예술, 스포츠 및 여가관련 서비스업"
(주)자람테크놀로지,090621,2018/12,제조업
(주)자비스,063525,2018,
(주)자사제이에스엠,059670,2018,
(주)자산유리,023781,2018/12,제조업
(주)자스텍,011258,2018,
(주)자스펠,059102,2018,
(주)자연과사람들,029822,2018/12,제조업
(주)자연디앤씨,069858,2018,
(주)자연인,092012,2018/12,제조업
(주)자유로청아공원,040333,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)자유투어,065197,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)자은전자,014215,2018,
(주)자음과모음,078706,2018/12,정보통신업
(주)자이언엔텍,077483,2018/12,제조업
(주)자이언트스텝,081611,2018/12,정보통신업
(주)자이언트케미칼,088170,2018/12,제조업
(주)자이코리아,052588,2018,
(주)자인,080358,2018/12,건설업
(주)자인텍,091593,2018/12,부동산업
(주)자형매니지먼트,048492,2018/12,도매 및 소매업
(주)작은거인,046465,2018,
(주)작은신부,046038,2018,
(주)잔티아시아,064338,2018,
(주)잠언의료기,089925,2018/12,제조업
(주)장나라미트,066436,2018/12,도매 및 소매업
(주)장백산업기계,061508,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)장산우가,056746,2018,
(주)장산태양광발전소,053103,2018/12,"전기, 가스, 증기 및 공기조절 공급업"
(주)장성산업,059588,2018,
(주)장수산업,039623,2018/12,제조업
(주)장수주택건설,041765,2018,
(주)장안신기테크,067733,2018,
(주)장안에너지,017224,2018/12,도매 및 소매업
(주)장업시스템,067166,2018/12,제조업
(주)장연다이아몬드관광호텔,030604,2018/12,건설업
(주)장영,017226,2018/12,제조업
(주)장영건설,076743,2018/12,건설업
(주)장원,064051,2018,
(주)장원,068836,2018/12,제조업
(주)장원디앤씨,081396,2018/12,부동산업
(주)장원레미콘,086168,2018/12,제조업
(주)장원조경,080102,2018/12,건설업
