회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(유)에스아이지,058564,2010/12,제조업
(유)유맥에프앤알,014534,2010/12,부동산업
(주)에스디비즈,061648,2010/12,도매 및 소매업
(주)에스디산업개발,050555,2010/12,부동산업
(주)에스디상사,067338,2010,
(주)에스디시티원,070836,2010,
(주)에스디에스,067666,2010,
(주)에스디엔제이홀딩스,056760,2010/12,"예술, 스포츠 및 여가관련 서비스업"
(주)에스디엠,057273,2010/12,부동산업
(주)에스디오,045336,2010/12,제조업
(주)에스디이앤티,058322,2010/12,도매 및 소매업
(주)에스디인터내셔날,045565,2010/12,제조업
(주)에스디케이,069737,2010,
(주)에스디페이퍼,061943,2010/12,도매 및 소매업
(주)에스떠블유산업개발,050474,2010/12,건설업
(주)에스랜드이십일,061755,2010/12,도매 및 소매업
(주)에스백,071466,2010,
(주)에스비디,063493,2010,
(주)에스비비테크,045366,2010/12,제조업
(주)에스비성남,049149,2010/12,부동산업
(주)에스비씨리니어,029948,2010/12,제조업
(주)에스비알,049210,2010/12,제조업
(주)에스비에스골프,016326,2010/12,정보통신업
(주)에스비에스미디어넷,040574,2010/12,정보통신업
(주)에스비에스비즈니스네트워크,044989,2010/12,정보통신업
(주)에스비에스아이피티브이에스피씨,060537,2010/12,정보통신업
(주)에스비에스아트텍,016327,2010/12,"예술, 스포츠 및 여가관련 서비스업"
(주)에스비에스에이앤티,029321,2010/12,정보통신업
(주)에스비에스엠앤씨,062951,2010,
(주)에스비에스이플러스,062957,2010,
(주)에스비엠,065337,2010,
(주)에스비인터랙티브,043019,2010,
(주)에스비정공,052085,2010/12,제조업
(주)에스비티,059580,2010/12,부동산업
(주)에스씨,057159,2010/12,부동산업
(주)에스씨개발,070180,2010,
(주)에스씨디,040649,2010/12,부동산업
(주)에스씨모터스,059420,2010/12,도매 및 소매업
(주)에스씨산업개발,066164,2010,
(주)에스씨엘,044622,2010/12,제조업
(주)에스씨인터내셔날,064245,2010,
(주)에스씨티,053568,2010/12,"전문, 과학 및 기술 서비스업"
(주)에스아이리얼티,061481,2010/12,부동산업
(주)에스아이시,061965,2010/12,제조업
(주)에스아이시스템,070256,2010,
(주)에스아이씨,049001,2010/12,운수 및 창고업
(주)에스아이씨이노베이션,060023,2010/12,제조업
(주)에스아이앤지,054006,2010/12,제조업
(주)에스아이지텔레콤,069897,2010,
(주)에스아이텍,042984,2010/12,제조업
(주)에스아이티,060948,2010/12,제조업
(주)에스아이티,060122,2010/12,도매 및 소매업
(주)에스아이티홀딩스,045425,2010/12,제조업
(주)에스아이플렉스,016332,2010/12,제조업
(주)에스알냉장,053041,2010/12,운수 및 창고업
(주)에스알인터내셔널,056406,2010/12,제조업
(주)에스알지텍,061243,2010,
(주)에스앤디,045208,2010/12,제조업
(주)에스앤비,059338,2010/12,제조업
(주)에스앤비인터내셔널,061215,2010/12,제조업
(주)에스앤비푸드농업회사법인,070939,2010,
(주)에스앤씨산업,058318,2010/12,제조업
(주)에스앤에스물류,060093,2010/12,운수 및 창고업
(주)에스앤에스인터내셔날,061048,2010,
(주)에스앤제이네트웍스,067343,2010,
(주)에스앤제이케이,061416,2010/12,부동산업
(주)에스앤지,060521,2010/12,제조업
(주)에스앤지컴퍼니,056486,2010/12,제조업
(주)에스앤텍,016335,2010/12,제조업
(주)에스앤티스포츠,068019,2010,
(주)에스앤피리미티드,062944,2010,
(주)에스앤피리스트럭처링,064818,2010,
(주)에스에스뉴테크,066524,2010,
(주)에스에스디,062914,2010,
(주)에스에스모터스,043558,2010/12,도매 및 소매업
(주)에스에스유통,030051,2010/12,숙박 및 음식점업
(주)에스에스이앤시,053606,2010/12,건설업
(주)에스에스피기업,069244,2010,
(주)에스에이,068956,2010,
(주)에스에이씨,043510,2010/12,제조업
(주)에스에이씨티엔에스,069175,2010,
(주)에스에이엘,067064,2010,
(주)에스에이치개발,041753,2010/12,부동산업
(주)에스에이치글로벌,046953,2010/12,제조업
(주)에스에이치디(SHD),052264,2010/12,건설업
(주)에스에이치디앤씨,064668,2010,
(주)에스에이치비,040601,2010/12,제조업
(주)에스에이치앤엠,046407,2010/12,도매 및 소매업
(주)에스에이치엘,029719,2010/12,제조업
(주)에스에이치이,064599,2010,
(주)에스에이치이씨,052174,2010/12,제조업
(주)에스에이치케이글로벌,064793,2010,
(주)에스에이치케이홀딩스,064791,2010,
(주)에스에이치테크놀로지,043435,2010/12,제조업
(주)에스에이컨설팅,061714,2010/12,부동산업
(주)에스에이티,045455,2010/12,제조업
(주)에스에프씨,039063,2010/12,제조업
(주)에스에프에스,061094,2010/12,운수 및 창고업
(주)에스에프유,063823,2010,
(주)에스엔드케이월드코리아,021066,2010/12,건설업
(주)에스엔아이,056360,2010/12,도매 및 소매업
(주)에스엔에스인더스트리,049840,2010/12,제조업
(주)에스엔에프,066251,2010,
(주)에스엔지,051977,2010/12,도매 및 소매업
(주)에스엔케이인터내쇼날,016338,2010/12,제조업
(주)에스엔케이중공업,066756,2010,
(주)에스엔텍,058248,2010/12,제조업
(주)에스엔피제네틱스,044938,2010,
(주)에스엘라이텍,015318,2010/12,제조업
(주)에스엘레전드,061417,2010/12,제조업
(주)에스엘앤피,059928,2010/12,"전문, 과학 및 기술 서비스업"
(주)에스엘이앤티,049185,2010/12,"전문, 과학 및 기술 서비스업"
(주)에스엘티이,063301,2010,
(주)에스엘피지엘씨,070202,2010,
(주)에스엠,029052,2010/12,도매 및 소매업
(주)에스엠,051324,2010/12,건설업
(주)에스엠,068898,2010,
(주)에스엠산업개발,052836,2010/12,부동산업
(주)에스엠솔루션,063609,2010,
(주)에스엠씨,016340,2010/12,제조업
(주)에스엠앤컴퍼니,062310,2010/12,부동산업
(주)에스엠에스,041376,2010/12,제조업
(주)에스엠엔터프라이즈,066275,2010,
(주)에스엠이,066312,2010,
(주)에스엠이,052945,2010/12,제조업
(주)에스엠지,066915,2010,
(주)에스엠케이티앤아이,048857,2010/12,도매 및 소매업
(주)에스엠코리아,069617,2010,
(주)에스엠테크,066233,2010,
(주)에스엠테크텍스,060551,2010/12,제조업
(주)에스엠텍,043034,2010/12,제조업
(주)에스엠툴,058544,2010/12,부동산업
(주)에스엠트로닉스,047399,2010/12,제조업
(주)에스엠티,060726,2010/12,도매 및 소매업
(주)에스엠티코리아리미티드,070570,2010,
(주)에스엠퍼스트프라자,042372,2010/12,부동산업
(주)에스엠플라텍,063316,2010,
(주)에스엠피오티,058003,2010/12,제조업
(주)에스엠홀딩스,038940,2010/12,"전문, 과학 및 기술 서비스업"
(주)에스오씨엔지니어링,067952,2010,
(주)에스오엘,069263,2010,
(주)에스오엠,058858,2010/12,제조업
(주)에스와이글로벌,051197,2010/12,도매 및 소매업
(주)에스와이메디케어,040724,2010/12,도매 및 소매업
(주)에스와이에스리테일,015370,2010/12,도매 및 소매업
(주)에스와이에스홀딩스,029840,2010/12,부동산업
(주)에스와이이노베이션,066557,2010,
(주)에스와이인더스기업구조조정부동산투자회사,057603,2010,
(주)에스와이테크,062300,2010/12,제조업
(주)에스유,068851,2010,
(주)에스이,069640,2010,
(주)에스이엠,050638,2010/12,제조업
(주)에스이피,046420,2010/12,제조업
(주)에스제이공영,039542,2010/12,제조업
(주)에스제이관광개발,069958,2010,
(주)에스제이금속,047956,2010/12,제조업
(주)에스제이디,040905,2010/12,도매 및 소매업
(주)에스제이마린,064715,2010,
(주)에스제이메탈,067106,2010,
(주)에스제이시스텍,066741,2010,
(주)에스제이신소재,069664,2010,
(주)에스제이씨,047924,2010/12,제조업
(주)에스제이씨성전,049699,2010/12,제조업
(주)에스제이씨티,068781,2010,
(주)에스제이에스,045742,2010/12,교육 서비스업
(주)에스제이케미칼,064857,2010,
(주)에스제이탱커,056651,2010/12,운수 및 창고업
(주)에스제이테크,071388,2010,
(주)에스제이테크,049946,2010/12,제조업
(주)에스제이트랜드,058918,2010/12,제조업
(주)에스제이피,049335,2010/12,제조업
(주)에스제이피플,029773,2010/12,제조업
(주)에스제이홀딩스,058630,2010/12,건설업
(주)에스지(SG)다인힐,064279,2010,
(주)에스지고려,010272,2010/12,부동산업
(주)에스지마린,067867,2010,
(주)에스지엠,066686,2010,
(주)에스지유,039606,2010/12,제조업
(주)에스지푸드,059658,2010/12,제조업
(주)에스지플래닝,051455,2010,
(주)에스칩스,010958,2010/12,제조업
(주)에스컴,047276,2010/12,부동산업
(주)에스케이씨에스,060939,2010/12,제조업
(주)에스케이엠,059484,2010/12,제조업
(주)에스케이훼리,067875,2010,
(주)에스켐텍,018172,2010,
(주)에스코스틸,064291,2010,
(주)에스코알티에스,025286,2010/12,제조업
(주)에스코컨설턴트,062423,2010/12,"전문, 과학 및 기술 서비스업"
(주)에스콰이아건설,046281,2010/12,건설업
(주)에스텍시스템,016355,2010/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
