회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(유)유맥에프앤알,014534,2018/12,부동산업
(주)에스앤지,060521,2018/12,제조업
(주)에스앤지바이오텍,082030,2018/12,제조업
(주)에스앤지컴퍼니,056486,2018/12,제조업
(주)에스앤지홀딩스서울,089402,2018/12,부동산업
(주)에스앤티,084676,2018/12,제조업
(주)에스앤티스포츠,068019,2018,
(주)에스앤피리미티드,062944,2018,
(주)에스앤피리스트럭처링,064818,2018,
(주)에스앤호텔,078106,2018,
(주)에스에스뉴테크,066524,2018/12,제조업
(주)에스에스디,062914,2018,
(주)에스에스렌터카,074679,2018,
(주)에스에스모터스,043558,2018/12,도매 및 소매업
(주)에스에스알,080055,2018,
(주)에스에스유통,030051,2018/12,숙박 및 음식점업
(주)에스에스이티,086916,2018/12,제조업
(주)에스에스지닷컴,084457,2018/12,도매 및 소매업
(주)에스에스피기업,069244,2018,
(주)에스에이,068956,2018/12,제조업
(주)에스에이비,082057,2018/12,제조업
(주)에스에이씨,043510,2018/12,제조업
(주)에스에이씨티엔에스,069175,2018,
(주)에스에이엘,067064,2018/12,제조업
(주)에스에이정보기술,074071,2018,
(주)에스에이치개발,041753,2018,
(주)에스에이치개발,076173,2018,
(주)에스에이치글로벌,046953,2018/12,제조업
(주)에스에이치네트웍스,077965,2018/12,부동산업
(주)에스에이치디앤씨,092254,2018/12,부동산업
(주)에스에이치디앤씨,064668,2018,
(주)에스에이치비,040601,2018/12,제조업
(주)에스에이치앤엠,046407,2018/12,도매 및 소매업
(주)에스에이치엘,029719,2018/12,제조업
(주)에스에이치엠,074293,2018,
(주)에스에이치이,064599,2018,
(주)에스에이치이씨,052174,2018,
(주)에스에이치이엔씨,086877,2018/12,건설업
(주)에스에이치케이글로벌,064793,2018,
(주)에스에이치케이홀딩스,064791,2018/12,도매 및 소매업
(주)에스에이치테크놀로지,043435,2018/12,제조업
(주)에스에이치팜,091173,2018/12,도매 및 소매업
(주)에스에이치플러스,078723,2018/12,부동산업
(주)에스에이컨설팅,061714,2018,
(주)에스에이테크,091289,2018/12,제조업
(주)에스에이티,045455,2018,
(주)에스에프에스,061094,2018/12,운수 및 창고업
(주)에스에프유,063823,2018/12,제조업
(주)에스에프이,072850,2018/12,제조업
(주)에스에프이노베이션,074688,2018/12,도매 및 소매업
(주)에스엔드케이월드코리아,021066,2018/12,건설업
(주)에스엔아이,056360,2018/12,도매 및 소매업
(주)에스엔아이,077592,2018,
(주)에스엔에스에너지,078999,2018,
(주)에스엔에스인더스트리,049840,2018,
(주)에스엔에이치,074047,2018,
(주)에스엔에프,066251,2018/12,제조업
(주)에스엔제이코리아,058543,2018,
(주)에스엔지,051977,2018/12,도매 및 소매업
(주)에스엔케이인터내쇼날,016338,2018/12,제조업
(주)에스엔케이중공업,066756,2018,
(주)에스엔텍,074045,2018/12,제조업
(주)에스엔텍,058248,2018,
(주)에스엔피월드,077484,2018,
(주)에스엔피제네틱스,044938,2018,
(주)에스엘,076048,2018,
(주)에스엘건설,085702,2018/12,건설업
(주)에스엘라이텍,015318,2018,
(주)에스엘레전드,061417,2018/06,제조업
(주)에스엘앤피,059928,2018,
(주)에스엘에스,072239,2018,
(주)에스엘자산운용,080788,2018/12,부동산업
(주)에스엘티이,063301,2018/12,제조업
(주)에스엘푸드,077287,2018/12,제조업
(주)에스엘플래닝,085607,2018/12,부동산업
(주)에스엘피지엘씨,070202,2018/12,운수 및 창고업
