회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(유)유맥에프앤알,014534,2000/12,부동산업
(유)짐머바이오메트코리아,018711,2000/12,도매 및 소매업
(유)포리코리아,038721,2000,
(주)엘케이,016453,2000/12,제조업
(주)엠,038743,2000,
(주)엠.피.씨,011889,2000/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)엠게임,029011,2000,
(주)엠디엠,028810,2000,
(주)엠디하우스,021119,2000,
(주)엠비메탈,028836,2000,
(주)엠비씨경남,014519,2000/12,정보통신업
(주)엠비씨미디어텍,016457,2000/12,정보통신업
(주)엠비씨스포츠,038678,2000,
(주)엠비씨씨앤아이,020589,2000/12,정보통신업
(주)엠비씨아트,026418,2000/12,"전문, 과학 및 기술 서비스업"
(주)엠비씨충북,019155,2000/12,정보통신업
(주)엠비씨플러스,030007,2000,
(주)엠씨아이개발,016458,2000,
(주)엠씨앤,011383,2000/12,정보통신업
(주)엠알더블유테크노로지,016460,2000,
(주)엠알씨,025335,2000/12,제조업
(주)엠알인프라오토,030220,2000,
(주)엠에스디,028586,2000,
(주)엠에스에스글로벌,023550,2000/12,제조업
(주)엠에스에이,010853,2000/12,제조업
(주)엠에스에이치씨,028788,2000,
(주)엠에스오토텍,025336,2000/12,제조업
(주)엠에스유통,016461,2000,
(주)엠에스클럽,016462,2000,
(주)엠엘비,029799,2000,
(주)엠엘티,011507,2000,
(주)엠엠시네마,029939,2000,
(주)엠엠씨테크놀로지,016465,2000,
(주)엠제이텍,030086,2000,
(주)엠지엘,011913,2000/12,건설업
(주)엠커머스,012475,2000,
(주)엠케이에프엔씨,017846,2000/12,제조업
(주)엠케이켐앤텍,040151,2000,
(주)엠케이트렌드,018264,2000/12,제조업
(주)엠텍,038701,2000,
(주)엠튜브,039025,2000,
(주)엠티오,016602,2000/12,도매 및 소매업
(주)엠플러스테크놀러지,012015,2000,
(주)엠플레이,039107,2000,
(주)엠피에스,012671,2000,
(주)엠허브,012166,2000,
(주)연미술,039128,2000,
(주)연방건설산업,016477,2000/12,건설업
(주)연승어패럴,039857,2000,
(주)연우,018268,2000/12,제조업
(주)연이산업,016481,2000,
(주)연합뉴스,018269,2000/12,정보통신업
(주)연호전자,016488,2000/12,제조업
(주)연흥,016489,2000/12,정보통신업
(주)연흥개발,016490,2000,
(주)열린훼밀리월드,029872,2000,
(주)열림기술,018275,2000/12,제조업
(주)영공,040265,2000,
(주)영광스텐,029870,2000,
(주)영구문화아트,016497,2000/12,정보통신업
(주)영남약품,016502,2000,
(주)영남주택,030268,2000,
(주)영남지오영,018555,2000/12,도매 및 소매업
(주)영도벨벳,018279,2000/12,제조업
(주)영도주택산업,030219,2000,
(주)영림기업,030042,2000,
(주)영민피혁,029530,2000,
(주)영성,016524,2000/12,제조업
(주)영신사,010772,2000/12,제조업
(주)영우켐텍,011344,2000,
(주)영웅약품,028620,2000,
(주)영은전자,028550,2000,
(주)영일폴리에스터,030620,2000,
(주)영진,010382,2000/12,제조업
(주)영진공사,018289,2000/12,운수 및 창고업
(주)영진인프라콘,018290,2000/12,제조업
(주)영진주택,025430,2000,
(주)영진직물,018291,2000/12,제조업
(주)영창스포츠,039159,2000,
(주)영축실업,016575,2000,
(주)영테크,029170,2000,
(주)영화조세통람,028752,2000,
(주)영흥화학상사,030299,2000,
(주)예건씨엠,039508,2000,
(주)예담,020609,2000/12,제조업
(주)예들,021132,2000,
(주)예신퍼슨스,016595,2000,
(주)예원테크,029392,2000,
(주)예인정보,011007,2000/12,정보통신업
(주)오늘과내일,011554,2000,
(주)오랙스정유,029426,2000,
(주)오렌지이앤씨,030010,2000,
(주)오로라씨에스,014629,2000/12,운수 및 창고업
(주)오르시떼,016603,2000,
(주)오리엔스,017292,2000/12,제조업
(주)오리엔트전자,038520,2000,
(주)오리엔트조선,029761,2000,
(주)오리엔트텔레콤,010847,2000,
(주)오리온시네마네트워크,012094,2000/12,정보통신업
(주)오맥스,016274,2000,
(주)오미아코리아,018302,2000/12,제조업
(주)오버넷,016609,2000,
(주)오브제,018306,2000/12,제조업
(주)오비클,016611,2000,
(주)오성기전,016614,2000/12,제조업
(주)오성아이엔씨,016617,2000,
(주)오션벨리,030189,2000,
(주)오스코텍,011161,2000,
(주)오스테오시스,029098,2000,
(주)오씨아이다스,026423,2000/12,제조업
(주)오영,016630,2000/12,제조업
(주)오즈세컨,025480,2000/12,제조업
(주)오텍,029024,2000/12,제조업
(주)오토복스글로벌,011694,2000/12,운수 및 창고업
(주)오토산업,016637,2000,
(주)오토인더스트리,030153,2000,
(주)오토젠,018891,2000/12,제조업
(주)오토피스정보통신,029287,2000,
(주)오투런,029503,2000,
(주)오페라,029484,2000,
(주)오펙메이드,018312,2000/12,제조업
(주)오픈솔루션,029571,2000,
(주)오픈타운,030460,2000,
(주)오픈테크,030130,2000,
(주)옥산유통,016640,2000,
(주)옥서스,012172,2000,
(주)옥시,010064,2000/12,제조업
(주)옥시큐어,040287,2000,
(주)온게임네트워크,016641,2000,
(주)온누리에이치엔씨,016642,2000,
(주)온디지털테크,021147,2000,
(주)온라인카고,016643,2000/12,운수 및 창고업
