회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(유)새천안교통,089201,2018/12,운수 및 창고업
(유)에스아이지,058564,2018,
(주)삼진앤컴퍼니,015181,2018/12,부동산업
(주)삼진에너지,015185,2018,
(주)삼진일렉스,052542,2018/12,건설업
(주)삼진전선,041282,2018/12,제조업
(주)삼진전화,064082,2018,
(주)삼진정밀,038845,2018/12,제조업
(주)삼진주작소,066437,2018,
(주)삼진테크,070743,2018/12,제조업
(주)삼진프라코,073870,2018/12,제조업
(주)삼진플랜텍,064768,2018/12,제조업
(주)삼창감정평가법인,047995,2018/12,부동산업
(주)삼천리렌트카,067655,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)삼천리이앤이,049012,2018/12,"전문, 과학 및 기술 서비스업"
(주)삼천리이엔지,038980,2018/12,건설업
(주)삼천복,090463,2018/12,부동산업
(주)삼탄인터내셔널,010320,2018,
(주)삼텍엔지니어링,057348,2018,
(주)삼포통상,043474,2018/12,제조업
(주)삼표,015199,2018/12,"전문, 과학 및 기술 서비스업"
(주)삼표기초소재,057927,2018,
(주)삼표산업,066514,2018/12,제조업
(주)삼풍공업,045761,2018,
(주)삼풍하이텍,089539,2018/12,제조업
(주)삼한,023211,2018/12,제조업
(주)삼한리얼에스테이트,059107,2018/12,부동산업
(주)삼한모터렌,070157,2018/12,도매 및 소매업
(주)삼한씨앤피,085922,2018/12,부동산업
(주)삼한에너지,072452,2018,
(주)삼한일렉트로닉스,041524,2018/12,제조업
(주)삼현,017979,2018/12,제조업
(주)삼현,015210,2018/12,제조업
(주)삼현,074816,2018,
(주)삼현비앤이,049425,2018/12,건설업
(주)삼현에이치,072794,2018/12,"전문, 과학 및 기술 서비스업"
(주)삼호건설,049398,2018,
(주)삼호나노텍,077442,2018/12,제조업
(주)삼호산업,057080,2018/12,제조업
(주)삼호에스피제이,091204,2018/12,부동산업
(주)삼호엔지니어링,053229,2018/12,제조업
(주)삼호유황오리,070104,2018/12,제조업
(주)삼호정기,047191,2018/12,제조업
(주)삼호주택,050341,2018/12,건설업
(주)삼호테크,063954,2018,
(주)삼홍테크,040792,2018,
(주)삼화,069927,2018/12,제조업
(주)삼화E&P,058263,2018/12,제조업
(주)삼화개발,043941,2018/12,부동산업
(주)삼화건설사,030014,2018/12,건설업
(주)삼화고속,010451,2018/12,운수 및 창고업
(주)삼화기업,063408,2018/12,제조업
(주)삼화기연,046972,2018/12,도매 및 소매업
(주)삼화당피앤티,090409,2018/12,부동산업
(주)삼화모데스띠,040329,2018,
(주)삼화바이오팜,059758,2018/12,제조업
(주)삼화양행,017985,2018/12,제조업
(주)삼화웨이트,060598,2018/12,제조업
(주)삼화전착,064868,2018/12,제조업
(주)삼화조선,045568,2018,
(주)삼화종합개발,015237,2018/12,부동산업
(주)삼화테크,058506,2018/12,제조업
(주)삼화토산,081459,2018,
(주)삼화판지,056560,2018,
(주)삼화피앤씨,085394,2018/12,건설업
(주)삼화피앤티,078926,2018/12,제조업
(주)삼화피엠아이,082761,2018/12,제조업
(주)삼환교통,081183,2018/12,운수 및 창고업
(주)삼환비에스,069267,2018/12,부동산업
(주)삼흥,015242,2018/12,"예술, 스포츠 및 여가관련 서비스업"
(주)삼흥건설,077420,2018,
(주)삼흥전력,080523,2018/12,건설업
(주)삼희,052204,2018/12,건설업
(주)삼희산업개발,074299,2018/12,부동산업
(주)삼희종합건설,044275,2018/12,건설업
(주)상도건영,038691,2018,
(주)상도코포레이션,056573,2018,
(주)상도푸드농업회사법인,089921,2018/12,제조업
(주)상록개발,073135,2018/12,숙박 및 음식점업
(주)상리,073619,2018/12,제조업
(주)상림,091540,2018/12,부동산업
(주)상림개발,052255,2018,
(주)상림피혁,050817,2018,
(주)상문,083315,2018/12,제조업
(주)상봉모터스,078125,2018,
(주)상산,078536,2018/12,부동산업
(주)상신,051571,2018/12,제조업
(주)상신정공,050444,2018/12,제조업
(주)상신종합식품,061698,2018/12,제조업
(주)상아인테크,081174,2018,
(주)상아타일,088033,2018/12,도매 및 소매업
(주)상암,088572,2018/12,부동산업
(주)상우,070658,2018,
(주)상우종합건설,029623,2018,
(주)상우클램프,079003,2018/12,제조업
(주)상원랜드,045441,2018,
(주)상원스틸,067490,2018,
(주)상인기업,092017,2018/12,제조업
(주)상일,010639,2018/12,제조업
(주)상일코스템,067018,2018/12,제조업
(주)상일테크,059237,2018/12,제조업
(주)상일하우징,056786,2018,
(주)상재스틸,061787,2018/12,제조업
(주)상지,076724,2018/12,제조업
(주)상지정공,078573,2018/12,제조업
(주)상지정밀,061354,2018/12,제조업
(주)상지피앤디,087988,2018/12,부동산업
(주)상진,064899,2018/12,제조업
(주)상진문화,063703,2018,
(주)상진미크론,015267,2018/12,제조업
(주)상진화학,015268,2018/12,제조업
