회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(유)판토스홀딩스,078315,2018,
(주)태성기연,043667,2018/12,제조업
(주)태성기전,082372,2018/12,제조업
(주)태성비앤피,053635,2018/12,부동산업
(주)태성비철,057262,2018/12,도매 및 소매업
(주)태성스틸,063166,2018,
(주)태성에스앤디,083308,2018/12,건설업
(주)태성에스지,082924,2018/12,건설업
(주)태성정밀,067715,2018/12,제조업
(주)태성정밀,048414,2018/12,제조업
(주)태성콘크리트,019384,2018/12,제조업
(주)태성토산,078403,2018/12,도매 및 소매업
(주)태성티아이엠,045759,2018/12,제조업
(주)태성홀딩스,087472,2018/12,부동산업
(주)태성환경연구소,071166,2018/12,제조업
(주)태수,046439,2018,
(주)태승씨엔씨,081079,2018/12,부동산업
(주)태승이십일,019387,2018/12,숙박 및 음식점업
(주)태승이엔씨,070338,2018/12,제조업
(주)태승정공,056586,2018/12,제조업
(주)태신,057887,2018/12,도매 및 소매업
(주)태신글로벌,057872,2018/12,도매 및 소매업
(주)태신인팩,026943,2018/12,정보통신업
(주)태신지엔더블류,067934,2018,
(주)태신포커스,051516,2018,
(주)태안모터스영등포서비스,083312,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)태안오토텍,067052,2018/12,제조업
(주)태양금속,071255,2018/12,도매 및 소매업
(주)태양아이에스,060096,2018,
(주)태양정공,073310,2018,
(주)태양중공업,029299,2018/12,제조업
(주)태양테크,067908,2018/12,제조업
(주)태양프리보드,057885,2018/12,제조업
(주)태연메디칼,058743,2018,
(주)태연이엔지,066416,2018,
(주)태영건설개발,081305,2018,
(주)태영그레인터미널,052231,2018/12,운수 및 창고업
(주)태영디앤아이,049737,2018/12,부동산업
(주)태영랜드,087588,2018/12,부동산업
(주)태영열처리,070564,2018/12,제조업
(주)태영윈,077328,2018/12,운수 및 창고업
(주)태영유니시티,061689,2018/12,부동산업
(주)태영이엠씨,019407,2018/12,광업
(주)태영인더스트리,026969,2018/12,운수 및 창고업
(주)태영인프라,071090,2018/12,제조업
(주)태영정공,061583,2018/12,제조업
(주)태영정밀,064339,2018,
(주)태영종합물류,039375,2018/12,운수 및 창고업
(주)태영주택,066412,2018,
(주)태영켐,089903,2018/12,제조업
(주)태영테크,063348,2018,
(주)태영피씨엠,078275,2018/12,제조업
(주)태영피에스,069994,2018,
(주)태영필트레이션시스템,089823,2018/12,제조업
(주)태오,089048,2018/12,부동산업
(주)태우,026461,2018/12,제조업
(주)태우건설,086637,2018/12,건설업
(주)태우그린푸드,064154,2018/12,도매 및 소매업
