회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(유)짐머바이오메트코리아,018711,2018,
(유)케이원에너지,047069,2018,
(주)주안,078796,2018/12,부동산업
(주)주안,084937,2018/12,제조업
(주)주안디앤씨,078662,2018,
(주)주안디앤씨,064779,2018,
(주)주영,085463,2018/12,제조업
(주)주영아이엔씨,041242,2018,
(주)주영토건,089235,2018/12,건설업
(주)주영페이퍼텍,070977,2018/12,제조업
(주)주원,044228,2018,
(주)주원텍,081394,2018/12,제조업
(주)주은,064953,2018/12,부동산업
(주)주은인더스트리,089097,2018/12,제조업
(주)주주콘크리트,092311,2018/12,제조업
(주)주피터인터내셔널,052960,2018/12,도매 및 소매업
(주)죽암,059142,2018/12,건설업
(주)죽암엠앤씨,069989,2018/12,제조업
(주)죽전,085748,2018/12,부동산업
(주)죽전소모,066749,2018/12,부동산업
(주)죽헌개발,064377,2018,
(주)준건설,047434,2018/12,건설업
(주)준영,073011,2018/12,도매 및 소매업
(주)준오디포,071300,2018/12,도매 및 소매업
(주)준오뷰티,071301,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)준코,058775,2018/12,도매 및 소매업
(주)준테크,078039,2018/12,제조업
(주)줌인포테크,081089,2018/12,제조업
(주)줌톤,062449,2018,
(주)중경,081188,2018/12,부동산업
(주)중경미드타운,074488,2018/12,부동산업
(주)중국검험인증그룹코리아컴퍼니,067475,2018/12,"전문, 과학 및 기술 서비스업"
(주)중동파크타운,056460,2018,
(주)중림전기물류,059912,2018/12,도매 및 소매업
(주)중부농축산물류센터,018921,2018,
(주)중부제일물류,041572,2018,
(주)중부화물터미널,039254,2018/12,운수 및 창고업
(주)중산도시개발,047144,2018/12,부동산업
(주)중선아이티씨,085709,2018/12,건설업
(주)중소기업유통센터,018925,2018/12,도매 및 소매업
(주)중아트그룹,053249,2018/12,도매 및 소매업
(주)중앙CMI,046769,2018/12,제조업
(주)중앙R&D,069643,2018,
(주)중앙감정평가법인,045446,2018/12,부동산업
(주)중앙건설,062803,2018,
(주)중앙공사씨스템,083963,2018,
(주)중앙공영,078565,2018,
(주)중앙교육,076950,2018,
(주)중앙금속,048819,2018/12,제조업
(주)중앙레포츠,041904,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)중앙리빙샤시,045438,2018,
(주)중앙바이오텍,057368,2018/12,제조업
(주)중앙안전유리,056350,2018/12,제조업
(주)중앙에너지산업,091839,2018/12,도매 및 소매업
(주)중앙유엠에스,021328,2018,
(주)중앙자동차해체재활용업,088144,2018/12,제조업
(주)중앙정공,018945,2018,
(주)중앙크레인,085240,2018/12,건설업
(주)중앙타프라,018953,2018/12,제조업
(주)중앙티앤씨,056515,2018,
(주)중앙플라텍,062032,2018/12,제조업
(주)중앙하이프론,080507,2018/12,제조업
(주)중외정보기술,049288,2018,
(주)중원냉열,052311,2018/12,제조업
(주)중원산업,059719,2018/12,제조업
(주)중원종합건축사사무소,085906,2018/12,"전문, 과학 및 기술 서비스업"
(주)중인엔터프라이즈,063794,2018/12,부동산업
(주)중일테크,083009,2018/12,제조업
(주)중헌메디텍,078074,2018,
(주)중헌제약,075919,2018/12,제조업
(주)중현씨앤씨,077537,2018/12,부동산업
(주)중화정밀,076287,2018/12,제조업
(주)중흥개발,061846,2018/12,건설업
(주)쥬네브,041854,2018,
(주)쥬라솔라,065036,2018,
(주)쥬비스,069907,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)쥬비스다이어트,088199,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)즐거운쇼핑,089636,2018/12,제조업
(주)지.엠,064635,2018/12,제조업
(주)지건축,087785,2018/12,부동산업
(주)지경,076886,2018/12,제조업
(주)지고씨앤디,046081,2018/12,부동산업
(주)지넷시스템,050261,2018/12,제조업
(주)지노모터스,066649,2018/12,제조업
(주)지노무역,056728,2018,
(주)지노믹트리,072941,2018,
(주)지노시스템,060085,2018,
(주)지노첵,066636,2018,
(주)지누스,042675,2018/12,도매 및 소매업
(주)지니틱스,065749,2018/12,제조업
(주)지더블유,065309,2018,
(주)지디,047174,2018,
(주)지디,056256,2018,
(주)지디개발,081094,2018/12,부동산업
(주)지디그룹,073349,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)지디벨로프홀딩스,080986,2018/12,운수 및 창고업
(주)지디씨,069707,2018/12,운수 및 창고업
(주)지디코프,054204,2018,
(주)지디파트너스,083026,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)지란지교소프트,011107,2018/12,정보통신업
(주)지란지교소프트,082716,2018/12,정보통신업
(주)지란지교시큐리티,072200,2018,
(주)지리산스파월드,062214,2018,
(주)지마린서비스,054396,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)지맥스,044498,2018/12,제조업
(주)지메텍,060645,2018,
(주)지멕스,071523,2018/12,제조업
(주)지멤스,063542,2018/12,제조업
(주)지문사,080854,2018/12,도매 및 소매업
(주)지바이오텍,063870,2018/12,제조업
(주)지벤세이프티,089709,2018/12,제조업
(주)지벤지단,062112,2018,
(주)지본,070566,2018/12,제조업
(주)지비라이트,051402,2018/12,제조업
(주)지비에이치,071199,2018/12,부동산업
(주)지산물류,049114,2018/12,운수 및 창고업
(주)지산미래,086018,2018/12,부동산업
(주)지산종합건설,091018,2018/12,건설업
(주)지산코리아,069262,2018,
(주)지산한길,086864,2018/12,교육 서비스업
(주)지석산업,066459,2018/12,제조업
(주)지석에이앤씨,061534,2018/12,제조업
(주)지성건설,063771,2018,
(주)지성글로벌,069075,2018/12,도매 및 소매업
(주)지성쉬핑,069074,2018/12,운수 및 창고업
(주)지성에너지,081870,2018/12,도매 및 소매업
(주)지성이씨에스,062495,2018/12,건설업
(주)지셀이엔씨,048203,2018,
(주)지스코,064810,2018/12,도매 및 소매업
(주)지스콥,077215,2018/12,"전문, 과학 및 기술 서비스업"
(주)지스팜,091051,2018/12,도매 및 소매업
(주)지슨,076627,2018,
(주)지썬스,063756,2018,
(주)지씨스페이스,039666,2018,
(주)지씨앤,085212,2018/12,부동산업
(주)지씨진천,046908,2018/12,"예술, 스포츠 및 여가관련 서비스업"
(주)지아고,049889,2018,
(주)지아이바이오,065355,2018,
(주)지아이에이엠,080951,2018,
(주)지아이이엔씨,067102,2018/12,건설업
(주)지아이텍,086886,2018/12,제조업
(주)지아이티,028889,2018/12,제조업
(주)지아이티아카데미,080644,2018/12,교육 서비스업
(주)지아일랜드,070182,2018,
(주)지안아이앤디,087793,2018/12,부동산업
(주)지알켐,053754,2018/12,제조업
(주)지알테크,061186,2018/12,도매 및 소매업
(주)지앤,067280,2018/12,제조업
(주)지앤미,082535,2018/12,부동산업
(주)지앤비시스템,081256,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)지앤비에스엔지니어링,066337,2018/12,제조업
(주)지앤비인베스트먼트,064757,2018,
(주)지앤에스기술,066216,2018/12,건설업
(주)지앤에스메탈,076288,2018,
(주)지앤에스티,065193,2018,
(주)지앤에프,088526,2018/12,제조업
(주)지앤엘,060088,2018/12,"예술, 스포츠 및 여가관련 서비스업"
(주)지앤이바이오텍,078322,2018,
(주)지앤이페이퍼텍,065258,2018,
(주)지앤지스토리,076216,2018/12,건설업
(주)지앤케이,067483,2018/12,제조업
(주)지앤코퍼레이션,090039,2018/12,도매 및 소매업
(주)지앤피,025059,2018/12,제조업
(주)지어다오,082191,2018/12,부동산업
(주)지에스,078513,2018/12,도매 및 소매업
(주)지에스넷비전,054832,2018/12,"전문, 과학 및 기술 서비스업"
(주)지에스동해전력,062986,2018/12,"전기, 가스, 증기 및 공기조절 공급업"
(주)지에스디,090088,2018/12,부동산업
(주)지에스머시너리,070205,2018,
(주)지에스밸리,047177,2018/12,부동산업
(주)지에스산업개발,074173,2018/12,부동산업
(주)지에스씨,049831,2018/12,제조업
(주)지에스아이티엠,047807,2018/12,정보통신업
(주)지에스엘,062707,2018/12,제조업
(주)지에스엘,068022,2018,
(주)지에스와이텍스타일,065000,2018/12,도매 및 소매업
(주)지에스이앤알,038616,2018/12,"전기, 가스, 증기 및 공기조절 공급업"
(주)지에스인베스트,078024,2018/12,부동산업
(주)지에스인스텍,077312,2018/12,제조업
(주)지에스인텍,065135,2018,
(주)지에스제이산업,063547,2018,
(주)지에스컴퍼니,086787,2018/12,제조업
(주)지에스테크코리아,081096,2018,
(주)지에스텔레서비스,042874,2018,
(주)지에스텔레텍,018990,2018/12,부동산업
(주)지에스티산업,063325,2018/12,제조업
(주)지에스티코리아,074760,2018,
(주)지에스피,049190,2018/12,제조업
(주)지에스피,085302,2018/12,제조업
(주)지에이치아이,046489,2018,
(주)지에이치홀딩스,073022,2018,
(주)지에프씨생명과학,080316,2018/12,제조업
(주)지에프에스,022156,2018/12,제조업
(주)지에프퍼멘텍,038635,2018/12,제조업
(주)지에프포라,064298,2018/12,운수 및 창고업
(주)지엔로드투어,080971,2018,
(주)지엔비에셋홀딩스,062384,2018/12,"전문, 과학 및 기술 서비스업"
(주)지엔씨에너지,048803,2018,
(주)지엔에스,030357,2018/12,정보통신업
(주)지엔에스,016528,2018/12,제조업
(주)지엔에프비쓰리,082413,2018,
(주)지엔엠라이프,085754,2018/12,제조업
(주)지엔종합건설,082997,2018/12,부동산업
(주)지엔지매니지먼트,040181,2018/12,부동산업
(주)지엔지트럭센터,058729,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)지엔테크,087167,2018/12,제조업
(주)지엔텔,043851,2018/12,"전문, 과학 및 기술 서비스업"
(주)지엔티,060486,2018/12,제조업
(주)지엔팜,081382,2018/12,도매 및 소매업
(주)지엘,058291,2018,
(주)지엘브이,091751,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
(주)지엘에스,066107,2018/12,운수 및 창고업
(주)지엘컴,080767,2018,
(주)지엘코퍼레이션,065883,2018/12,부동산업
(주)지엘피코리아,077021,2018/12,제조업
(주)지엠,065093,2018,
(주)지엠디엔씨,078010,2018,
(주)지엠씨,051587,2018/12,제조업
(주)지엠씨에스,067148,2018,
(주)지엠에스인터내셔날,064971,2018,
(주)지엠엘,087670,2018/12,운수 및 창고업
(주)지엠이노텍,080978,2018/12,제조업
(주)지엠이앤씨,070315,2018,
(주)지엠컴,086909,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)지엠테스트,053869,2018/12,제조업
(주)지엠텍이엔씨,085596,2018/12,부동산업
(주)지엠티,078628,2018/12,정보통신업
(주)지엠티코리아,089419,2018/12,제조업
(주)지엠피앤디,080501,2018/12,부동산업
(주)지엠홀딩스,076307,2018/12,제조업
(주)지오닉스,010586,2018,
(주)지오메디칼,072947,2018/12,제조업
(주)지오비스,090987,2018/12,건설업
(주)지오산업개발,074008,2018/12,부동산업
(주)지오시그너쳐,066135,2018,
(주)지오에프에셋,069134,2018,
(주)지오엘리먼트,051503,2018/12,제조업
(주)지오엠씨,057636,2018/12,제조업
(주)지오엠티,047259,2018,
(주)지오영,039152,2018/12,도매 및 소매업
(주)지오인터내셔널,077924,2018/12,건설업
(주)지오케어,090344,2018/12,"전문, 과학 및 기술 서비스업"
(주)지오콘,061330,2018/12,건설업
(주)지오티,074059,2018/12,제조업
(주)지오티엔에스,080440,2018/12,제조업
(주)지오팜,029725,2018/12,도매 및 소매업
(주)지온네트웍스,057156,2018/12,정보통신업
(주)지와이테크,041028,2018,
(주)지와인개발,038793,2018,
(주)지우무역,091124,2018/12,도매 및 소매업
(주)지우미디어,063129,2018,
(주)지우엔,086192,2018/12,부동산업
(주)지우텍,063848,2018,
(주)지원,086576,2018/12,제조업
(주)지원(G1),030077,2018/12,정보통신업
(주)지원네트웍스,064882,2018,
(주)지원디앤씨,087293,2018/12,부동산업
(주)지원산업,049886,2018,
(주)지원엠텍,058667,2018/12,제조업
(주)지원콘텐츠,019000,2018,
(주)지은정보통신,078367,2018/12,도매 및 소매업
(주)지음디앤씨,083136,2018,
(주)지이,082630,2018/12,제조업
(주)지이스트,083262,2018/12,도매 및 소매업
(주)지이씨,063855,2018,
(주)지인택,049421,2018,
(주)지인터내셔날,086519,2018/12,제조업
(주)지일이삼공교육,040335,2018,
(주)지장,051339,2018,
(주)지정,082358,2018/12,부동산업
(주)지제이알미늄,041895,2018/12,제조업
(주)지제이테크,080621,2018/12,제조업
(주)지젤,081574,2018/12,숙박 및 음식점업
(주)지지옥션,065709,2018/12,정보통신업
(주)지지인터내셔널,043314,2018,
(주)지캐스트코리아,064286,2018/12,정보통신업
(주)지컴,088717,2018/12,제조업
(주)지케이라이프,081796,2018/12,도매 및 소매업
(주)지케이삼성,087595,2018/12,제조업
(주)지케이에스피,072188,2018,
(주)지코,041569,2018,
(주)지코스,063033,2018,
(주)지코스모,076636,2018/12,도매 및 소매업
(주)지크린텍,090707,2018/12,제조업
(주)지텀,059911,2018,
(주)지텍,073158,2018/12,제조업
(주)지텍코리아,061377,2018,
(주)지투디앤씨,066643,2018/12,부동산업
(주)지트론,030673,2018/12,제조업
(주)지티엔이,052460,2018,
(주)지티이노베이션,086413,2018/12,제조업
(주)지티지웰니스,070227,2018,
(주)지티티,029934,2018/12,제조업
(주)지팡그,052601,2018,
(주)지프러스,048334,2018/12,숙박 및 음식점업
(주)지플러스생명과학,085118,2018/12,"전문, 과학 및 기술 서비스업"
(주)지피시스,065978,2018,
(주)지피씨알,080115,2018/12,"전문, 과학 및 기술 서비스업"
(주)지피아이,076890,2018/12,제조업
(주)지피앤피,049011,2018,
(주)지피에너지네트웍스,070775,2018,
(주)지피에이치,063673,2018,
(주)지피엠,046032,2018/12,제조업
(주)지피지이,086247,2018/12,건설업
(주)지피클럽,078124,2018/12,도매 및 소매업
(주)지피피,059960,2018/12,제조업
(주)지학사,010596,2018/12,정보통신업
(주)지현통상,018520,2018/12,도매 및 소매업
