회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(유)딘텍스코리아,078313,2018,
(유)비티투자,054082,2018,
(주)동도전자,014041,2018/12,제조업
(주)동래온천관광호텔,087237,2018/12,숙박 및 음식점업
(주)동림모스텍,080815,2018/12,운수 및 창고업
(주)동림수산,046127,2018/12,제조업
(주)동림유화,041229,2018/12,제조업
(주)동림철강,053288,2018/12,제조업
(주)동명,049267,2018/12,제조업
(주)동명기계,073297,2018/12,제조업
(주)동명디앤씨,074039,2018,
(주)동명베아링,047297,2018/12,도매 및 소매업
(주)동명산업,064822,2018,
(주)동명산업개발,073840,2018,
(주)동명엔터프라이즈,043419,2018/12,"수도, 하수 및 폐기물 처리, 원료 재생업"
(주)동명정기,064371,2018/12,제조업
(주)동명특수강,066760,2018/12,제조업
(주)동민금속공업,058170,2018,
(주)동민정공,059440,2018,
(주)동바오,066030,2018/12,숙박 및 음식점업
(주)동방디앤씨,074265,2018,
(주)동방디지텍,090124,2018/12,제조업
(주)동방리츠,078235,2018,
(주)동방메디컬,073355,2018/12,제조업
(주)동방생활산업,014068,2018/12,제조업
(주)동방조선,070191,2018,
(주)동방종합상조,050120,2018,
(주)동방파스텍,059289,2018/12,제조업
(주)동방플랜텍,014061,2018/12,제조업
(주)동방하이테크,074523,2018,
(주)동방헌,056748,2018,
(주)동백냉장,077081,2018/12,부동산업
(주)동백섬마리나,066285,2018/12,운수 및 창고업
(주)동보TNC,053299,2018,
(주)동보스틸,048004,2018/12,도매 및 소매업
(주)동보약품,017724,2018/12,도매 및 소매업
(주)동보올리브백화점,043617,2018/12,도매 및 소매업
(주)동보주택건설,014073,2018,
(주)동보테크,071251,2018,
(주)동보피엔티,061357,2018/12,제조업
(주)동부산센트럴스퀘어,086884,2018/12,부동산업
(주)동부산온천호텔,053246,2018/12,숙박 및 음식점업
(주)동부약품,052055,2018/12,제조업
(주)동부토건,047884,2018/12,건설업
(주)동북권자원순환센터,089724,2018/12,"수도, 하수 및 폐기물 처리, 원료 재생업"
(주)동북산업양행,053164,2018,
(주)동북쇼핑,046684,2018/12,도매 및 소매업
(주)동북엘앤알,089317,2018/12,도매 및 소매업
(주)동산,070549,2018,
(주)동산글로벌,086343,2018/12,제조업
(주)동산밸브,076702,2018/12,제조업
(주)동산전자,070088,2018/12,제조업
(주)동산테크,070347,2018/12,제조업
(주)동산테크,086254,2018/12,건설업
(주)동산테크,066056,2018,
(주)동삼,056922,2018/12,부동산업
(주)동서,080448,2018/12,부동산업
(주)동서,061105,2018/12,건설업
(주)동서,070842,2018/12,제조업
(주)동서금속,067761,2018/12,제조업
(주)동서기공,083260,2018/12,제조업
(주)동서기공,017728,2018/12,제조업
(주)동서기전,014089,2018/12,제조업
(주)동서산업,041054,2018/12,광업
(주)동서산업롤,074550,2018/12,제조업
(주)동서세일즈프로모션,086249,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)동서아이티에스,065065,2018,
(주)동서울관광호텔,023100,2018/12,숙박 및 음식점업
(주)동서파이프,083216,2018/12,도매 및 소매업
(주)동성,040831,2018/12,제조업
(주)동성,051870,2018/12,제조업
(주)동성,014107,2018,
(주)동성모터스,014103,2018/12,도매 및 소매업
(주)동성식품,049038,2018/12,제조업
(주)동성앙카,080104,2018/12,제조업
(주)동성에이씨에스,048709,2018/12,제조업
(주)동성에이엠,017732,2018,
(주)동성엔지니어링,050069,2018/12,"전문, 과학 및 기술 서비스업"
(주)동성엠텍,058799,2018,
(주)동성이앤씨,072754,2018/12,부동산업
(주)동성정공,054018,2018,
(주)동성정밀,074348,2018,
(주)동성정밀엘엑스,043469,2018/12,제조업
(주)동성종합보험,045872,2018/12,부동산업
(주)동성중공업,041051,2018/12,건설업
(주)동성테크,045836,2018/12,제조업
(주)동승레저,045050,2018/12,"예술, 스포츠 및 여가관련 서비스업"
(주)동승에이치엠씨,069390,2018,
(주)동신,014124,2018/12,건설업
(주)동신금속,072395,2018/12,제조업
(주)동신디에스티,061006,2018/12,부동산업
(주)동신모텍,050260,2018/12,제조업
(주)동신알앤에프,061053,2018/12,부동산업
(주)동신에코텍,066469,2018,
(주)동신유압,014132,2018/12,제조업
(주)동신이앤티,063550,2018/12,제조업
(주)동신이앤피,080908,2018/12,제조업
(주)동신이엔텍,067328,2018/12,제조업
(주)동신툴피아,014136,2018/12,도매 및 소매업
(주)동신프라스틱,076362,2018/12,도매 및 소매업
(주)동신화학,082578,2018/12,"수도, 하수 및 폐기물 처리, 원료 재생업"
(주)동심,048142,2018/12,정보통신업
(주)동아건설,069437,2018/12,부동산업
