회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(주)21세기조선,040736,2006/12,제조업
(주)3Z,012815,2006/12,제조업
(주)DCFTREK,017676,2006/12,제조업
(주)DH케미칼,040581,2006/12,제조업
(주)DKASTEEL,059783,2006,
(주)ENS,030661,2006/12,제조업
(주)GBSTYLE,029522,2006/12,제조업
(주)GMT,048980,2006,
(주)H.M.T,056408,2006,
(주)HM금속,043596,2006/12,제조업
(주)IEN한창,045661,2006/12,제조업
(주)JBM,058709,2006,
(주)KAL호텔네트워크,029255,2006/12,숙박 및 음식점업
(주)KHE,027325,2006/12,제조업
(주)KH엘텍,043023,2006/12,제조업
(주)KJ컴텍,038835,2006/12,제조업
(주)KRGSOFT,056737,2006,
(주)KTE,026849,2006/12,제조업
(주)LF개발,052323,2006,
(주)LF네트웍스,040278,2006/12,도매 및 소매업
(주)LG경영개발원,018261,2006/12,"전문, 과학 및 기술 서비스업"
(주)LG파워콤,021438,2006/12,정보통신업
(주)MBC아카데미,020587,2006/12,교육 서비스업
(주)MBC애드컴,020588,2006/12,"전문, 과학 및 기술 서비스업"
(주)MSSteel,048874,2006,
(주)MS이엔지,042524,2006/12,제조업
(주)NH무역,017587,2006/12,도매 및 소매업
(주)NH여행,047761,2006,
(주)P&I지주,014359,2006/12,"전문, 과학 및 기술 서비스업"
(주)P&T,049179,2006,
(주)PSG,040133,2006/12,"전기, 가스, 증기 및 공기조절 공급업"
(주)SID엔터프라이즈,039294,2006/12,건설업
(주)SIMPAC산기,041667,2006/12,제조업
(주)SJ테크,041396,2006/12,제조업
(주)TAPEX,010942,2006/12,제조업
(주)TSR,019379,2006/12,제조업
(주)TS푸드앤시스템,020608,2006/12,도매 및 소매업
(주)가겐투안,043566,2006/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)가경디앤씨,053950,2006,
(주)가나섬유,041092,2006/12,제조업
(주)가나스틸,042318,2006/12,도매 및 소매업
(주)가나아트갤러리,017417,2006/12,도매 및 소매업
(주)가람솔루션,043426,2006/12,제조업
(주)가람우즈,049021,2006,
(주)가빈,052981,2006,
(주)가야,045119,2006/12,제조업
(주)가야,050540,2006,
(주)가야미디어,012820,2006,
(주)가야종합건설,012822,2006/12,건설업
(주)가야중공업,020634,2006/12,제조업
(주)가야특수강,049005,2006,
(주)가야호텔,058439,2006,
(주)가오닉스스포츠,039478,2006/12,"예술, 스포츠 및 여가관련 서비스업"
(주)가온감정평가법인,048025,2006,
(주)가우넷,053709,2006,
(주)가원아이,042796,2006,
(주)가유,059351,2006,
(주)가이드건설,050479,2006,
(주)가인약품,058919,2006,
(주)가인철강,047446,2006/12,도매 및 소매업
(주)가인피앤디,048749,2006,
(주)가치네트,012368,2006/12,정보통신업
(주)가현,014227,2006/12,제조업
(주)간삼건축종합건축사사무소,042787,2006/06,"전문, 과학 및 기술 서비스업"
(주)감계개발,049616,2006,
(주)감마누,050235,2006,
(주)감정평가법인대일감정원,045274,2006/12,부동산업
(주)감코명화,048726,2006,
(주)갑우문화사,040815,2006/12,정보통신업
(주)갑을,049808,2006/12,제조업
(주)갑을골드텍,044226,2006/12,제조업
(주)갑을프라스틱,012828,2006/12,제조업
(주)갑진,058622,2006,
(주)강동에프에이,052266,2006,
(주)강동테크,053439,2006,
(주)강릉아이앤디,049072,2006,
(주)강변스포렉스,021688,2006/12,"예술, 스포츠 및 여가관련 서비스업"
(주)강산씨앤디,059955,2006,
(주)강성냉장,040686,2006/12,운수 및 창고업
(주)강숙희레디스웨어,012847,2006/12,제조업
(주)강앤파트너스,042501,2006/12,부동산업
(주)강원도민일보,017428,2006/12,정보통신업
(주)강원심층수,047909,2006,
(주)강원엘피씨,019670,2006/12,제조업
