회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
주식회사샌드박스네트워크,089059,2018/12,정보통신업
주식회사샌드빅서전,042944,2018/12,도매 및 소매업
주식회사샘,074782,2018,
주식회사샘초롱농업회사법인,087559,2018/12,제조업
주식회사샘코,066606,2018,
주식회사생,066231,2018/12,제조업
주식회사생보대만홀딩스개발전문위탁관리부동산투자회사,071762,2018,
주식회사생활속행복,067412,2018/12,숙박 및 음식점업
주식회사샤브향,073875,2018,
주식회사샤인시티,065163,2018,
주식회사샤트렌,048147,2018,
주식회사샤프에비에이션케이,018001,2018/12,운수 및 창고업
주식회사샤프테크닉스케이,080131,2018/12,제조업
주식회사샴발라,043651,2018/12,"예술, 스포츠 및 여가관련 서비스업"
주식회사서강금속,018002,2018/12,제조업
주식회사서강정밀,061591,2018/12,제조업
주식회사서강플레이스,087229,2018/12,부동산업
주식회사서경,046638,2018,
주식회사서경방송,019985,2018/12,정보통신업
주식회사서경산업,083386,2018/12,건설업
주식회사서경팰리스,090437,2018/12,부동산업
주식회사서광,091158,2018/12,제조업
주식회사서광디앤에프,087668,2018/12,부동산업
주식회사서궁,087863,2018/12,제조업
주식회사서남,061329,2018/12,제조업
주식회사서대구에너지,063109,2018/12,"전기, 가스, 증기 및 공기조절 공급업"
주식회사서대구열에너지,058480,2018,
주식회사서래건설,090886,2018/12,건설업
주식회사서로넷,018005,2018/12,정보통신업
주식회사서로상,089735,2018/12,부동산업
주식회사서린,058618,2018/12,제조업
주식회사서린,083165,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
주식회사서린,083317,2018,
주식회사서린디앤씨,064087,2018/12,"전문, 과학 및 기술 서비스업"
주식회사서림,085739,2018/12,제조업
주식회사서림건설,074485,2018/12,건설업
주식회사서림건설,080508,2018,
주식회사서머텍코리아,018006,2018/12,제조업
주식회사서면개발,040761,2018,
주식회사서목통상,065945,2018/12,제조업
주식회사서문건설,091169,2018/12,건설업
주식회사서미트,018007,2018/12,제조업
주식회사서방,050629,2018,
주식회사서보디앤씨,052761,2018,
주식회사서부건설모터스,087984,2018/12,부동산업
주식회사서부프라자,087058,2018/12,부동산업
주식회사서빈,083385,2018,
주식회사서산수골프앤리조트,044298,2018/12,"예술, 스포츠 및 여가관련 서비스업"
주식회사서산이에스티,065798,2018/12,"수도, 하수 및 폐기물 처리, 원료 재생업"
주식회사서서,087787,2018/12,부동산업
주식회사서안바이오,067710,2018,
주식회사서연시티,077985,2018/12,부동산업
주식회사서연씨엔에프,075838,2018/12,제조업
주식회사서영,063844,2018/12,제조업
주식회사서영,018009,2018,
주식회사서영,067698,2018,
주식회사서영씨앤디,086685,2018/12,부동산업
주식회사서예,072700,2018/12,도매 및 소매업
주식회사서우건설산업,042356,2018/12,건설업
주식회사서우리테일,078329,2018/12,도매 및 소매업
주식회사서우에이앤디,091503,2018/12,건설업
주식회사서우제이앤디,077252,2018/12,부동산업
주식회사서울개봉뉴스테이위탁관리부동산투자회사,080506,2018/12,부동산업
주식회사서울개인택시복지법인,079267,2018/12,도매 및 소매업
주식회사서울건축이엔씨,084956,2018/12,부동산업
주식회사서울경제신문,018010,2018/12,정보통신업
주식회사서울라인,065966,2018/12,운수 및 창고업
주식회사서울랜드,010051,2018/12,"예술, 스포츠 및 여가관련 서비스업"
주식회사서울램,092222,2018/12,제조업
주식회사서울레이크사이드,015355,2018/12,"예술, 스포츠 및 여가관련 서비스업"
주식회사서울리츠임대주택제1호위탁관리부동산투자회사,085422,2018/12,부동산업
주식회사서울리츠임대주택제3호위탁관리부동산투자회사,082180,2018/12,부동산업
