구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(유)유맥에프앤알,014534,7445380,9699062,15504707,14058037,1368398,961231,574797,412014,1953551,1648645,1592137,1438283,5491828,8050417,13912571,12619754,6827491,8974586,13197343,11230524,6723516,8196857,9886302,10350775,0,623927,3023969,430156,5101253,6051457,7077787,7750370,0,0,0,0,220277,812135,166872,139692,0,0,0,0,617889,724476,2307365,2827513,33425,119271,325269,193578,15075115,19987075,30119034,34626225,585153,687414,1017340,1026269,2477240,3688469,5593590,5826791,17495324,23675016,36052420,40853971,2420209,3687941,5933386,6227747,-57031,-528,339796,400956,105230,10250,582888,520148,-542776,591858,-645262,-27181,114839,209084,404270,539850,4.5,3.55,4.81,5.86,5297833,7845903,12725231,11435059
(유)짐머바이오메트코리아,018711,14583132,13143864,17888365,16746461,8645750,6793089,8867144,8805242,11621795,10689063,14367104,13298405,2961337,2454802,3521261,3448057,13750829,10471317,12341612,8176284,13379015,9994429,11879523,7612596,0,0,0,0,9590000,4935529,4454272,600064,0,0,0,0,98950,319349,4000,6000,0,0,0,0,832304,2672548,5546753,8570178,8162457,6514384,8941655,9092950,6906763,7991346,10867854,10102897,2976045,3895973,5499960,4493162,8001810,4253922,5212904,4245276,17772591,15923767,21265236,19885525,10865828,7932421,10397383,9782628,2864018,3678499,5184479,5537352,1157634,1840244,2874205,3023425,-151957,220399,-315349,2000,954856,603914,399081,223267,19.91,8.32,8.5,8.83,1211904,1286639,1838639,1686444
(유)포리코리아,038721,,,,7930963,,,,2204838,,,,5332938,,,,2598025,,,,7245819,,,,5994629,,,,1215444,,,,2229677,,,,0,,,,70200,,,,0,,,,685144,,,,1546656,,,,3773466,,,,3128100,,,,1069694,,,,5469650,,,,1696184,,,,626490,,,,377282,,,,-121901,,,,53975,,,,3.13,,,,2566629
(주)엘케이,016453,8722419,9451346,9841497,10465768,1692304,2424287,2734711,2872312,4469729,4842326,4958945,5723502,4252689,4609020,4882552,4742266,7373990,7544446,7536422,7529465,6230413,6295081,6422705,6238871,822300,694800,600000,600000,0,0,0,2000000,0,0,0,0,49903,136619,72566,115580,0,0,0,0,1348428,1906900,2305075,2936303,1557880,2203585,2526181,2493234,4352874,8236507,8259356,9940639,2777425,2418039,2224234,2851190,630350,626816,646689,654972,5097913,9516575,9511324,11477475,745039,1280068,1251968,1536836,114689,653253,605278,881864,67519,558472,398176,631228,42712,86716,-64053,43014,67825,74312,10321,3129,16.5,9.8,1.59,0.2,4071964,4431004,4814413,4670784
(주)엠,038743,,,,11926644,,,,10116357,,,,10669883,,,,1256761,,,,9533014,,,,9499235,,,,0,,,,5166504,,,,0,,,,388496,,,,1030408,,,,2393630,,,,6964371,,,,42731331,,,,553526,,,,3620463,,,,47800356,,,,5069024,,,,1448561,,,,736240,,,,12996,,,,247814,,,,9.59,,,,214422
(주)엠.피.씨,011889,7435976,14528028,19284339,20255538,4097100,9592344,12393853,10841368,5485655,10178540,12815153,11899663,1950320,4349488,6469186,8355876,5326587,4454396,8364965,11259783,2933816,3527516,7412570,9535191,2140650,926880,558990,209430,1006000,1000000,1000000,1000000,0,0,0,0,1091954,1410668,2062776,939540,0,3000000,1500000,1390000,2109389,10073632,10919374,8995756,1936409,4340276,8546322,8046248,3651933,11292320,35658233,50347531,1388556,586196,421300,1058295,1271765,2742708,4277976,5232751,6324330,16093993,40448379,55048277,2672397,4801672,4790145,4700746,1400632,2058964,512169,-532006,1403703,1345683,889917,-188892,1039917,318714,652108,-1063768,215835,255235,146574,115266,13.41,9.52,7.21,6.61,831608,1674786,1939741,3359091
(주)엠게임,029011,,,,13856433,,,,4287696,,,,4287696,,,,9568737,,,,1167330,,,,736050,,,,0,,,,0,,,,0,,,,875725,,,,835000,,,,12689103,,,,2351447,,,,6294642,,,,0,,,,4601225,,,,11663914,,,,5369272,,,,768047,,,,507597,,,,544778,,,,0,,,,0,,,,1491016
(주)엠디엠,028810,,,,9932360,,,,7896706,,,,7896706,,,,2035654,,,,2344262,,,,1229021,,,,982956,,,,0,,,,0,,,,1598667,,,,5013000,,,,7588098,,,,44546,,,,4942052,,,,0,,,,2061889,,,,14168989,,,,9226938,,,,7165049,,,,3750530,,,,1161182,,,,103652,,,,21.09,,,,1335522
