구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)KHE,027325,29205519,30301780,29204425,19925618,9096663,12642189,13832189,7863205,10912011,13937298,14648572,8880971,18293507,16364482,14555853,11044648,17754459,20724543,19512540,17787405,13337594,17788545,18169906,15048713,3635126,2349351,681335,2059326,9200930,11806597,10769622,11424207,0,0,0,0,4502649,1787392,2061945,314539,608200,1001060,578133,1879297,11451059,9577238,9691885,2138213,3167023,8615113,9550881,7110464,16136191,14706856,18823631,17581866,1815348,1295109,816383,1017765,1606165,1760820,1485623,4685292,17701226,15428856,21497278,16055856,1565034,722000,2673647,-1526010,-41131,-1038820,1188024,-6211302,270378,-1793949,34775,-7553672,-393546,-2715257,274554,-1747406,1111551,1277447,1293009,899112,17.32,9.47,10.1,7.21,16174071,15465226,13955015,10495795
(주)KJ컴텍,038835,,,,8242919,,,,2729915,,,,3708650,,,,4534269,,,,4339812,,,,3699029,,,,225000,,,,1501746,,,,0,,,,766480,,,,48000,,,,3903107,,,,1544210,,,,4571687,,,,978735,,,,1142606,,,,6464150,,,,1892462,,,,749857,,,,681051,,,,-146812,,,,41714,,,,4.83,,,,3414843
(주)KTE,026849,14089373,15890538,19683653,21399488,4567057,4496196,7774536,5964166,5355223,6169541,9498509,10185461,8734150,9720997,10185144,11214027,7556860,8028290,9680005,7689343,4790722,5637957,6893046,7036506,0,0,0,0,500000,500000,0,0,0,0,0,0,781027,509836,2006208,1943635,0,1162352,1636780,1811760,6532513,7862248,10003648,13710145,3392658,2262163,3691670,1625547,16923075,16782896,18569901,17325877,788166,1673345,1723973,4221294,2323204,2340606,2832145,3159905,20785486,21694510,24357173,23869363,3862411,4911613,5787272,6543486,1539207,2571007,2955127,3383581,1144865,1479735,1991727,2843287,122065,-271191,1496372,-62573,40878,37748,7684,0,16.35,7.55,3.07,0,6961314,8965603,9177556,10045817
(주)LF네트웍스,040278,,,,9681825,,,,8597467,,,,8950562,,,,731263,,,,3875626,,,,3742439,,,,0,,,,93700,,,,0,,,,1721157,,,,172120,,,,5806200,,,,4187995,,,,34641036,,,,353095,,,,1895399,,,,39776154,,,,5135118,,,,3239719,,,,2228068,,,,0,,,,92532,,,,197.51,,,,143021
(주)LGEI,030602,,,,3693921000,,,,253775000,,,,253775000,,,,3440146000,,,,368543000,,,,179525000,,,,0,,,,0,,,,0,,,,185330000,,,,66081000,,,,3325378000,,,,0,,,,3522558000,,,,0,,,,814003000,,,,4697828000,,,,1175270000,,,,361267000,,,,315811000,,,,135367000,,,,81055000,,,,87.35,,,,48386000
(주)LG경영개발원,018261,,,49632939,48678571,,,8652849,8673529,,,8736715,8714125,,,40896225,39964446,,,43593369,42604749,,,4701310,3084108,,,0,0,,,0,0,,,0,0,,,5438615,6431655,,,0,0,,,6039571,6073822,,,2842146,1909501,,,0,0,,,83866,40596,,,36576560,36059518,,,36307372,36056261,,,36307372,36056261,,,-269188,-3257,,,25884,34252,,,649499,993041,,,0,0,,,0,0,,,2744620,2349161
(주)LG파워콤,021438,,,1391431907,1448341299,,,64410315,71524641,,,77483431,80927925,,,1313948476,1367413374,,,595539244,647722012,,,324017084,421030048,,,196083999,150138584,,,247202250,258272057,,,0,0,,,1730839,70032,,,13400000,0,,,795892663,800619287,,,49072370,104085994,,,306232547,0,,,13073116,9403284,,,21850278,403696150,,,386395106,491897007,,,80162559,491897007,,,58312281,88200858,,,25866066,23392649,,,-14341542,-1660807,,,31243168,29595151,,,12.17,5.97,,,1129541213,1170789613
(주)MBC아카데미,020587,15453961,16667700,16216147,17685220,6019245,8293918,7302386,8615967,6019245,8293918,7302386,8615967,9434716,8373782,8913762,9069253,3105011,3959633,3399193,4218766,2804874,3648491,3160346,3894942,0,0,0,0,0,0,0,0,0,0,0,0,2052740,1612084,853721,304144,2528400,4936654,5092693,6896325,12348950,12708067,12816955,13466454,685438,958695,1010919,936715,5813582,9254191,9619774,9848040,0,0,0,0,1001567,1377880,1664139,1313745,6881159,11323485,11644197,11918135,1067578,2069294,2024424,2070094,66011,691414,360285,756350,254346,519117,204888,713500,228963,-440655,-758363,-549577,0,0,0,0,0,0,0,0,9366606,8305939,8016225,7876085
(주)MBC애드컴,020588,20966586,31086131,29517254,31965303,17486815,27993857,24596072,28217575,17486815,27993857,24596072,28217575,3479771,3092274,4921182,3747728,23845354,29179640,26148378,26932770,22606983,27993354,25007117,25759376,0,0,0,0,604496,0,0,0,0,0,0,0,975839,1939565,469010,1255598,1485897,995300,376198,712000,-2878768,1906490,3368876,5032533,2587971,4444219,2628020,3321073,9584924,14188466,10007500,21586638,0,0,0,0,4387566,6345957,5891114,6498274,15983217,22873753,17775938,30310073,6398294,8685287,7768438,8723435,2010727,2339330,1877325,2225160,1578373,2297258,1057673,1873657,947600,963726,-1470555,786588,399755,121471,113340,9375,132.26,40.19,0,0,135145,143390,134448,122128
(주)NH무역,017587,26308015,51042397,39728262,51748400,24080770,47912371,36706126,37455448,25179196,49845136,38536122,50577806,1128819,1197261,1192140,1170594,34416016,49576830,38104294,33307577,34120475,49317313,37777963,32631619,0,0,0,0,27683505,32586667,32571303,27200555,0,0,0,0,275754,991793,6147156,4381225,0,14521000,11595100,15000000,-8108001,1465567,1623968,18440824,8817630,23848251,17192751,13152395,50183482,51804181,56665775,89581543,1098425,1932765,1829996,13122359,4342523,6696348,5183928,8100224,53906023,55353356,61855047,99430705,3722541,3549175,5189272,9849162,-619982,-3147173,5345,1748938,-13711355,-3426432,158401,1816856,-3872057,716039,5155363,-1765931,1225570,1485914,1636344,1087274,8.85,4.93,5.02,3.64,119506,181846,180192,150033
