구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(유)한국비엠에스제약,018712,18898416,24804367,37447817,50320664,13999198,17841925,28954212,43479668,17380161,22031667,34729177,47331954,1518255,2772701,2718640,2988710,21121844,27480642,38959160,45565970,20099761,26152802,37089010,44498025,133760,70000,10000,0,7650000,16257761,14488935,9000000,0,0,0,0,188924,772148,569124,1855175,0,0,0,0,-2223428,-2676275,-1511343,4754694,8025831,12269647,23074040,39035574,14598136,24963291,45709500,62404892,3380963,4189742,5774965,3852286,9101658,15933736,25817711,31903156,22017726,34163271,63773194,88062340,7419590,9199980,18063695,25657448,-1682068,-6733756,-7754016,-6245708,2394777,-452847,1164932,6266036,114053,583224,-203025,1286051,2439861,1403989,1231623,1079162,49.92,10.76,7.99,9.18,1203714,1366021,1502861,1439176
(주)프리즘산업개발,029902,,,,34246347,,,,10928717,,,,33710047,,,,536300,,,,37875491,,,,37845215,,,,0,,,,4100000,,,,0,,,,3518991,,,,0,,,,-3629144,,,,6704258,,,,19855312,,,,22781330,,,,1455882,,,,21672442,,,,1817129,,,,361247,,,,-991916,,,,2630325,,,,1408884,,,,68.73,,,,524870
(주)프리챌,012324,3819156,27751585,40469027,23519606,2428003,8665972,18404156,8750823,2428003,8876857,18420819,8750823,1391153,18874728,22048208,14768782,100066,8965980,35937766,30048386,100066,8844798,29315252,23736616,0,0,0,0,0,777431,17577986,6799911,0,0,0,0,2235918,39024,231966,252958,0,4000000,0,0,3719089,18785605,4531261,-6528780,0,1368241,1902875,1939441,0,4506429,7642116,4038433,0,210886,16663,0,407499,15964755,14579136,18951217,0,7855190,15600802,18064214,0,3348762,7958687,14025782,-407499,-12615994,-6620450,-4925436,-371605,-9197322,-14358964,-23687223,2235918,-2196893,192941,20992,14,182752,2032732,2211183,0,47.01,16.56,11.77,996811,8790819,17356122,13520500
(주)프리컴시스템,011058,,,2459554,6500685,,,651995,4750569,,,795927,4778907,,,1663626,1721778,,,871428,4505393,,,556428,4226699,,,300000,225000,,,12000,12000,,,0,0,,,133508,210539,,,0,20000,,,1588125,1995291,,,377677,4503247,,,2299757,8838962,,,143933,28337,,,2289632,1546188,,,4572600,11126682,,,2272843,2287721,,,-16788,741532,,,29446,407166,,,2813,131088,,,27059,16393,,,17.35,5.25,,,377836,358361
(주)프릭사,030781,,,,5659616,,,,1919949,,,,4026349,,,,1633267,,,,6195040,,,,5706640,,,,166800,,,,4800000,,,,0,,,,243407,,,,1000000,,,,-535424,,,,483839,,,,6348684,,,,2106400,,,,544978,,,,7802794,,,,1454109,,,,909131,,,,550399,,,,2547,,,,323049,,,,13.01,,,,1577332
(주)프릭스,039162,,,,17530956,,,,10133367,,,,15953635,,,,1577320,,,,14452018,,,,6721060,,,,1500000,,,,1975878,,,,0,,,,2238255,,,,509631,,,,3078938,,,,6513350,,,,13548152,,,,5820269,,,,2253046,,,,14990572,,,,1442420,,,,-810626,,,,-638259,,,,2090580,,,,341254,,,,7.13,,,,797873
(주)플랙트우즈코리아,040380,,,,8380459,,,,6012265,,,,6643621,,,,1736838,,,,6599048,,,,3449640,,,,2696694,,,,0,,,,0,,,,678055,,,,0,,,,1781412,,,,5208555,,,,5806815,,,,631356,,,,1738610,,,,7452966,,,,1646151,,,,-92459,,,,55721,,,,678055,,,,75193,,,,5.58,,,,758968
(주)플러스빌,040204,,,,85238975,,,,85107855,,,,85107855,,,,131120,,,,86614527,,,,86614527,,,,0,,,,84357249,,,,0,,,,48002860,,,,30000,,,,-1375552,,,,0,,,,0,,,,0,,,,1023491,,,,0,,,,0,,,,-1023491,,,,-1318792,,,,48001875,,,,325783,,,,0.77,,,,25763
