구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실)(천원),영업이익(손실)(천원),영업이익(손실)(천원),차입금의존도,차입금의존도,차입금의존도,총자본증가율,총자본증가율,총자본증가율,유동자산증가율,유동자산증가율,유동자산증가율,매출액증가율,매출액증가율,매출액증가율,순이익증가율,순이익증가율,순이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,매출액순이익률,매출액순이익률,매출액순이익률,매출액총이익률,매출액총이익률,매출액총이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출채권회전률,매출채권회전률,매출채권회전률,재고자산회전률,재고자산회전률,재고자산회전률,총자본회전률,총자본회전률,총자본회전률,유형자산회전율,유형자산회전율,유형자산회전율,부채비율,부채비율,부채비율,유동비율,유동비율,유동비율,자기자본배율,자기자본배율,자기자본배율,당좌비율,당좌비율,당좌비율,비유동비율,비유동비율,비유동비율,순운전자본비율,순운전자본비율,순운전자본비율,현금비율,현금비율,현금비율,부채(*)(천원),부채(*)(천원),부채(*)(천원),자산(*)(천원),자산(*)(천원),자산(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,유동부채(*)(천원),유동부채(*)(천원),유동부채(*)(천원),유동자산(*)(천원),유동자산(*)(천원),유동자산(*)(천원),CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,차입금평균이자율,차입금평균이자율,차입금평균이자율
,년도,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002,2000,2001,2002
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)CMG제약,058820,,1.03,-9.99,1534583,294030,-3817019,,50.6,53.16,,0,-26.34,,0,-39.61,,0,66.81,,0,0,,0,0,,0.7,-8.54,,5.53,-10.12,,1.26,-29.43,,0.53,-12.42,,94.47,110.12,,1103.1,1300.01,,1.13,2.35,,0.76,1.45,,4.18,7.64,,137.88,135.68,,141.01,114.21,,179.37,133.37,,19.89,16.6,,51.76,84.5,,22.76,7.98,,15.77,4.1,16094696,12118565,8866545,28990239,20907767,15401443,51058400,15822816,26394126,,-17.32,-3.17,15240565,11601078,8650479,21169229,16358828,9879653,,-13.27,-1.07,,2.69,4.07
(주)DB하이텍,000990,1.01,1.37,1.5,50510272,56563731,52449026,48.24,48.77,47.97,-3.78,0.77,5.57,-11.29,-11.23,1.84,44.94,-2.38,-6.29,33.37,-59.26,191.22,13.65,11.98,-7.27,1.69,0.71,2.2,24.39,23.64,18.61,4.76,1.92,5.5,1.67,0.69,1.95,75.61,76.36,81.39,11.5,13.34,16.53,4.9,4.98,4.62,0.99,0.98,0.89,1.9,1.8,1.66,178.28,176.72,186.19,82.44,74.47,62.77,583.23,591.05,603.31,32.25,25.72,19.53,186.02,195.9,205.56,-7.06,-10.01,-16.71,1.21,1.54,2.07,516209491,518548634,557670190,805756842,811974426,857182680,811354526,792006056,742225438,15.46,15.27,10.36,324038499,318437161,384713351,267144765,237139303,241497700,9.84,10,7.79,12.08,10.53,8.64
(주)ES큐브,050120,,,4,,840860,846206,,,8.03,,,0,,,0,,,0,,,0,,,0,,,1.91,,,10.41,,,7.39,,,5.5,,,89.59,,,20.96,,,258.91,,,2.88,,,534.29,,,34.45,,,240.41,,,340.35,,,235.71,,,57.83,,,33.28,,,74.63,,2539677,2420858,,7040499,9447366,,24796757,27234487,,,49.86,,2398913,2239460,,3824932,5383853,,,4.43,,,27.89
(주)MH에탄올,023150,2.71,2.6,5.5,2023710,3026206,3813251,31.5,32.88,24.77,24.65,11.57,-12.39,16.38,19.33,1.26,-31.73,11.86,11.91,0,-0.41,43.85,-56.82,49.54,26.01,3.46,3.08,3.96,16.14,19.69,20.09,3.09,2.75,3.8,1.97,1.67,2.43,83.86,80.31,79.91,15.18,13.97,11.85,9.77,5.5,5.91,0.57,0.54,0.61,1.22,1.14,1.47,60.7,68.43,44.86,90.51,102.61,160.45,586.7,624.58,636.23,64.97,61.72,118.86,116.47,118.85,95.58,-2.89,0.75,12.82,0.46,6.35,3.39,15697113,18836992,12580205,41556095,46365419,40621872,21305271,23832170,26670926,20.56,5.67,27.67,12636987,13299779,8613018,11437111,13647414,13819314,15.15,4.48,13.05,6.8,8.21,5.48
(주)SH에너지화학,002360,0.76,1.17,2.09,6174845,5006324,9527093,81.2,66.99,60.67,0,4.28,0.69,0,9.44,-9.3,0,-3.06,4.14,0,2071.31,49.55,0,-42.66,90.3,-3.07,4.63,6.64,16.9,14.26,20.69,-48.07,19.19,18.61,-4.8,3.56,5.2,83.1,85.74,79.31,5.32,2.59,2.96,40.05,23.22,27.92,1.56,0.77,0.78,2.77,1.38,1.42,901.71,311.54,216.83,513.51,554.56,654.52,55.23,168.57,175.95,461.19,516.53,602.6,618.26,246.84,202.62,30.82,32.8,30.54,15.8,15.49,46.6,89656334,78442080,71405537,99599225,103620497,104336534,77800545,78123330,81354242,-0.65,4.89,10.45,7424544,7477964,5746631,38125846,41469747,37612649,-0.75,4.91,9.17,20.14,5.68,6.87
(주)SIMPAC,009160,1.75,0.1,1.54,5970249,449781,3366216,24.96,26.09,28.91,-2.7,8.14,-4.86,-0.34,22.3,-8.64,77.4,-31.3,21.28,0,0,0,153.82,-92.47,648.41,2.3,-11.81,0.21,19.3,14.07,17.93,5.14,-17.66,0.37,1.92,-6.58,0.14,80.7,85.93,82.07,5.61,3.02,3.92,4.05,2.61,2.88,0.83,0.56,0.67,1.49,1.04,1.27,158.11,178.42,163.93,71.91,76.03,75.79,74.2,226.01,226.82,35.69,39.29,34.4,153.11,150.32,147.32,-15.89,-14.51,-14.11,0.51,0.08,2.61,46339537,52422396,48338154,75648581,81803602,77824530,63886619,43890705,53229818,10.32,-0.76,-4.11,42796779,49507158,45368386,30774633,37638754,34385114,7.49,-0.9,-3.73,15,21.66,9.98
(주)SNT홀딩스,036530,999999999,999999999,999999999,18850596,29401853,26243726,0,0,0,139.03,60.26,27.5,323.52,49.6,30.3,101.68,40.3,-15.77,215.88,65.91,-15.81,249.73,55.97,-10.74,21.64,25.59,25.58,35.68,37.07,39.13,58.64,51.79,30.54,40.3,36.44,21.9,64.32,62.93,60.87,17.92,24.82,77.17,78.02,20.3,10.91,1.86,1.42,0.86,5.64,4.74,2.82,42.68,41.76,37.69,303.65,320.33,374.86,981.33,1582.94,2077.85,296.99,269.38,342.29,42.48,48.83,45.44,47.1,45.09,49.12,75.03,151.17,279.72,15705735,24787931,29367312,52505701,84148126,107286764,69339624,97283283,81943584,53.78,86.56,101.58,12143322,17220600,19174976,36872859,55163387,71879199,12.18,22.06,36.4,0,0,0
(주)STX,011810,1.36,0.95,0.87,34251998,20369519,16882697,53.32,40.43,27.38,0.89,10.14,16.22,9.49,-17.57,3.8,-5.67,16.56,23.85,-62.47,50.72,679.53,-14.34,-40.53,-17.12,1.27,1.65,10.37,18.82,12.63,9.24,2.99,4.45,29.3,0.76,1.08,7.46,81.18,87.37,90.76,2.86,3.55,4.79,2.68,3.5,6.02,0.6,0.66,0.72,1.59,2.43,3.96,299.95,320.33,271.94,120.12,70.41,69.8,111.63,116.99,153.64,63.5,46.76,48.51,188.47,253.99,240.47,8.86,-16.63,-15.29,0.66,1.16,4.16,329294140,368537398,410902727,439075469,483587358,562003095,260514071,303662102,376071165,0.98,10.21,17.45,193282025,271801755,284595600,232172635,191369780,198645590,1.24,12.39,19.07,10.96,10.03,11.14
