구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실)(천원),영업이익(손실)(천원),영업이익(손실)(천원),차입금의존도,차입금의존도,차입금의존도,총자본증가율,총자본증가율,총자본증가율,유동자산증가율,유동자산증가율,유동자산증가율,매출액증가율,매출액증가율,매출액증가율,순이익증가율,순이익증가율,순이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,매출액순이익률,매출액순이익률,매출액순이익률,매출액총이익률,매출액총이익률,매출액총이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출채권회전률,매출채권회전률,매출채권회전률,재고자산회전률,재고자산회전률,재고자산회전률,총자본회전률,총자본회전률,총자본회전률,유형자산회전율,유형자산회전율,유형자산회전율,부채비율,부채비율,부채비율,유동비율,유동비율,유동비율,자기자본배율,자기자본배율,자기자본배율,당좌비율,당좌비율,당좌비율,비유동비율,비유동비율,비유동비율,순운전자본비율,순운전자본비율,순운전자본비율,현금비율,현금비율,현금비율,부채(*)(천원),부채(*)(천원),부채(*)(천원),자산(*)(천원),자산(*)(천원),자산(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,유동부채(*)(천원),유동부채(*)(천원),유동부채(*)(천원),유동자산(*)(천원),유동자산(*)(천원),유동자산(*)(천원),CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,차입금평균이자율,차입금평균이자율,차입금평균이자율
,년도,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)경동나비엔,9450,2.62,1.31,3.06,6501565,2938759,3965506,17.18,10.65,8.36,3.93,-8.41,19.5,6.69,-14.96,15.95,11.57,-20.19,18.5,5.35,-61.08,265.57,25.45,-54.8,34.94,3.45,1.68,5.19,23.45,21.41,23.56,7.73,2.93,10.35,4.09,1.63,5.68,76.55,78.59,76.44,2.6,2.47,3.95,12.31,10.16,13.61,1.18,0.97,1.09,8.21,6.36,7.36,89.06,70.21,93.94,167.31,226.28,185.93,537.32,546.6,573.27,142.98,194.13,164.26,59.44,61.86,74.15,27.58,35.53,28.55,23.48,45.46,67.21,55126551,44212210,62037318,117026285,107180654,128078015,136033055,108573817,128657153,6.54,33.63,32.02,47954898,30152071,42548551,80235667,68228762,79109428,2.65,13.7,15.44,12.55,14.26,11.73
(주)경동인베스트,12320,2.18,2.3,4.71,8545302,9087163,14905739,34.15,34.19,17.03,35.74,44.82,11.93,99.73,53.34,-15.99,24.77,44.13,23.47,13.95,15.53,105.54,-18.09,6.34,64.03,5.89,4.72,7.86,25.35,20.82,24.93,12.08,9.36,13.55,4.87,3.99,6.54,74.65,79.18,75.07,7.77,7.21,6.19,31.12,50.13,61.16,0.83,0.85,0.83,1.74,1.98,1.98,128.27,139.45,84.85,125.28,114.01,120.75,438.69,605.61,665.26,118.52,110.26,115.58,136.31,138.99,126.83,7.97,5.14,5.39,21.46,25.9,0.05,67523982,101346701,89410086,120166868,174020381,194786982,86259618,124323899,153504840,17.64,13.61,19.37,37882732,63829450,50633271,47459997,72774889,61140972,13.81,11.09,11.28,10.18,7.87,6.83
(주)경방,50,1.31,1.62,1.94,16768582,24090119,18605610,42.48,37.21,33.9,0,-8.79,-4.75,0,-17.08,-1.08,0,14.09,-2.1,0,22719.65,105.09,0,42.88,-22.77,-0.04,2.04,4.28,17.07,20.24,18.56,-0.28,8.2,15.07,-0.06,1.85,4.08,82.93,79.76,81.44,8.98,5.72,6.11,7.72,4.85,5.39,1.52,0.91,0.95,3.38,2,2.1,385.59,304.48,238.71,72.03,73.46,66.75,670.17,719.69,818.64,38.32,39.66,36.85,275.33,249.86,204.24,-16.31,-13.81,-19.78,4.63,2.71,2.63,201959017,174685234,155780778,254335870,232057651,221040807,193152028,220359657,215739234,0.44,4.62,15.07,148376918,120749187,131474668,106882915,88707268,87753080,0.46,3.66,10.88,23.75,15.26,11.87
(주)경인양행,12610,0.78,1.96,0.69,1287738,3969913,1397249,46.22,32.99,6.59,62.11,8.71,-28.09,20.92,9.06,-4.67,31.54,14.06,-5.47,48.85,58.48,-76.79,-25.57,208.29,-64.8,3.43,4.76,1.17,15.19,22.52,17.78,6.78,7.92,1.6,3.07,3.78,0.98,84.81,77.48,82.22,5.67,4.8,4.43,4.55,4.51,3.56,0.9,0.79,0.84,4.03,3.47,2.96,142.77,86.56,40.1,188.32,308.26,299.58,374.63,367.55,351.93,127.42,177.51,162.28,126.86,98.86,53.08,21.9,31.65,41.38,51.2,55.95,27.9,45999057,39449950,17501518,78217630,85026591,61141242,56699105,64671226,61136538,3.76,11.16,42.71,19397102,12923764,12677390,36527774,39838758,37978501,3.05,6.81,12.23,6.52,6.31,12.56
(주)골드앤에스,35290,,3.13,2.09,248393,1038525,848277,,22.68,13.51,,0,170.33,,0,382.74,,0,16.17,,0,-27.85,,0,-18.32,,3.06,1.9,,26.6,31.05,,14.97,3.09,,4.75,1.85,,73.4,68.95,,49.9,33.18,,19.21,16.59,,1.55,0.98,,2.51,4.6,,215.02,42.26,,42.43,201.26,,131.87,312.05,,26.99,175.6,,244.08,85.79,,-30.16,19.97,,0.61,90.41,6032067,5604348,6593996,7055169,8210828,22196325,7894545,12761027,14823855,,29.83,23.45,4841484,4301676,4378416,1954430,1825365,8811833,,13.1,10.43,,17.81,16.7
(주)광림,14200,-12.59,-11.66,-8.42,-2349704,-4483238,-17937713,2.42,1.05,1.41,0,-11.19,-26.41,0,-18.03,7.89,0,12.42,2.86,0,0,0,0,0,0,-43.09,-11.49,22.12,5.39,16.36,11.85,-216.15,-110.64,46.04,-17.49,-5.55,13.47,94.61,83.64,88.15,3.15,4.06,4.76,2.38,2.68,2.79,0.41,0.48,0.61,1.62,1.79,1.73,1135.79,6309.18,49.46,238.78,260.84,185.86,55.2,9.45,116.83,136.66,125.35,97.51,743.49,4052.71,68.9,23.15,22.67,24.9,47.75,38.88,36.62,74691452,71050305,17578203,81267619,72176446,53116257,32989838,37086071,38148293,-4.15,-1.36,12.27,13558524,10173917,15404933,32374602,26537198,28632024,-9.4,-2.6,5.65,9.5,28.24,283.19
(주)광명전기,17040,-0.5,,1.59,-1375040,,2175261,62.88,,0.07,21.59,,0,37.46,,0,14.19,,0,0,,0,0,,0,-9.72,,25.71,5.59,,12.18,-24.1,,0,-7.29,,31.81,94.41,,87.82,6.76,,6.31,2.94,,20.36,0.75,,1.24,6.61,,4.11,320.76,,0,144.19,,372.62,223.8,,-552.42,83.72,,328.11,178.11,,0,17.48,,37.21,3.93,,127.82,74649808,,37745896,97922250,,32001452,66936308,,39585924,-3.55,,2.71,38722144,,4367289,55834518,,16273445,-3.96,,2.58,6.27,,5754.08
(주)광무,29480,1.7,0.58,0.92,1140029,687741,889753,16.11,21.43,30.44,98.39,-34.03,23.07,81.29,-49.85,42.83,29.22,-43.24,42.98,0.79,-80.69,237.39,-62.06,-39.67,29.37,4.21,1.43,3.38,17.62,23.71,16.46,14.64,2.61,8.48,5.65,0.99,3.76,82.38,76.29,83.54,2.84,1.93,3.97,7.27,3.69,5.95,1.34,0.69,1.11,8.29,2.7,3.59,221.66,107.83,142.25,114.14,128.73,187.81,386.04,394.17,416.18,88.06,73.95,141.07,95.58,96.84,92.11,8.7,11.92,28.98,9.01,7.3,25.5,29949043,14876875,20720401,43460564,28672860,35286718,43826079,24875216,35566430,-1.72,5.77,-11.79,26752070,11895319,11644997,30534752,15312541,21870289,-1.18,3.45,-6.87,12.93,17.97,11.49
(주)국동,5320,4.73,5.22,14.8,5581584,12663915,14112107,7.53,11.56,16.6,12.28,29.1,20.77,71.1,24.16,32.92,-3.11,45.55,5.27,-32.01,133.77,-4.05,-12.09,126.89,11.44,3.73,6,5.47,20.94,21.66,24.42,11.44,22.02,17.63,7.33,14.15,10.91,79.06,78.34,75.58,7.63,10.74,11.79,15.66,19.1,18.61,1.96,2.36,2,13.96,15.7,13.29,57.25,54.35,68.08,225.95,196.03,180.99,508.65,406.6,450.96,178.8,162.14,154.36,50.09,55.1,49.13,37.27,31.5,31.67,2.21,26.17,14.8,17473086,21817589,30309223,47992000,61957511,74827527,89124295,129724799,136560819,0.78,26.58,36.71,14200063,20323172,29258503,32085462,39838789,52955466,0.15,4.47,8.15,33.2,45.03,9.74
(주)국보,1140,0.3,0.7,1.35,497597,919071,1285114,33.79,35.27,30.62,-3.6,4.46,15.34,25.68,8.8,19.14,4.9,9.86,16.31,-53.78,-84.58,1804.29,-60.82,84.7,39.83,0.39,0.06,0.9,11.34,11.68,12.67,1.35,0.21,3.85,0.42,0.06,1.12,88.66,88.32,87.33,5.41,4.68,4.02,191.41,208.45,274.26,1.07,1.17,1.24,3.64,5.49,6.75,211.44,224.67,262.44,74.83,80.29,77.14,218.67,219.12,226.38,73.74,79.18,76.48,190.57,193.43,211.1,-13.05,-9.92,-12.37,10.6,14.49,13.42,23748762,25286637,30517472,34980643,36541642,42145749,38088011,41844949,48670362,7.48,-0.48,2.6,18143140,18397594,22811933,13576600,14771289,17598168,4.67,-0.29,1.63,14,10.65,7.39
