구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),차입금의존도,차입금의존도,차입금의존도,차입금의존도,차입금의존도,차입금의존도,총자본증가율,총자본증가율,총자본증가율,총자본증가율,총자본증가율,총자본증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,부채비율,부채비율,부채비율,부채비율,부채비율,부채비율,유동비율,유동비율,유동비율,유동비율,유동비율,유동비율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,당좌비율,당좌비율,당좌비율,당좌비율,당좌비율,당좌비율,비유동비율,비유동비율,비유동비율,비유동비율,비유동비율,비유동비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,현금비율,현금비율,현금비율,현금비율,현금비율,현금비율,부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율
(주)시노펙스,25320,2.79,-2.26,-7.8,2.02,13.5,3.18,8082232,3082335,-22580059,10705791,24862904,3372474,26.12,16.88,23.06,24.78,21.6,23.13,-5.19,-16.83,-20.78,-21.01,14.28,-4.92,-7.14,-5.41,-47.83,-21.03,14.88,12.46,-21.68,-13.63,-55.01,-29.93,20.18,-18.08,0,0,0,0,0,0,758.63,0,0,0,532.27,-68.83,1.08,-1.81,-9.93,-3.86,2.6,-1.31,7.34,4.78,1.35,15.02,23.27,20.29,4.68,-6.62,-17.03,-5.35,4.85,-1.8,1.82,-2.96,-9.01,-3.1,2.65,-1.05,92.66,95.22,98.65,84.98,76.73,79.71,5.19,4.56,2.7,3.18,4.47,4.07,17.17,18.17,16.82,38.26,61.04,63.91,1.69,1.64,0.91,0.8,1.02,0.8,5.61,7.36,6.04,4.16,5.28,4.56,139.4,106.46,70.72,75.22,89.8,55.09,92.43,118.13,98.31,96.84,92.96,159.44,334.56,313.28,271.89,209.25,216.81,235.84,74.85,102.27,92.89,91.79,89.75,155.47,114.65,84.11,104.09,106.85,115.35,83.14,-4.27,9.1,-0.67,-1.27,-2.97,17.3,4.9,3.8,13.86,11.9,9.88,45.44,147951167,126431371,74574258,71472035,96029335,90147622,236351671,212951842,136460733,139536283,150611300,158378395,439376556,402101768,197144903,155021724,181187121,165400318,2.17,4.48,8.14,13.23,19.47,28.05,139173988,118725031,66967235,64472510,82026535,71637739,134938426,144547607,63596245,68248629,65514987,67219989,0.73,1.28,3.29,6.24,9.62,12.08,5.98,4.58,4.57,4.6,4.74,6.22
(주)시디즈,134790,999999999,999999999,999999999,999999999,999999999,999999999,,,,,,,0,0,0,0,0,0,-32.27,-3.37,-1.8,1.84,1.32,208.85,-27.95,0.69,-20.83,-3.06,2.7,183.06,-71.3,-54.16,-37.63,47.89,25.96,1025.83,0,0,0,0,129.96,1203.35,0,0,0,0,0,0,-1.13,0.88,-7.46,1.35,2.46,2.85,10.58,0.06,-11.44,-2.03,-0.08,17.79,-1.12,0.43,-2.32,0.62,1.42,17.13,-0.9,0.41,-2.2,0.59,1.33,8.43,89.42,99.94,111.44,102.03,100.08,82.21,16.69,14.78,11.2,12.04,13.12,16.78,11.23,8.58,3.95,5.34,5.72,14.04,0.8,0.46,0.29,0.44,0.54,2.96,7.88,4.74,3.87,6.04,7.81,14.74,6.99,5.54,5.55,6.77,7.12,186.58,1709.32,2480.75,1632.89,1200.17,1287.84,104.23,2226.4,2180.92,2141.43,2155.82,2177.25,2513.46,1605.4,2328.28,1418.98,1079.85,1066.46,65.07,15.02,11,29.32,33.37,32.47,103.55,80.93,85.97,67.8,63.02,64.27,2.59,239.36,310.47,119.32,73.8,170.53,10.14,,,,,,,,,,,,,,,,,,,65.26,-133.36,-34.08,13.14,-0.42,6.39,,,,,,,,,,,,,4.32,-14.94,-6.02,1.93,-0.05,2.13,0,0,0,0,0,0
(주)시스웍,269620,,,,,171.33,642.23,,,,5915309,6556923,5054087,,,,,1.43,0,,,,,0,7.56,,,,,0,-10.44,,,,,0,-32.23,,,,,0,-11.11,,,,,0,-21.2,,,,,17.63,23.13,,,,,30.44,38.03,,,,,16.78,14.04,,,,,15.32,13.12,,,,,69.56,61.97,,,,,3.98,2.46,,,,,22.07,9.57,,,,,0.87,0.57,,,,,5.46,4.57,,,,,9.59,4.73,,,,,905.84,1538.43,,,,,1776.71,1999.76,,,,,859.61,1352.06,,,,,25.06,37.46,,,,,68.62,60.05,,,,,600,747.63,,,,6811624,3171348,2434741,,,,20275321,35182889,38500483,,,,24293569,31381567,22371735,,,,,226.02,243.6,,,,5185596,3088180,2307672,,,,14143119,27309391,25118404,,,,,22.78,20.08,,,,,7.39,3.11
(주)시큐브,131090,17.54,-24.71,1407.18,999999999,999999999,999999999,,,,2212139,2785786,2301011,7.49,0.47,0,0,0,0,-1.27,-10.9,4.4,6.9,13.04,-2.66,-3.52,-12.49,14.81,7.68,13.74,-4.61,-14.66,-8.84,-6.98,2.23,0.19,-8.27,-48.78,-72.03,202.43,28.56,78.83,-18.08,-60.96,0,0,38.09,26.59,-19.38,9.41,2.89,9.38,11.8,21.06,18.81,47,44.63,57.72,60.93,57.58,53.36,7.97,2.22,6.77,8.38,13.6,10.14,5.44,1.62,5.08,6.18,10.04,7.86,53,55.37,42.28,39.07,42.42,46.64,1.44,1.6,1.78,1.84,1.85,1.93,332.41,398.86,21209.41,17835.44,14065.16,11271.03,0.58,0.56,0.54,0.52,0.48,0.42,5.24,4.93,4.77,5.07,5.34,5.1,43.04,30.89,35.55,35.4,35.35,23.18,256.83,314.58,313.79,319.14,317.94,433.48,677.48,659.66,665,648.88,733.75,741.21,255.93,314.57,313.78,319.13,317.92,433.46,34.93,33.73,24.89,24.06,23.36,23.3,46.15,50.63,55.62,56.46,56.72,62.38,28.85,46.88,83.43,102.04,140.54,214.95,,,,7816829,8834563,6179809,,,,29578466,33106158,32745586,,,,15151907,15259224,13950490,27.52,41.4,45.25,44.92,48.87,61.09,,,,7703690,8803115,6143090,,,,24966685,28783675,27302157,14.24,16.42,22.38,23.16,28.4,27.15,3.34,1.41,1.87,0,0,0
(주)시티랩스,139050,148.24,522.35,-4.31,-1.99,-32.47,3.83,156108,1822589,-996231,-937012,-3207237,-998339,0,0,24.3,12.89,8.17,28.89,7.29,6.02,22.11,-3.82,7.26,9.06,0.69,9.89,17.31,-27.71,67.59,-51.42,11.06,28.83,-32.29,-12.79,-16.4,-27.54,-48.8,201.74,0,0,0,0,-92.11,750.81,0,0,0,0,0.99,2.32,-1.48,-5.64,-32.17,-33.01,12.24,10.86,9.77,9.96,6.83,15.65,2.03,5.93,-2.51,-7.83,-33.3,-24,1.52,4.3,-1.62,-5.01,-23.51,-16.15,87.76,89.14,90.23,90.04,93.17,84.35,7.06,9.04,9.65,15.52,8.87,7.48,508.48,0,0,0,0,0,1.53,1.85,1.1,0.89,0.73,0.49,5.54,7.28,9.27,68.67,28.56,7.78,38.35,37.1,72.22,42.47,40.89,56.34,205.47,213.07,133.65,146.68,234.46,107.84,295.87,316.54,307.71,313.61,252.53,195.31,205.47,213.07,133.65,146.68,234.46,107.84,61.88,58.56,77.44,83.54,49.83,111.33,28.37,30.4,13.86,13.16,37.07,2.09,9.49,27.44,53.95,15.9,95.71,14.49,8870524,10240827,18358253,17354981,24198026,25515111,32107836,35334967,42684548,45029166,54620991,55805273,47707598,66149977,44494085,37514190,49340104,38285541,37.23,23.73,11.25,3.44,-0.12,-1.83,8656717,10240827,18041440,14703768,22221750,20603296,19213259,21865442,24717072,24931426,35352575,17546554,6.96,3.57,4.72,1.13,-0.05,-1.41,0,0,4.92,3.85,0.57,3.1
(주)신도리코,29530,999999999,999999999,999999999,999999999,999999999,999999999,28410446,4621049,6543358,16262544,32621678,24889473,0,0,0,0,0,0,1.11,-1.13,-0.84,3.75,2.69,1.13,14.41,-7.86,1.86,3.83,7.39,2.53,-30.74,-10.48,3.88,1.08,10.65,-1.35,-27.63,-50.97,-29.63,54.08,49.44,-3.94,-30.11,-74.39,-13.31,92.87,110.79,-37.2,8.12,4.45,3.01,4.59,6.2,6.04,17.16,14.34,12.94,13.59,15.52,15.64,5.11,2.48,1.75,2.66,3.9,3.67,4.72,2.32,1.65,2.5,3.62,3.41,82.84,85.66,87.06,86.41,84.48,84.36,10.12,8.58,7.25,7.64,8.76,9.38,9.44,10.82,11.99,11.01,14.7,14.42,0.58,0.52,0.55,0.54,0.58,0.57,3.74,3.62,3.73,4,5.14,5.33,7.64,6.67,5.41,7.58,7.66,7.34,1637,1662.56,1884.58,1211.53,1203.09,1411.88,1626.54,1622.83,1628.39,1655.27,1698.49,1722.7,1505.52,1571.04,1739.77,1133.11,1146.79,1328.06,28.96,34,31.64,32.24,28.8,27.63,68.63,64.03,66.27,64.26,67.16,69,95.92,85.21,88.64,196.8,201.2,242.76,96117360,95686147,109047052,91019127,84698683,78654122,919770392,915624765,929282858,932198393,940545761,950210537,527571697,480039122,500503730,507283935,558437442,557945582,111.97,67.33,17.9,54.29,94.3,72.76,71613818,76325491,97266162,79911633,74892042,62637770,720394748,681359821,717513876,722434498,749499570,766836413,13.73,8.03,1.67,7.15,11.64,8.85,0,0,0,0,0,0
(주)신성이엔지,11930,-1.04,-0.28,0.78,-1.15,-1.38,-0.99,,,,-9743379,-5655317,-4152168,66.07,61.57,65.08,28.31,35.66,49.8,-7.97,15.76,-6.61,106.68,-1.91,-46.75,4.5,82.26,-23.33,290.52,-3.89,-70.12,-4.55,27.63,-10.02,24.21,319.3,-63.91,0,0,0,594.04,0,0,0,0,0,0,0,0,-17.9,-6.01,1.22,6.84,-5.2,-2.11,0.23,3.59,11.42,1.54,5.67,8.22,-47.76,-24.12,3.72,15.19,-43.63,-7.42,-8.63,-3.58,0.63,2.96,-7.07,-1.36,99.77,96.41,88.58,98.46,94.33,91.78,5.15,4.6,4.12,2.08,5.44,3.11,9.1,13.42,10.37,9.5,40.83,23.61,0.48,0.6,0.52,0.43,1.36,0.65,0.88,1.21,1.13,1.15,4.14,1.83,568.44,579.43,413.91,412.58,679.38,248.39,42.02,41.78,62.23,79.73,70.81,44.2,156.18,139.59,163.92,148.54,95.82,114.14,33.41,36.05,49.78,73.32,67.27,39.26,527.76,454.28,374.11,249.1,386.85,249.92,-29.04,-46.19,-16.51,-13.07,-20.76,-35.69,3.32,5.27,3.13,14.38,8.57,3,,,,571703387,601046332,299061479,,,,693978387,682856890,413145099,,,,217216936,990545402,424654240,-0.84,-2.74,-1.38,6.18,3.61,-15.01,,,,456194032,487924743,272010305,,,,376362334,365422938,159849487,-1.41,-4.21,-2.08,15.48,2.29,-11.49,5.63,5.33,4.69,4.22,4.95,5.31
(주)신세계,4170,2.69,2.65,3.5,4.47,4.79,5.2,306389938,273446693,262134022,251398879,345695651,397350381,35.83,32.5,23.11,25.24,24.24,25.47,3.23,2.89,-2.34,8.62,3.41,0.29,-2.48,107.65,-44.45,84.44,46.06,-20.78,1.48,-2.7,-1.06,10.61,1.33,4.43,-12.78,10.91,196.31,-59.77,-10.65,31.42,11.19,-6.54,-2.86,7.15,11.11,10.21,7.79,8.88,26.6,9.68,8.53,10.74,74.37,75.9,75.96,76.65,78.92,80.14,5.5,5.66,14.96,5.45,4.64,5.95,2.27,2.44,7.23,2.82,2.38,3.07,25.63,24.1,24.04,23.35,21.08,19.86,24.06,29.31,28.22,19.5,13.45,16.36,26.88,23.02,19.38,20.56,22.78,27.14,0.29,0.28,0.27,0.29,0.28,0.29,0.78,0.75,0.68,0.69,0.68,0.74,136.81,126.65,90.05,96.51,93.44,93.93,18.91,35.77,17.93,26.26,30.18,33.48,4614.99,4961.22,5778.19,6070.17,6376.39,6379.16,13.2,29.56,11.44,21.4,26.8,29.37,228.13,209.89,182.05,182.47,173.93,178.48,-15.71,-13.27,-19.25,-20.05,-23.33,-15.83,0.64,2.42,0.44,0.43,5.48,14.82,4156115854,4362384554,3857275265,5261597935,5232178311,6099112836,7499974642,7931446086,7918168376,9954538692,10151705102,11101280507,2441636907,2492306887,2563985168,2947485624,3871416071,5185683014,6.52,9.07,10.73,7.76,9.48,11.46,1346020424,1616383183,1906777083,2434987520,2892094354,3244847597,488908215,802331830,588737540,987527215,1269096586,1836907053,13.13,18.68,18.5,13.61,16.7,19.43,3.92,3.84,3.46,3.24,3.11,3.08
(주)신세계아이앤씨,35510,999999999,999999999,999999999,999999999,999999999,4345.01,,,,,,,0,0,0,0,0,0.18,2.5,7.21,4.01,1.65,2.78,34.69,5.94,8.49,-9.79,1.97,3.8,55.09,-19.3,-4.89,14.48,13.5,8.03,16.67,-14.67,-5.46,-43.75,-62.61,289.52,194.96,-6.61,-11.86,-29.22,-20.52,77.1,-3.6,5.34,5.31,2.61,0.86,3.1,7.83,21.51,20.44,20.36,16.38,17.65,16.17,8.69,7.7,4.16,1.54,5.98,16.32,6.65,6,3.2,1.16,4.43,10.98,78.49,79.56,79.64,83.62,82.35,83.83,6.97,7.03,7.44,7.52,7.31,6.17,22.13,20.98,21.83,35.76,50.7,31.69,1.25,1.13,1.23,1.35,1.43,1.4,7.37,6.94,6.56,6.17,6.06,6.04,27.3,29.38,30.76,33.39,36.47,59.03,384.35,365.17,294.75,267.27,248.8,204.22,1779.79,1877.39,1932.15,1925.27,1934.25,2235.7,356.56,338,268.34,259.5,234.4,190.75,34.51,33.94,47.1,47.78,48.02,40.35,53.93,53.57,42.27,40.17,38.76,38.09,65,49.1,35.77,58.36,48.4,25.65,,,,,,,,,,,,,,,,,,,56.2,37,29.99,37.38,34.56,13.32,,,,,,,,,,,,,9.79,7.7,5.87,6.97,6.55,4.05,0,0,0,0,0,1.23
(주)신세계인터내셔날,31430,8.77,4.46,2.98,3.4,3.94,9.52,22109169,15874157,19939139,27040431,25439302,55523592,28.85,34.8,37.49,36.51,37,32.33,21.05,9.81,2.22,3.22,-0.59,2.32,9.43,9.92,-0.01,0.59,4.72,10.19,0.21,7.11,4.53,1.05,7.48,16.67,-36.46,-77.14,79.89,-35.91,188.07,68.26,-20.39,-21.8,-17.62,34.14,26.69,133.99,3.77,0.8,1.38,0.88,2.35,3.39,47.04,46.49,46.44,48.95,50.69,55.23,7.17,1.59,2.83,1.8,5.11,8.17,4.39,0.87,1.49,0.93,2.64,4.4,52.96,53.51,53.56,51.05,49.31,44.77,12.31,12.05,11.42,11.54,11.55,12.45,4.55,4.47,4.71,4.84,5.16,5.83,1.17,1.09,1.07,1.06,1.12,1.3,3.83,3.05,2.66,2.64,3,3.63,73.59,90.34,91.24,98.11,89.79,82.15,103.19,88.92,97.47,108.19,117.06,159.4,1197.89,1199.67,1220.48,1216.05,1261.88,1345.23,33.28,29.5,38.5,38.75,48.59,65.16,110.82,121.44,123.52,129.75,120.79,110.84,1.12,-4.51,-0.92,2.61,5.3,14.59,0.06,0.01,0.34,0.44,0.8,1.45,319248606,438099113,449405241,487673085,454668563,437637581,755481565,887788838,914201109,966185102,950856585,982473531,803129633,911892490,1005239641,1021123056,1102544876,1262650382,14.17,4.95,7.62,12.09,8.81,15.85,264154506,348400631,322199605,329013701,303500785,246154352,271820971,339775208,330464248,364106712,368331903,403700427,5.64,2.26,3.42,5.76,3.71,5.58,1.8,1.87,1.92,2.15,2.34,2.38
(주)신세계푸드,31440,999999999,999999999,9.21,9.98,10.47,9.46,,,8729525,21376850,29817175,27363843,0,0,20.51,22.55,22.11,23.03,8.5,33.41,27.46,11.65,8.03,5.02,9.37,-12.08,6.77,29.19,27.8,-6.05,0.04,-9.6,38.21,15.31,14.08,6.58,-30.3,-78.23,76.82,111.24,34.14,-65.32,-34,-63.99,15.39,139.63,36.46,-8.89,2.68,0.64,0.82,1.51,1.78,0.58,13.12,13.08,10.86,12.24,13.46,12.47,9.15,1.67,2.59,5.35,6.83,2.3,7.01,1.26,1.71,3.04,3.72,1.21,86.88,86.92,89.14,87.76,86.54,87.53,12.84,11.15,14.37,14.36,13.8,13.26,14.88,17.05,22.5,16.64,15.72,15.34,2.62,1.95,2.07,2.01,2.09,2.1,6.24,4.5,4.42,4.33,4.77,4.59,30.88,33.98,69.33,81.85,85.15,93.9,227.16,152.3,162.54,133.3,84.46,112.82,1277.71,1474.37,1486.97,1545.94,1640.31,1644.99,160.82,108.56,107.48,70.47,57.08,60.89,66.76,90.72,123.53,124.94,116.6,129.68,27.43,11.09,10.41,7.82,-6.81,3.76,50.58,12.33,3.82,0.74,18.99,1.18,,,216106874,258971550,280302075,308053518,,,503250776,556151052,595365659,624958687,,,906403573,1069034287,1207512591,1278572164,58.53,47.64,13.87,7.2,19.33,18.87,,,92959328,138140271,263446015,186666752,,,140816394,176666857,226070795,214537069,5.49,7.09,3.07,1.7,4.41,4.47,0,0,2.04,2.03,2.33,2.18
(주)신영와코루,5800,56.2,57.98,119.51,113.57,218.69,33.1,9774936,3617415,6017522,3163425,5962662,752835,0.43,0.08,0.08,0.09,0.13,0.07,2.47,0.26,0,5.52,-0.88,1.35,7.22,-0.02,0,9.95,-4.92,0.06,-2.49,-4.96,0,0.24,1.68,-6,-21.49,-45.56,0,72.09,-52.86,-61.78,-27.96,-58.9,0,-40.48,59.93,-83.62,5.79,3.32,5.88,10.1,4.68,1.9,56.46,55.43,57.3,57.62,57.86,59.22,4.31,2.29,3.74,6.23,2.83,1.07,3.81,2.05,3.35,5.61,2.59,0.99,43.54,44.57,42.7,42.38,42.14,40.78,14.44,14.11,16.15,16.14,15.86,15.08,4.77,4.17,4.15,3.93,3.74,3.46,0.66,0.62,0.57,0.56,0.55,0.52,3.14,3.03,3.28,3.35,3.52,3.33,12.85,11.54,11.45,10.71,8.19,8.18,646.9,697.35,678.26,738.16,904.83,938.86,5888.1,5972.59,6201.94,6587.91,6681.97,6772.72,423.17,427.76,472,510.09,604.63,622.75,67.21,66.55,61.08,58.57,59.31,59.93,34.19,34.55,38.54,40.72,40.18,39.85,111.08,49.82,64.44,117.77,196.46,217.01,34912094,31897676,33863434,34226780,26839066,27410047,303347615,303645633,317693559,334494513,331622240,335722109,198678392,186677286,179119559,179458127,182408178,171440942,26.59,14.01,61.62,34,7.1,10.6,19103826,17648662,21495670,22245369,16963690,16644778,122541156,122186433,141978989,156004698,147635753,148018554,4.66,2.35,11.11,6.08,0.97,1.56,13.94,9.71,22.25,12.82,8.06,9.79
(주)신원,9270,0.57,1.83,1.88,2.05,0.16,1.39,8327385,15439544,18700922,15014964,839307,1463027,38.65,36.43,32.05,33.46,36.25,32.73,1.81,0.3,-0.05,-2.17,-0.9,-2.06,2.27,4.86,-3.96,9.36,-3.56,1.94,1.7,4.4,5.86,0.32,0.54,-2.7,0,0,202.22,0,0,0,446.75,240.28,3.23,-1.56,-91.02,587.57,-0.7,0.18,0.52,-0.78,-1.32,-0.94,28.33,28.39,29.22,29.28,27.78,26.65,-2.12,0.59,1.75,-2.64,-4.7,-3.22,-0.91,0.25,0.75,-1.14,-1.96,-1.38,71.67,71.61,70.78,70.72,72.22,73.35,7.94,8.51,9.97,10.28,10.3,10.12,4.79,4.48,4.45,4.24,4.14,3.97,1.31,1.35,1.43,1.45,1.48,1.46,45.16,52.2,58.2,63.93,72.95,87.08,137.32,137.94,130.78,133.67,146.69,121.63,135.81,119.82,144.09,147.67,146.87,129.49,583.94,584.18,602.03,581.66,545.98,491.1,66.35,55.49,61.01,63.95,61.73,52.5,103.85,98.04,100.4,86.08,95.05,79.84,14.83,9.73,17.29,20.39,19.62,14.57,3.43,4.07,6.53,5.43,4.96,6.55,255330550,250640107,244882140,251338753,252465266,229307269,428995583,428090184,431379116,432327923,421611580,412251485,589673802,607512909,639432774,640056400,639930980,621490810,-4.65,2.86,9.89,6.8,0.76,1.22,181336650,208831262,165226642,186182220,174484197,203120069,249192769,253702073,253058165,274128786,269773192,273816549,-2.07,1.23,3.92,2.66,0.3,0.45,4.25,4.55,5,4.78,5.18,4.26
(주)신진에스엠,138070,30.91,38.64,32.49,18.43,31.52,10.1,5034100,5834073,6072560,2147853,5472373,4078716,4.81,18.05,12.1,12.15,8.9,19.6,-0.49,28.87,2.45,-18.03,7.06,15.34,-25.14,22.45,6.39,-6.67,7.14,-13.07,-11.65,15.66,15.41,-26.97,13.88,-5.18,-32.13,-1.53,39.71,-88.05,385.83,-36.47,-29.98,-1.61,59.03,-56.21,31.67,-40.02,15.95,13.58,16.44,2.69,11.47,7.69,26.22,22.86,27.77,22.38,23.66,19.35,10.62,9.68,12.29,1.51,7.74,4.67,9.04,7.8,9.56,1.24,6.46,3.69,73.78,77.14,72.23,77.62,76.34,80.65,3.8,4.9,4.84,3.4,3.91,3.99,2.97,3.3,3.75,3.16,3.55,3.14,0.57,0.57,0.58,0.46,0.56,0.48,1.57,1.88,2.3,1.72,1.86,1.29,12.88,34.48,23.39,20.34,19.36,33.64,439.61,211.14,291.59,346.93,295.93,424.35,1371.79,1484.04,1656.93,1392.76,1503.24,1548.64,243.25,113.61,188.07,224.68,187.88,239.32,68.5,84.24,75.53,67.19,66.6,89.12,30.37,19.66,25.49,31.44,29.27,25.46,103.86,39.17,81.37,89.67,88.61,92.96,13143630,30608843,33189041,28472615,27821566,37183685,68575394,95397451,100315170,94590977,98551325,109810180,40807984,47793665,57406145,49757132,56975933,56235779,102.1,48.69,55.91,67.23,35.61,19.09,11427126,23722823,23255484,20549099,26612323,21024821,33658417,59389617,52919022,48060936,51218430,47318700,20.51,24.48,18.46,22.2,10.61,10.74,3.69,1.76,2.38,2.47,2.36,2.84
(주)신화다이나믹스,1770,-0.56,1.27,3.32,0.99,-3.14,5.83,,,,,,,40.83,36.29,31.85,27.09,26.34,23.54,-12.77,-8.69,-6.43,0.82,0.14,-8.06,-16.28,-8.73,-7.98,2.01,-2.1,-7.34,-17.21,-19.52,-7.74,22.63,-12.66,16.92,0,0,282.24,-70.17,0,0,0,0,78.64,-77,0,0,-2.59,0.82,3.38,0.82,-3.39,3.11,4.44,7.39,12.44,7.6,10.91,9.58,-5.14,1.34,5,1.46,-5.46,6.28,-2.29,0.65,2.68,0.83,-2.96,3.3,95.56,92.61,87.56,92.4,89.09,90.42,2.43,2.09,2.17,2.44,2.17,3.12,3.27,2.9,2.81,4.58,4.11,4.31,0.88,0.8,0.8,1,0.87,1.06,4.38,3.72,3.61,4.6,4.07,4.83,115.89,96.61,76.51,78.27,90.69,89.74,135.18,149.37,167.57,168.31,158.22,160,620.89,622.56,648.9,647.73,606.4,560.28,87.17,88.03,103.75,128.64,100.31,106.63,60.37,55.05,51.53,50.56,57.12,55.8,18.75,23.8,28.55,29.08,25.77,26.47,12.23,7.59,14.75,18.26,19.54,30.65,,,,,,,,,,,,,,,,,,,7.75,4.74,17.01,17.11,9.46,13.19,,,,,,,,,,,,,4.39,2.8,8.97,7.51,5.16,5.62,4.11,3.84,3.23,2.96,3.07,3.24
(주)신화콘텍,187270,16.54,18.02,-1.13,1.03,13.08,0.41,8636245,8689562,-1042344,876917,9883751,-436910,24.66,15.49,28.73,38.85,31.05,28.27,64.03,51.47,12.64,18.99,17.05,-0.27,68.65,25.12,-0.76,-6.24,55.13,-9.91,60.1,4.61,-29.84,-4.75,53.17,-38.84,122.9,10.28,0,0,1083.08,-92.03,136.09,3.66,0,0,1394.96,-97.15,12.63,13.31,-0.07,1.59,12.27,1.6,24.05,25.15,14.4,19.33,28.24,19.75,57.04,27.74,-0.07,1.5,14.36,0.99,22.64,15.98,-0.04,0.86,8.61,0.64,75.95,74.85,85.6,80.67,71.76,80.25,5.6,5.13,4.26,3.92,4.67,2.96,13.05,12.05,6.87,6.06,10.48,7.58,1.79,1.2,0.66,0.54,0.7,0.4,4.81,2.87,1.4,1.13,1.69,1.06,142.05,46.22,65.74,83.24,54.97,54.86,174.7,219.01,136.87,149.5,193.77,287.29,550.11,981.13,974.91,973.8,1090.39,1067.26,141.63,178.87,105.34,114.76,169.92,252.98,97.13,73.9,93.52,120.32,84.45,91.2,25.6,26.87,11.74,11.37,22.02,26.8,41.04,62.79,19.75,27.61,73.74,114.18,21044029,16860078,23966709,32797277,36854489,34714953,35664791,53378112,59724863,71157054,89470579,86006661,53771574,53470447,34122745,35206911,55347069,38696579,23.43,45.21,22.51,10.09,22.52,30.68,12417621,12036392,19254845,16647764,21331130,11751038,21873055,27063799,26681566,24263702,34967524,33590896,9.53,14.33,14.38,9.22,12.28,27.25,6.55,5.76,3.76,2.76,2.73,2.7
