구분,총자산증가율2017,유동자산증가율2017,매출액증가율2017,매출액순이익률2017,매출총이익률2017,자기자본순이익률2017,총자산순이익률2017,매출원가대매출액비율2017,매출액대판매관리비2017,매출채권회전율2017,재고자산회전율2017,총자본회전율2017,유형자산회전율2017,부채비율2017,유동비율2017,자기자본배율2017,당좌비율2017,고정비율2017,순운전자본비율2017,차입금의존도2017,현금비율2017,부채/총자산2017,부채/매출액2017,부채/현금흐름2017,유동부채/부채2017,총부채/총자산2017,유동부채/총부채2017,유동자산/총자산2017,현금흐름/매출액2017,이자보상배율2017,차입금평균금리2017,정상기업여부
(주)A.M.C,-0.04999135698198808,-0.006008581102040314,0.010415573023697394,-0.06972134456076072,0.1190570647718886,-0.13953263512426797,-0.04203602615637792,0.8809429352281114,0.11148533978120623,4.209372620797331,5.9489889735224075,0.6029147375341333,1.1829435063147737,2.319358555899299,0.7928850287643232,0.3012630422907198,0.5030246724513014,0.7557796165606289,-0.06379449208423155,0.5110347397481668,0.12407273575224466,0.5110347397481668,0.8476069797833317,-139.4425347249226,0.6027278608796529,0.6987370147132334,0.4408166005775638,0.24422038343937114,-0.006078539675540182,0.20580744806885262,4.05,1
(주)EG메탈,-0.056968158116350184,0.00992717610368595,0.475173168653422,-0.07922853815926634,0.02433140472354511,-0.22042352830287304,-0.09602917967563047,0.9756686288866635,0.03777431181837446,26.34663968794414,5.026310225946372,1.212052902990476,2.260952729208704,1.2953807274770501,2.520327086193892,0.4356575743750982,1.2292145165177275,0.5407306496462756,0.27704323581341106,0.3739688816338383,0.533034560987071,0.3739688816338383,0.308541715226416,-30.19190606962556,0.4872760348583878,0.5643424256249018,0.32289983089820296,0.4592693096163735,-0.010219351985094544,-1.2636485991229511,3.17,0
(주)KAL호텔네트워크,-0.03852571660254662,-0.19729841654933097,-0.06979601355592326,-0.32586686350477523,1.0,-0.12768876605249418,-0.06452084486590763,0.0,1.2572950094578634,14.356693167696049,0.0,0.19799756309055383,0.21297150927332814,0.9790312196849832,1.871386419673124,0.5052977396569283,1.7954317040593848,0.9309889712093165,0.032134075925578494,0.45389606040853847,1.209006538656453,0.45389606040853847,2.2924325598944364,154.06009987202742,0.08124536888888889,0.49470226236038756,0.07454373199983563,0.06901102879068359,0.014880118614739856,-3.4008718308461234,3.38,0
(주)KH엘텍,0.10100527508787467,0.3725335136361629,0.5180513715151285,0.016534085218072994,0.0850566654205578,0.2538339440880395,0.03492204422580582,0.9149433099333016,0.049906389028878964,8.628991654989237,13.828741718647269,2.1121243640158216,4.046903594370324,6.268587406660474,0.5840175500926498,0.1375783067598457,0.4100707756368832,0.5308188827105119,-0.33418706439453194,0.32000812902029535,0.1009574833635751,0.32000812902029535,0.15151007889131013,7.607246627892588,2.5104617940285805,0.8624216411844403,0.9315259999513499,0.46918111728948814,0.01991654619633155,5.4739027807096665,3.92,1
(주)TS푸드앤시스템,-0.16691211947204138,-0.4780357109064386,-0.13606916442000855,-0.09694429395326672,0.20244229640912184,-5.742265939959288,-0.17881376511610922,0.7975577482801662,0.27703850522911594,14.193054407689473,16.299978171382957,1.8445001538956876,3.4917909843375416,31.113109056400997,0.28251191108154605,0.031139930993404494,0.16192605988250816,0.7885564749364345,-0.536997364072685,0.5028193327274223,0.025945562557683117,0.5028193327274223,0.27260465750866963,-4.071057981209064,1.488488524590164,0.9688600690065955,0.7724962878016562,0.21144344263416662,-0.06696162490609105,-6.684228651516668,3.33,0
(주)강원심층수,-0.035244535700758806,-0.036619869772457736,0.23773663921954177,-0.11183589302042862,0.35142402298106096,-2.1908685753243637,-0.04206633225600334,0.6485758696067112,0.3797145777834778,11.896134811992319,14.494680493542656,0.37614339296525534,0.40082361934769684,51.081283483223146,0.07512977588393625,0.019200755686486267,0.05052676650676305,0.9486039859795592,-0.6327004499413256,0.8609751402013777,0.0024083876311674734,0.8609751402013777,2.2889545750466143,-225.03352798927105,0.7945600656968559,0.9807992443135137,0.6974887755348781,0.051396014020440785,-0.010171615738770024,-0.3440365115006263,3.41,0
(주)건영,-0.08024667149813701,-0.08167123927683753,0.3393841539508879,0.01900756976262803,0.05454933406940998,0.022478652335873282,0.014795889501662302,0.94545066593059,0.10210257460753877,1.5810748923586397,1.728728194142975,0.7784208968551795,120.5890900588784,0.5192498114660717,3.0479970262203007,0.6582195978915428,1.599437503605969,0.10421283261401933,0.6018934530286506,0.13843999369442414,0.1094108883457539,0.13843999369442414,0.17784722154007135,-1.107787027185037,2.122896039753049,0.34178040210845717,0.8598904809763459,0.8957871673859806,-0.1605427913269515,-29.472577047177705,0.82,0
(주)고산,0.12951264846601016,0.01597527411798383,0.08638398365097034,-0.0226600228084871,0.07713941184175903,-0.03789010020015661,-0.016550581728451183,0.9228606138174682,0.08460786350112201,3.3498231542028822,16.24575991746587,0.7303868080067563,3.154577246410902,1.2893515661157608,1.1805311942790453,0.4368049079052785,1.052888111890531,0.6162669679895534,0.05868187379450995,0.19115984304427522,0.04915569078330221,0.19115984304427522,0.2617241178902932,-6.281484400980404,1.7004154901960784,0.5631950920947215,0.5771555235095472,0.3837330320104466,-0.0416659663835898,-1.1284617084546522,2.82,0
(주)국제금속,0.01324007067195654,0.7804585292272295,-0.13204713042799734,0.002798192974175713,0.11667378389109898,0.0037912386931689404,0.0012068656878737442,0.8833261090829697,0.047612733089100155,5.622704979690086,4.8393604109131205,0.43130180763507225,0.5462268929257253,2.141392394582321,6.526888592319693,0.3183301779569502,3.612606393249614,0.823685116486427,0.14930126423392948,0.6462466869471186,0.7628752706288843,0.6462466869471186,1.4983630383805693,369.0912446284042,0.041800785714285714,0.6816698220430498,0.03962859790195844,0.17631488351357308,0.004059600600629526,1.2332817932139055,3.49,1
(주)글로비텍,-0.06176987841775189,-0.14912733644627985,0.20089057698089688,0.03887250811813091,0.1226924895536989,0.17531545323915665,0.05172882529900472,0.8773074839552026,0.0804472937210348,10.142758916437069,20.632118306272048,1.330730323389588,14.447229009176166,2.3891249651580577,0.7387123773189361,0.29506141268926717,0.628095897543157,0.6221202578678663,-0.1336586505283505,0.4031455671945236,0.103068943286314,0.4031455671945236,0.3029506129894492,-21.32484760560386,1.2688677100439492,0.7049385873107328,0.7256495840466753,0.3778797421321337,-0.014206460866329387,4.40009050198249,3.12,1
