,구분,이자보상배율2002,영업이익2002,차입금의존도2002,총자본증가율2002,유동자산증가율2002,매출액증가율2002,순이익증가율2002,영업이익증가율2002,매출액순이익률2002,매출액총이익률2002,자기자본순이익률2002,총자본순이익률2002,매출원가 대 매출액비율2002,매출채권회전률2002,재고자산회전률2002,총자본회전률2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,비유동비율2002,순운전자본비율2002,현금비율2002,부채2002,자산2002,매출액2002,부채/현금흐름2002,유동부채2002,유동자산2002,매출/현금흐름2002,차입금평균이자율2002,정상기업여부
155,주식회사고려자동차,0.42,77226.0,86.17,0.0,0.0,0.0,0.0,0.0,4.09,78.66,24.23,1.19,21.34,66.17,10.93,0.29,0.31,1934.53,5.68,91.46,2.61,1934.26,-81.87,0.19,8846650.0,9303953.0,1355129.0,2.21,8075856.0,458502.0,14.4,4.58,0
156,주식회사광주매일,0.82,1122236.0,147.78,-8.41,-69.62,-52.84,0.0,0.0,-1.18,92.77,0.0,-0.16,7.23,19.75,0.0,0.14,0.15,0.0,3.66,0.0,3.66,0.0,-50.54,1.71,19150042.0,11248244.0,1637566.0,-10.5,5900980.0,215997.0,-122.78,8.49,0
157,주식회사교하,0.65,221873.0,79.69,0.0,0.0,0.0,0.0,0.0,1.69,24.86,27.07,2.28,75.14,9.06,4.23,1.35,2.82,1088.17,56.0,37.24,20.19,595.92,-39.16,1.22,12157837.0,13275114.0,8941167.0,-6.37,11816050.0,6616997.0,-8.66,6.48,0
158,주식회사남북,-1.42,-1740838.0,106.07,-17.53,-28.65,-28.8,0.0,0.0,-52.27,-32.6,0.0,-18.57,132.6,467.47,20.72,0.36,0.49,0.0,12.89,0.0,10.6,0.0,-86.59,0.42,14181041.0,11363379.0,4465270.0,-9.76,11296270.0,1456206.0,-30.99,10.47,0
159,주식회사남선정공,1.17,862322.0,76.93,7.4,26.02,5.25,0.0,278.78,17.29,27.7,0.0,14.95,72.3,11.46,2.41,0.86,1.57,0.0,63.74,0.0,11.26,0.0,-26.99,0.26,13776423.0,8537297.0,7128726.0,2.82,6355735.0,4051300.0,5.45,10.74,0
160,주식회사남전물산,0.99,413617.0,78.04,7.95,14.0,11.73,0.0,47.43,0.95,22.48,5.9,0.33,77.52,19.92,10.98,0.35,0.38,1706.09,23.23,33.61,14.01,1661.04,-26.54,4.74,8600585.0,9104698.0,3028520.0,-6.98,3147445.0,731178.0,-19.81,6.34,0
161,주식회사대도공영,0.36,131347.0,81.35,1.8,-46.99,63.8,0.0,0.0,-6.08,41.9,0.0,-2.34,58.1,50.48,36.25,0.39,0.4,0.0,2.24,0.0,1.77,0.0,-60.81,0.18,12409351.0,9817547.0,3750976.0,1.85,6106510.0,136880.0,6.12,4.63,0
162,주식회사대아고속해운,1.58,5160960.0,88.75,19.92,-3.09,6.96,86.67,1.1,31.26,42.36,0.0,14.02,57.64,21.72,550.98,0.45,0.67,0.0,80.58,0.0,80.33,0.0,-5.96,0.85,65591424.0,58730534.0,24143856.0,10.42,18032597.0,14530655.0,28.31,6.25,0
163,주식회사동방관광호텔,1.79,1025154.0,68.45,-3.96,-20.1,4.11,-39.44,17.18,6.59,27.13,12.85,2.39,72.87,28.64,91.37,0.36,0.39,394.64,7.92,243.44,7.37,465.29,-68.98,1.7,14410910.0,18062584.0,6685881.0,7.55,13530638.0,1071627.0,16.27,4.46,1
164,주식회사동양SRP,0.66,320994.0,60.42,15.08,188.88,-12.5,0.0,-59.48,-3.18,3.15,0.0,-14.28,96.85,103.53,16.28,4.48,7.64,0.0,53.78,0.0,12.62,0.0,-46.49,5.36,8607966.0,8539769.0,35782597.0,-0.56,8589908.0,4619555.0,-0.13,9.22,1
165,주식회사동양레저,-0.19,-1201664.0,37.57,-29.49,-20.26,25.19,0.0,0.0,-74.07,60.9,0.0,-5.38,39.1,492.31,0.0,0.07,0.09,0.0,2.88,0.0,2.88,0.0,-39.8,1.49,194363869.0,113113831.0,9935226.0,-4.3,46347882.0,1333501.0,-84.15,7.28,1
166,주식회사동영,-0.67,-1296808.0,154.45,-47.92,-63.33,-75.67,0.0,0.0,-15.75,-3.0,0.0,-8.55,103.0,4.72,6.39,0.54,0.74,0.0,23.21,0.0,14.58,0.0,-57.62,0.3,24168067.0,9081977.0,7198626.0,2.52,6814560.0,1581964.0,8.47,13.26,0
167,주식회사동원,-0.31,-555894.0,87.62,-16.02,-43.72,-35.33,0.0,0.0,-66.9,4.37,0.0,-26.67,95.63,7.69,18.82,0.4,0.46,0.0,37.72,0.0,36.45,0.0,-15.9,15.03,20283987.0,7710660.0,3367407.0,-0.8,1968944.0,742674.0,-4.85,26.17,0
168,주식회사동화면세점,1.02,4552085.0,29.74,9.03,23.73,-14.7,-91.35,-38.4,2.63,23.19,356.48,3.56,76.81,142.69,3.52,1.36,5.86,5883.25,66.59,13.21,27.21,2318.97,-30.72,6.42,69927951.0,71116544.0,92510635.0,1.96,65402714.0,43553389.0,1.48,11.92,1
