,구분,총자산증가율2013,유동자산증가율2013,매출액증가율2013,매출액순이익률2013,매출총이익률2013,자기자본순이익률2013,총자산순이익률2013,매출원가대매출액비율2013,매출액대판매관리비2013,매출채권회전율2013,재고자산회전율2013,총자본회전율2013,유형자산회전율2013,부채비율2013,유동비율2013,자기자본배율2013,당좌비율2013,고정비율2013,순운전자본비율2013,차입금의존도2013,현금비율2013,부채/총자산2013,부채/매출액2013,부채/현금흐름2013,유동부채/부채2013,총부채/총자산2013,유동부채/총부채2013,유동자산/총자산2013,현금흐름/매출액2013,이자보상배율2013,차입금평균금리2013,정상기업여부
0,(주)G1네트웍스,0.17097049444075688,0.6343737805136545,-0.041371545252324574,-0.018864403782287743,0.11759633255489403,-0.09515963363868755,-0.02346971398833317,0.882403667445106,0.1408761355816057,11.872070147669433,63.2714735956822,1.244126994905053,2.73463812945336,3.0545715080290945,1.1716142062996078,0.24663518648511754,1.1165782760001808,0.6306292991700303,0.054104201605362494,0.24802289952528167,0.7919516440975658,0.24802289952528167,0.19935496982300413,15.16937269927128,1.2711183148612872,0.7533648135148825,0.4184778004439657,0.3693706516969489,0.013141938943367178,-26.81779718848096,0.3,0
1,(주)KH엘텍,0.4154246539233182,1.5250450116909189,2.7562209775161293,0.16883524539688335,0.2137589555051724,0.6748094225643081,0.264763904753121,0.7862410444948276,0.050388493823842834,11.179281568865456,14.96590861793052,1.5681791093485062,2.3792765494822503,1.5487213719465796,0.7295545064591928,0.39235359777136114,0.5521005302136187,0.6612960230242232,-0.12555739620062478,0.3145719968121762,0.22863545763461257,0.3145719968121762,0.20059698215394786,3.0725819398070566,1.4758509272317764,0.6076464022286389,0.7640321270292227,0.3387039769757768,0.06528612941288862,13.747664233345072,5.56,1
2,(주)SIMPAC산기,0.1619031071426951,1.168193612445143,2.155181881604417,-0.31468351811743894,0.04197053909993966,-0.178584540388831,-0.10185575795550263,0.9580294609000604,0.13092065461019517,3.7189437156331735,1.1071601298226368,0.3236768120708831,0.9382757401065823,0.7533082466172273,1.1806131639236246,0.5703503659036371,0.4659772065234542,0.5372965137530579,0.07078554022878723,0.15553135502069415,0.1342678329863492,0.15553135502069415,0.48051435635937306,9.83813441961791,2.519864537706937,0.42964963409636286,0.9121803323362184,0.4627034862469422,0.04884201982453042,-3.5503516762841514,4.41,0
3,(주)가야,0.004088043194525937,0.09157970391844306,-0.11245335008317825,0.09319705032209626,0.08568051701938753,0.46304891587283525,0.10864631337861716,0.9143193962417073,0.0543274386729919,3.5611453635633534,5.777743002723051,1.1657698715048068,2.7183315845938014,3.2619850439063742,0.7427158923451918,0.2346324754347425,0.4935025623120748,0.4502010470727718,-0.1904558128717652,0.4459220534962675,0.06358025399645828,0.4459220534962675,0.3825129336381454,92.66710794511337,1.660054399894783,0.7653676256828598,0.967188632072256,0.5497990540448305,0.004127817756702922,1.4970532323328543,3.91,1
4,(주)강원심층수,-0.02641015449975877,0.24424380480959015,0.39391606062402995,-0.928978275648086,0.12608247143392914,-0.34282443243552285,-0.13795075244222085,0.8739175285660709,0.8770420814606051,8.416376610745548,11.961728767012174,0.14849728573682935,0.1563718822542731,1.4851218740478498,0.05702905668747425,0.4023947519206237,0.03879891631547261,0.9660607337579424,-0.5611830838969014,0.17600289197894792,0.006443011502265597,0.17600289197894792,1.185226323199366,144.4341277210358,3.3813214285714284,0.5976052480793763,0.9958452541231908,0.03393926624205759,0.008205999107693897,-4.214063025175152,5.16,0
5,(주)강원엘피씨,-0.10028568519337783,-0.0773888359352347,0.07379925621068695,0.018739827483770025,0.05750646412091711,0.18922298081568542,0.05499339082981174,0.9424935358790829,0.03676059093983436,9.533674230193265,49.019812231592,2.9345729504415017,5.053421703369034,2.4408313064614346,1.3278645535982672,0.2906274417237863,1.1456569083952421,0.5888135171833553,0.1015265241240164,0.26967887557753967,0.41790521880663245,0.26967887557753967,0.09189714487655416,4.328886674249077,1.1482544119537204,0.7093725582762137,0.4365265544597705,0.4111864828166447,0.021228817428558665,2.07051215285997,5.69,1
6,(주)계림물산,0.03347689095473813,0.07122941477269226,0.04466383302349482,-0.004453786470551696,0.04308542892642885,-0.21749128735663487,-0.022872680728689112,0.9569145710735711,0.043368649802741834,32.83653889656094,10.90795736045886,5.135558446711039,20.86367246732616,8.50877992555706,0.8875226711383826,0.10516596322860172,0.34151968241724207,0.2676783932550812,-0.09280842154563194,0.6998549882891356,0.14833269256251905,0.6998549882891356,0.136276316500174,-13.635359088820325,1.1790014247203728,0.8948340367713983,0.9221039817256586,0.7323216067449188,-0.009994332794059483,-0.04031952999855226,5.09,0
7,(주)골든블루,0.24649473002458705,0.3263340613496236,0.9948319065602662,0.05924987430851651,0.4389255028200336,0.24447828817446252,0.07972718847580176,0.5610744746384522,0.364969544610919,2.7122715781429116,2.9966273564802575,1.3456094110961156,7.538580202595153,2.0664354962564793,1.2503649243462234,0.32611152945781235,0.8605189005725068,0.19192731877025765,0.16180320174450674,0.44466820078207003,0.06777635770841638,0.44466820078207003,0.33045859899259267,-28.20429451747762,1.4533745566166438,0.673888440210114,0.9590154847464951,0.8080726508976687,-0.0117166057384564,4.565590515022056,5.41,1
8,(주)공간세라믹,-0.06254328674579396,-0.0747433627521208,0.022276776089984223,0.04020018549976682,0.2363820556089578,0.03986534422189921,0.025046437443470453,0.7636179443910421,0.18597710669905348,9.381172019549988,1.6197287302431669,0.6230428325664252,1.3870686880531882,0.5916572690976462,1.4135971432976522,0.6282759607958359,0.4442023479141888,0.5716717496333974,0.1253223675396222,0.25798679813472725,0.2211405885203295,0.25798679813472725,0.41407554127865226,21.125880383919117,1.1745015055721693,0.3717240392041641,0.8151366359724688,0.4283282503666026,0.019600392208688443,2.3456603961691602,4.32,1
9,(주)광산,-0.15932791815568037,-0.24021367626091822,-0.1211742307379355,-0.22693369325624713,0.10691733696897458,-1.5199852929570632,-0.20190052371449194,0.8930826630310255,0.19988373346029756,10.262194309446949,5.8421337752759115,0.8896894983615833,1.2705710069866905,6.52838707395568,0.34850114664955845,0.1328305771444035,0.17683341957129278,0.7238950581008721,-0.516159142605507,0.6603963960881208,0.06934339557180524,0.6603963960881208,0.7422773870033089,-59.243455629118245,1.1996796003092032,0.8671694228555965,0.9136208722578137,0.276104941899128,-0.012529272290431326,-2.3777205190176804,5.13,0
