,구분,총자본증가율2016,유동자산증가율2016,매출액증가율2016,순이익증가율2016,영업이익증가율2016,매출액순이익률2016,매출액총이익률2016,자기자본순이익률2016,총자본순이익률2016,매출원가 대 매출액비율2016,매출채권회전률2016,재고자산회전률2016,총자본회전률2016,유형자산회전율2016,부채비율2016,유동비율2016,자기자본배율2016,당좌비율2016,비유동비율2016,순운전자본비율2016,현금비율2016,부채/자산2016,부채/매출액2016,부채/현금흐름2016,유동부채/부채2016,유동자산/자산2016,매출/현금흐름2016,차입금평균이자율2016,정상기업여부
0,(주)STX,-40.65,-33.44,7.59,0.0,0.0,-31.12,-1.95,0.0,-54.14,101.95,8.3,10.35,1.74,34.68,0.0,48.26,0.0,32.98,0.0,-75.37,2.12,1.4671355034343212,0.6036120042810146,3.17,0.9387829202401992,0.687213247252755,2.07,4.63,0
1,(주)시너지이노베이션,195.93,-28.42,-47.91,0.0,0.0,172.57,31.71,0.0,43.25,68.29,11.05,9.16,0.25,9.85,274.59,1136.71,53.73,939.6,327.51,11.46,318.44,0.7670712406396687,2.619159374094681,-8.9,0.2532427519332511,0.47828721212831743,-38.9,5.92,1
2,KG스틸(주),-2.63,8.07,-3.81,0.0,23.71,-5.76,13.0,-107.98,-3.64,87.0,5.19,10.03,0.63,1.57,1660.18,82.93,75.75,58.28,1388.11,-4.35,8.37,0.9552774880688422,1.1584679800695534,5.22,0.37233300978411116,0.29018466703173157,7.69,8.84,1
3,사조동아원(주),-12.31,-19.45,-18.6,0.0,403.96,2.5,14.96,13.18,2.16,85.04,5.06,8.12,0.86,2.33,423.22,49.43,230.8,35.85,351.18,-33.65,0.56,0.8462261302531406,0.9542350819791029,9.06,0.711399172142422,0.32018431722350754,7.93,4.55,1
4,삼보산업(주),0.05,-9.73,-8.36,0.0,-81.35,-1.4,3.53,-27.84,-2.1,96.47,5.45,12.69,1.51,4.01,1448.01,49.75,1853.79,35.43,907.55,-41.78,0.14,0.8636369800432998,0.7021513646570914,13.22,0.8020706151409762,0.41285935203742313,8.21,3.68,0
5,삼부토건(주),-70.84,-73.13,-12.86,0.0,0.0,108.78,-0.25,0.0,49.92,100.25,6.42,10.1,0.46,57.48,141.0,166.71,325.82,146.39,60.83,29.91,52.83,0.7495664181820046,0.8174133844194591,-0.84,0.7367783818117669,0.751006049198415,-0.49,0.75,1
6,에이치엠엠(주),-24.16,15.86,-21.07,0.0,0.0,-11.27,-16.56,-73.67,-9.52,116.56,13.44,42.21,0.84,1.61,330.19,144.81,114.85,130.65,317.45,8.11,56.29,0.7836969526372537,0.7517816441684606,-11.36,0.235087803791137,0.2933065611543899,-8.9,5.55,1
7,(주)HM금속,-17.04,-23.62,-11.64,0.0,0.0,-20.43,-10.34,0.0,-17.99,110.34,8.55,42.15,0.88,1.1,0.0,8.27,0.0,6.89,0.0,-149.27,0.03,1.6385656861317164,1.6873613343367768,-1.93,0.9930620302828194,0.13452086185831663,-3.26,12.9,1
8,(주)JNC하이텍,-13.5,-5.12,-52.74,83.85,26.06,9.8,22.23,28.69,8.14,77.77,7.52,5.04,0.83,1.34,185.78,206.47,937.54,132.26,176.94,19.64,30.38,0.6500834504177124,0.7256551153903251,16.34,0.2837539889481616,0.3808685026567222,11.86,1.73,1
9,(주)NKG,18.08,68.27,3.92,2.15,-28.25,2.23,16.38,10.31,2.41,83.62,17.58,5.34,1.08,1.74,310.0,99.47,2466.95,45.92,243.45,-0.22,8.22,0.7560992469066002,0.7578764794018351,-1.82,0.5401107125239885,0.4062264776449418,-1.38,2.21,1
