,구분,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채/자산2015,부채/매출액2015,부채/현금흐름2015,유동부채/부채2015,유동자산/자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
555,(주)삼광목재,5.49,12.51,4.43,75.25,-30.35,1.65,13.56,19.62,2.14,86.44,6.53,3.69,1.3,4.61,781.5,100.4,572.66,39.96,288.67,0.27,0.9,0.8865572220789321,0.702285646973507,-11.06,0.7555792953627011,0.6725294771522273,-7.77,2.93,0
556,(주)삼광오토모티브,12.43,249.73,-14.12,0.0,0.0,0.61,3.0,0.0,0.79,97.0,98.36,10.13,1.29,1.63,0.0,28.05,0.0,11.65,0.0,-74.0,5.69,1.3327009868641173,1.0910816405888988,11.54,0.7717383238020142,0.28847503122490986,12.6,4.11,1
557,(주)삼남,88.96,-81.37,-27.06,0.0,-26.84,3.11,77.57,0.0,0.42,22.43,182.73,42.51,0.14,0.14,614.07,0.19,6295.86,0.15,712.92,-85.29,0.02,0.8599585065413353,8.295163865045879,4.48,0.9936124960849828,0.0016134553204056902,37.19,5.09,0
558,(주)삼두주택,5.77,84.81,19.7,48.74,26.16,43.29,0.0,23.22,4.97,0.0,0.0,0.0,0.11,0.13,329.95,57.15,1135.12,57.15,400.77,-5.09,48.54,0.7674126017222197,6.865552375095131,5.29,0.1547151163139974,0.06785605517463332,36.32,3.37,1
559,(주)삼성냉장,-1.72,1.14,12.43,-17.3,-16.74,16.23,56.1,16.13,3.88,43.9,3.57,0.0,0.24,0.29,281.01,194.57,203.22,194.57,322.87,7.42,8.24,0.7375364874995343,3.055468759196104,10.4,0.10632947301233744,0.15258627865313623,31.79,2.81,1
560,(주)삼연,-4.43,-41.25,161.44,0.0,0.0,-51.65,15.56,-134.37,-3.74,84.44,0.0,22.35,0.07,0.08,10591.04,72.18,24.16,64.09,10395.31,-1.07,56.7,0.9906464507330294,13.359312113907121,-1.13,0.038683212475158234,0.027662019904608013,-15.14,4.18,0
561,(주)삼영피엠텍,-6.22,12.26,-30.58,0.0,0.0,-16.34,3.29,0.0,-8.93,96.71,6.31,17.5,0.55,0.64,0.0,7.84,0.0,6.87,0.0,-178.51,0.78,1.9593948112409822,3.4711381390549465,-7.56,0.9885922674486778,0.15193833940631515,-26.23,1.13,0
562,(주)삼우테크,-23.64,-81.66,-37.25,0.0,0.0,-20.87,-11.7,0.0,-30.22,111.7,75.66,20.31,1.45,1.66,0.0,18.12,0.0,13.57,0.0,-15.8,0.17,1.54512300255815,0.92378209873422,-1.26,0.12489216714601156,0.03496793984499472,-1.16,4.16,0
563,(주)삼원,7.01,-46.51,-29.1,0.0,-82.9,-2.9,6.67,-20.13,-1.25,93.33,42.31,66.53,0.43,0.44,1745.76,2.94,153.5,2.39,1818.42,-48.93,0.5,0.9458216708610652,2.25819889321917,4.47,0.5330231461608408,0.014810303828072616,10.08,3.46,0
564,(주)삼원알텍,-2.54,1.93,19.27,0.0,0.0,-7.81,37.11,-42.82,-5.01,62.89,5.08,221.11,0.64,0.84,972.88,41.01,198.44,40.15,849.97,-29.89,5.8,0.9067929959916865,1.3939545570796197,2.66,0.5587160648021864,0.2077733925693451,3.71,3.39,0
565,(주)삼일,-19.61,-18.92,-4.46,0.0,29.17,-0.15,24.7,-3.74,-0.56,75.3,25.16,18.99,3.82,11.16,502.48,96.97,317.99,63.33,244.5,-1.86,3.22,0.8340196418737815,0.1944731540202553,-5.75,0.7347321567711987,0.5941854729474033,-1.12,5.25,0
566,(주)삼정이디엠,3.67,24.15,19.47,-71.34,86.72,28.09,95.64,30.46,3.23,4.36,4521.34,0.0,0.12,0.15,732.51,2442.53,636.11,2442.53,629.94,23.34,1426.15,0.8798818145417591,7.783396071216252,4.68,0.011322143975971987,0.2433285678996807,36.39,1.79,1
567,(주)삼주,-3.2,93.31,-4.36,2249.33,0.0,13.1,0.0,78.9,13.74,0.0,54.63,1642.72,1.05,2.09,305.15,45.5,1413.21,45.26,304.89,-29.64,4.58,0.7531763191465197,0.7064421762648307,5.89,0.7220742722290329,0.2474652621905444,4.16,5.09,1
568,(주)삼진주작소,-4.03,-0.29,3.34,111.14,2.1,1.38,19.1,4.99,0.84,80.9,3.27,14.17,0.6,0.86,471.41,73.37,874.24,63.82,401.79,-10.77,10.22,0.8249940696686321,1.3362672494293422,9.9,0.4903863185597033,0.29684456326237285,13.23,1.71,0
569,(주)삼한리얼에스테이트,14.39,12.0,17.57,0.0,228.74,1.49,48.63,1.13,0.23,51.37,6.14,10.92,0.15,0.27,434.53,33.01,1747.48,31.28,403.9,-49.59,0.07,0.8129186099670297,5.723546021043535,2.51,0.9106551245904718,0.24437420481324612,14.35,4.38,0
