,구분,총자본증가율2017,유동자산증가율2017,매출액증가율2017,순이익증가율2017,영업이익증가율2017,매출액순이익률2017,매출액총이익률2017,자기자본순이익률2017,총자본순이익률2017,매출원가 대 매출액비율2017,매출채권회전률2017,재고자산회전률2017,총자본회전률2017,유형자산회전율2017,부채비율2017,유동비율2017,자기자본배율2017,당좌비율2017,비유동비율2017,순운전자본비율2017,현금비율2017,부채/자산2017,부채/매출액2017,부채/현금흐름2017,유동부채/부채2017,유동자산/자산2017,매출/현금흐름2017,차입금평균이자율2017,정상기업여부
0,(주)STX,-17.09,-20.71,8.87,0.0,0.0,21.07,3.36,0.0,58.56,96.64,10.46,13.13,2.78,52.81,1063.93,77.07,93.47,54.31,381.35,-20.0,16.37,0.9321798381622266,0.32429133234065716,13.19,0.9470052069978222,0.7581739548906686,3.93,3.77,1
1,(주)디엔에이링크,0.59,16.74,36.29,0.0,0.0,9.6,44.51,11.12,5.46,55.49,4.35,6.09,0.57,3.94,6.28,1144.75,437.98,997.35,41.89,55.3,378.72,0.05624498202324663,0.09736895790490105,-191.17,0.8900642166827196,0.6034271080808066,-19.92,11.49,1
2,STX중공업(주),-12.06,-21.55,-39.55,0.0,0.0,298.82,14.07,0.0,92.69,85.93,4.31,2.81,0.31,0.61,408.64,70.95,237.32,48.92,355.73,-12.31,10.16,0.8044458385208197,2.371928551576879,-0.04,0.5281301350655301,0.3006067182151078,-0.09,5.01,1
3,삼보산업(주),6.61,-4.8,1.96,0.0,0.0,-3.31,1.97,-49.19,-4.92,98.03,6.05,11.19,1.49,3.82,649.75,49.23,1384.87,29.79,472.73,-38.1,0.14,0.8439217753232447,0.6872778808062017,6.78,0.8367486864955574,0.44889620680726927,4.08,4.24,0
5,(주)가담종합건설,-8.89,-9.22,141.07,2394.77,2500.99,2.63,8.38,59.94,3.0,91.62,179.85,1.4,1.14,813.06,1365.11,596.82,270.98,139.28,16.62,82.3,113.66,0.9317457019070368,0.7791455855664282,8.86,0.17778857768597195,0.9886550042554628,6.9,2.78,0
6,(주)가야포징,3.89,-1.82,-2.31,0.0,0.0,-55.61,-40.47,0.0,-17.36,140.47,9.83,4.55,0.31,0.36,22493.89,12.58,0.8,5.3,19977.76,-80.5,0.14,0.9955740584661396,3.251032732381363,-4.47,0.9248512168492354,0.11578925957505828,-14.54,4.62,0
7,(주)가야호텔,-1.64,40.25,47.67,0.0,0.0,39.75,0.0,53.68,10.15,0.0,84.45,39.48,0.26,0.27,383.22,43.12,129.48,35.83,462.29,-5.71,32.29,0.7930562316472191,3.0790043089641976,-2.98,0.12669249651268927,0.04332446118411886,-9.16,1.25,0
9,(주)가이아로지스,-4.19,-57.58,0.2,-57.74,-21.21,4.38,0.0,2.61,0.43,0.0,22.0,0.0,0.1,0.1,491.53,5.48,414.45,5.48,582.42,-26.57,0.0,0.8309471503551028,8.339174282032431,3.67,0.3382749097243787,0.015406508777409955,30.56,3.84,0
10,(주)강남선박,23.2,-19.8,-15.84,0.0,0.0,-19.14,-3.45,-117.07,-14.16,103.45,4.68,0.0,0.74,1.1,342.42,41.46,392.15,41.46,360.8,-26.05,4.29,0.7739689906550956,1.1549131870668123,-1.23,0.5748805810130999,0.18447778549071397,-1.43,5.1,1
11,(주)강원심층수,-3.52,-3.66,23.77,0.0,0.0,-11.18,35.14,-104.55,-4.13,64.86,11.6,24.94,0.37,0.39,5108.13,7.51,1.7,5.05,4940.45,-63.27,0.24,0.9807992443135137,2.6075142157398226,2.23,0.6974887755348781,0.051396014020440785,5.82,3.41,0
12,(주)거금솔라파크,-3.09,15.53,13.0,506.02,51.88,17.68,52.73,15.26,2.57,47.27,13.66,0.0,0.15,0.17,443.22,111.6,225.75,111.6,457.35,1.64,88.84,0.8159118750461668,5.527020182949025,8.47,0.17361383503056585,0.15808158514817597,46.84,5.35,0
13,(주)거제씨월드,-0.72,57.28,20.16,0.0,0.0,45.67,0.0,0.0,12.85,0.0,41.66,49.58,0.28,1.24,0.0,22.83,0.0,21.9,0.0,-56.27,18.1,1.556881203250704,5.5151020457108535,3.51,0.4683761128930094,0.16646682704613652,19.33,5.61,0
15,(주)건영산업,29.63,-23.04,0.9,-42.57,-18.33,17.05,0.0,11.11,1.61,0.0,1.69,0.0,0.09,0.11,635.91,13.09,3328.35,13.09,652.89,-74.92,4.85,0.8641129739496167,10.303620130153773,1.43,0.9976156627116471,0.11280694688727072,14.69,2.67,0
16,(주)건우해양,0.3,23.7,-6.17,-20.08,-12.2,12.5,78.17,12.88,1.1,21.83,5.3,0.0,0.09,0.1,1156.08,16.5,93.95,16.5,1142.38,-45.8,0.02,0.9203870568952862,10.460716840946615,2.28,0.5959373913647371,0.09052016399509424,23.81,4.13,0
18,(주)검단아스콘,7.25,61.39,167.8,2508.87,1981.66,12.71,26.49,118.02,12.42,73.51,56.16,26.99,0.98,1.23,518.65,109.23,1806.58,97.1,468.39,2.05,85.97,0.838357223856917,0.8881966652435015,18.29,0.2652210598844331,0.24288290377633295,16.25,0.08,1
19,(주)경기라이프,-7.92,-20.48,-11.23,0.0,-37.49,-24.38,22.17,0.0,-3.87,77.83,735.83,0.0,0.16,0.0,0.0,43.53,0.0,43.53,0.0,-8.72,0.0,1.2741209371840105,7.697832087247305,2.27,0.12126704049465674,0.06726310159617546,17.48,6.39,0
20,(주)경남금속,2.1,3.91,38.91,0.0,409.17,1.32,3.76,9.64,2.14,96.24,8.84,5.89,1.62,3.33,317.01,111.96,235.51,48.7,207.1,5.38,4.5,0.7601958123502266,0.474274077540247,-2.09,0.5913960192215637,0.5033556199709563,-0.99,4.16,0
