,Ç×¸ñ
637,66198
638,49379
639,49015
640,66794
641,86236
642,43625
643,85491
644,64806
645,76710
646,53186
647,56815
648,58268
649,42819
650,52743
651,67555
652,73655
653,56383
654,41783
655,45918
656,80132
657,81536
658,91141
659,13189
660,89585
661,85843
662,11431
663,69866
664,86560
665,79247
666,76681
667,17528
668,66227
669,89812
670,71033
671,64670
672,62444
673,64379
674,87004
675,64470
676,43472
677,13193
678,82747
679,85680
680,70107
681,87762
682,49227
683,66876
684,58058
685,80248
686,76260
687,63206
688,50564
689,51269
690,13200
691,83441
692,85640
693,83457
694,13198
695,42539
696,10188
697,61675
698,13199
699,78744
700,86220
701,45239
702,60932
703,46251
704,83233
705,20665
706,86498
707,85349
708,67796
709,60977
710,82322
711,90714
712,88115
713,61874
714,86845
715,56997
716,68934
717,66860
718,69899
719,86547
720,81105
721,85606
722,77004
723,52205
724,42153
725,47098
726,41348
727,47102
728,22140
729,43156
730,67417
731,88124
732,66068
733,78194
734,13221
735,38947
736,78442
737,60775
738,76409
739,13226
740,63800
741,83199
742,58505
743,50535
744,44125
745,69961
746,52729
747,50010
748,22170
749,87486
750,67517
751,82974
752,41140
753,41601
754,52178
755,63223
756,57235
757,90686
758,66726
759,81196
760,13237
761,45772
762,77807
763,82310
764,63795
765,91035
766,46101
767,13243
768,64031
769,48780
770,76231
771,67572
772,52241
773,67558
774,70976
775,46022
776,13213
777,64389
778,57217
779,62248
780,49645
781,66011
782,46906
783,88635
784,80781
785,21262
786,86284
787,66035
788,77339
789,13261
790,46577
791,43031
792,82096
793,26264
794,29515
795,52568
796,69922
797,73836
798,86477
799,69790
800,73489
801,90871
802,58436
803,76461
804,73309
805,90546
806,46163
807,59383
808,17552
809,17553
810,83089
811,88956
812,70349
813,80469
814,85043
815,86818
816,59760
817,43717
818,65083
819,82901
820,50837
821,13287
822,72302
823,51701
824,13289
825,62199
826,48598
827,44270
828,56841
829,64137
830,74099
831,91198
832,49820
833,59806
834,13294
835,17559
836,62368
837,81361
838,78053
839,72809
840,69054
841,90140
842,52023
843,67119
844,59467
845,46060
846,80777
847,56441
848,49566
849,26267
850,41002
851,70017
852,73396
853,52630
854,45255
855,70828
856,91299
857,75948
858,92339
859,72635
860,67452
861,54021
862,81124
863,10970
864,51574
865,76363
866,91761
867,73196
868,11577
869,29603
870,59414
871,80565
872,52320
873,86953
874,80655
875,48755
876,59417
877,67651
878,44431
879,57167
880,92004
881,48178
882,58258
883,13312
884,71197
885,58948
886,64387
887,60053
888,53071
889,82690
890,58554
891,76831
892,82436
893,78276
894,70861
895,53527
896,59713
897,58395
898,76930
899,40808
900,30687
901,62953
902,67878
903,28537
904,75968
905,90253
906,67624
907,61289
908,83033
909,10189
910,41866
911,61004
912,14814
913,85399
914,65646
915,51665
916,57270
917,80664
918,46092
919,49798
920,80747
921,85487
922,91106
923,51582
924,66015
925,86757
926,48034
927,58461
928,56374
929,69423
930,66024
931,70693
932,81670
933,66287
934,42284
935,62028
936,51800
937,66480
938,46158
939,81985
940,61234
941,67587
942,64434
943,13333
944,90271
945,73856
946,65152
947,48220
948,85449
949,63160
950,86218
951,68878
952,22275
953,66034
954,78098
955,86320
956,73243
957,60433
958,45317
959,73772
960,89602
961,10199
962,72378
963,50187
964,13355
965,13358
966,39819
967,40880
968,58206
969,64487
970,52613
971,67199
972,73084
973,72546
974,30747
975,67071
976,13377
977,13379
978,82573
979,59021
980,51999
981,43238
982,64195
983,68783
984,89191
985,82039
986,67469
987,13390
988,85681
989,13398
990,85666
991,85671
992,53058
993,78370
994,74569
995,56492
996,13402
997,42015
998,45347
999,63594
1000,13407
1001,71058
1002,68709
1003,66292
1004,72990
1005,85806
1006,63634
1007,15591
1008,76011
1009,61884
1010,87302
1011,72847
1012,39950
1013,68975
1014,80943
1015,85313
1016,70719
1017,66478
1018,45199
1019,76664
1020,90389
1021,70276
1022,51699
1023,69039
1024,78577
1025,67258
1026,53431
1027,63014
1028,12629
1029,53497
1030,70147
1031,61388
1032,88554
1033,90482
1034,62238
1035,78934
1036,87006
1037,86224
1038,44074
1039,53947
1040,59803
1041,41657
1042,53843
1043,53990
1044,64702
1045,85047
1046,53007
1047,45543
1048,64162
1049,60739
1050,56557
1051,69896
1052,86734
1053,66832
1054,60832
1055,52583
1056,80128
1057,58841
1058,59032
1059,42807
1060,76514
1061,63177
1062,72332
1063,12550
1064,61320
1065,43649
1066,70765
1067,39131
1068,56277
1069,80535
1070,51070
1071,64532
1072,44257
1073,85370
1074,74231
1075,45063
1076,81838
1077,66879
1078,63709
1079,49904
1080,65764
1081,85645
1082,58168
1083,72356
1084,76771
1085,61372
1086,47168
1087,43484
1088,60016
1089,12206
1090,26274
1091,75699
1092,84918
1093,62178
1094,11098
1095,86250
1096,47953
1097,13848
1098,68814
1099,26316
1100,19250
1101,13877
1102,89176
1103,45112
1104,42900
1105,66639
1106,81110
1107,80793
1108,22359
1109,17700
1110,87181
1111,85430
1112,17585
1113,69023
1114,70209
1115,73295
1116,48216
1117,63731
1118,70975
1119,62104
1120,43152
1121,13441
1122,38910
1123,67904
1124,69152
1125,45304
1126,42905
1127,50201
1128,76298
1129,60722
1130,81015
1131,29543
1132,13451
1133,60498
1134,52873
1135,69310
1136,66417
1137,91831
1138,90257
1139,47775
1140,22767
1141,47794
1142,44998
1143,22373
1144,38633
1145,10727
1146,47862
1147,26276
1148,18287
1149,54656
1150,72856
1151,38707
1152,60812
1153,47048
1154,68928
1155,51759
1156,48750
1157,28793
1158,60492
1159,82806
1160,43950
1161,89387
1162,52643
1163,78308
1164,57889
1165,71061
1166,74555
1167,67938
1168,48793
