,구분,총자본증가율2002,유동자산증가율2002,매출액증가율2002,순이익증가율2002,영업이익증가율2002,매출액순이익률2002,매출액총이익률2002,자기자본순이익률2002,총자본순이익률2002,매출원가 대 매출액비율2002,매출채권회전률2002,재고자산회전률2002,총자본회전률2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,비유동비율2002,순운전자본비율2002,현금비율2002,부채/자산2002,부채/매출액2002,부채/현금흐름2002,유동부채/부채2002,유동자산/자산2002,매출/현금흐름2002,차입금평균이자율2002,정상기업여부
0,(주)대명소노시즌,-34.05,-45.05,-19.98,0.0,0.0,21.85,-21.51,0.0,12.43,121.51,2.35,3.19,0.57,4.19,139.56,162.06,140.51,159.16,98.09,22.62,23.72,0.5825707631687786,0.8143919219722714,-16.89,0.6255086659462145,0.5905629052321372,-13.76,6.22,1
1,(주)대유플러스,-41.2,-37.79,-15.22,0.0,0.0,40.31,-5.33,0.0,45.84,105.33,7.6,13.03,1.14,1.69,80.51,198.46,408.48,150.45,121.21,16.3,28.86,0.4460286684805846,0.2904688432948083,15.01,0.37116335114477444,0.328556406764674,4.36,2.24,1
2,(주)대호특수강,16.66,80.75,-8.91,0.0,0.0,7.16,12.36,15.7,7.71,87.64,5.0,12.54,1.08,2.13,14.07,1292.46,122.26,985.21,54.79,47.95,370.32,0.12336410485777899,0.12327131060793009,-337.85,0.32594613793295785,0.5196969210176738,-41.65,5.7,1
3,(주)동양,-45.4,-21.66,-58.97,0.0,-90.24,-5.83,11.17,-17.23,-2.15,88.83,4.19,13.94,0.37,1.04,821.94,52.56,66.84,50.03,643.95,-27.21,0.25,0.8915331343672653,1.7091386119056022,0.76,0.6434661943768336,0.3015287103906224,1.29,9.29,1
4,(주)바른손이앤에이,-35.25,-46.56,20.17,0.0,0.0,-205.06,24.83,-224.48,-47.16,75.17,3.72,17.4,0.23,10.93,251.72,113.59,52.7,102.66,261.98,3.05,3.26,0.7156799461766423,2.4459204886497172,-31.7,0.31382599848067766,0.2551320593259405,-77.53,6.96,1
5,(주)상지카일룸,18.27,43.14,12.68,0.0,0.0,-45.86,-4.6,-173.33,-30.2,104.6,5.12,14.42,0.66,3.28,228.38,95.0,72.53,86.26,185.16,-2.3,2.04,0.6954718091675913,1.1446670885352235,-15.38,0.6601348258567709,0.4361393175841749,-17.61,9.89,1
6,(주)세우글로벌,2.58,-3.75,9.3,0.0,0.0,-22.14,13.27,-71.57,-23.04,86.73,3.66,4.71,1.04,4.88,67.18,165.83,67.05,111.85,57.27,26.1,24.89,0.4018433344872067,0.39119143297954884,5.58,0.9866263515841208,0.6574558788967468,2.18,3.67,1
7,(주)수산중공업,-20.33,-21.07,15.17,0.0,0.0,82.84,22.18,0.0,78.8,77.82,3.85,4.76,0.95,7.67,1634.1,364.31,23.47,261.12,348.95,57.95,27.11,0.9423330653906985,0.8785157418075684,14.67,0.2326737504815515,0.7987711455850605,12.89,6.83,0
8,(주)쎌마테라퓨틱스,-29.6,-85.42,1981.43,0.0,0.0,17525.05,37.19,0.0,2357.53,62.81,71.39,0.0,0.13,1.75,564.72,5.49,1.93,5.49,640.43,-62.94,1.77,0.8495616894517096,5.218367403128996,-101.76,0.7838160431406471,0.036542314735910485,-531.02,0.03,1
9,(주)한창,-51.57,-81.92,-11.98,0.0,0.0,-4.0,10.01,-44.09,-3.19,89.99,10.55,218.0,0.8,1.68,1271.41,37.71,8.45,36.65,1141.22,-27.73,0.57,0.9270824509347521,0.7586339045155063,-9.57,0.4801304236114968,0.1678509184410266,-7.26,8.83,1
10,(주)휴니드테크놀러지스,-19.15,-2.95,15.76,0.0,0.0,59.41,8.7,0.0,40.16,91.3,8.16,3.88,0.68,1.96,97.42,285.32,151.97,253.44,89.05,35.66,105.08,0.49346569164287385,0.6526681090137428,-21.3,0.38990018492159106,0.5489529639348831,-13.9,3.43,1
11,LS일렉트릭(주),-23.08,-42.55,5.49,0.0,47.12,0.48,29.0,2.96,0.38,71.0,4.98,20.64,0.78,1.69,495.73,61.6,24.61,51.66,440.03,-16.29,4.75,0.8321388150229251,0.9300771698238689,13.1,0.5098765740949133,0.26136583798457447,12.19,8.59,1
12,아남전자(주),-31.29,-40.22,-1.0,0.0,0.0,16.58,9.34,0.0,22.74,90.66,5.0,8.16,1.37,6.9,54.69,268.52,219.46,188.94,53.53,41.04,34.25,0.35356007885828733,0.2099496542790539,46.31,0.6888145807131741,0.6539377090930664,9.72,2.89,1
13,에이치엘비(주),-8.72,4.92,-68.28,0.0,0.0,-49.29,-75.54,0.0,-9.34,175.54,2.77,3.96,0.19,0.22,81.64,38.14,51.09,30.39,153.99,-24.68,0.46,0.44945841543200443,2.2640120009222975,-58.94,0.8878005715971156,0.15220040692212558,-133.45,2.9,1
14,지더블유바이텍(주),-78.88,-73.33,-53.53,0.0,0.0,-832.89,-19.99,0.0,-112.86,119.99,2.72,0.74,0.14,1.68,0.0,17.45,0.0,6.39,0.0,-234.15,0.07,2.8464861771227987,7.32500144224453,-22.02,0.9964424173137014,0.4948499423438447,-161.29,11.31,0
15,케이알모터스(주),2.65,17.03,-8.31,0.0,-69.1,73.24,13.8,0.0,65.76,86.2,3.9,8.27,0.9,2.22,1383.32,116.07,130.16,94.03,779.49,6.57,17.28,0.9325834760884468,1.0523432849560226,7.16,0.43833799566675025,0.47449485819632026,7.53,7.85,1
16,케이지케미칼(주),-3.79,-2.26,2.07,0.0,-62.66,-6.61,19.18,0.0,-7.24,80.82,4.22,6.15,1.09,3.16,0.0,463.71,0.0,308.88,0.0,45.3,13.71,1.0591806473330232,0.9489173947637333,0.73,0.1175849853740888,0.5775184308832031,0.7,11.63,0
17,코스모신소재(주),-9.69,12.21,-0.59,0.0,1.91,4.49,23.0,58.66,3.76,77.0,10.91,14.57,0.84,1.16,1033.96,106.27,37.89,79.3,858.01,1.44,37.81,0.911813158585302,1.0320591387638582,12.27,0.2511407963388875,0.2433473756866917,12.66,10.7,1
18,(주)NH무역,30.26,31.25,60.75,1047.0,32621.01,1.83,9.91,18.11,3.97,90.09,7.3,13.3,2.17,602.2,180.62,155.0,111.09,114.78,6.35,34.68,13.43,0.6436445764506729,0.3349828103904121,-14.5,0.9797055787036085,0.977379126697637,-4.86,3.64,1
19,(주)건양페인트,28.15,95.27,-1.25,-17.45,-17.27,4.31,18.7,0.0,8.96,81.3,8.32,15.66,2.08,3.74,0.0,51.75,0.0,43.19,0.0,-48.34,4.09,1.0056442257535305,0.5427132065547677,2.51,0.9960842074747115,0.5183556812493207,1.36,18.35,1
20,(주)경방상사,-70.15,-78.63,-10.11,0.0,0.0,-70.87,-16.69,0.0,-88.71,116.69,3.02,5.09,1.25,24.69,0.0,14.75,0.0,12.92,0.0,-314.92,0.39,3.709790249052839,1.3624950931144282,-9.05,0.9957509690117373,0.5448396172527623,-12.33,10.64,0
21,(주)경인방송,-3.87,28.09,35.12,0.0,0.0,0.28,0.0,0.0,0.54,0.0,4.6,183.3,1.91,3.9,0.0,81.78,0.0,80.54,0.0,-12.38,0.67,1.352073770183706,0.6953043207380685,-5.16,0.5026732934866064,0.5558367407612512,-3.59,3.51,1
22,(주)고려제지,-8.51,-20.11,-0.42,561.74,-23.78,15.39,22.74,189.23,8.67,77.26,6.4,11.28,0.56,0.78,971.98,166.77,66.74,127.55,813.69,9.65,26.12,0.9067144452483941,1.5388452375156048,7.95,0.15934076926932222,0.24094495372158037,12.24,7.46,0
23,(주)글로리아,-3.01,-20.74,2.7,0.0,12.99,3.26,26.68,4.93,0.76,73.32,299.82,18.45,0.23,0.24,524.33,4.55,80.64,2.16,612.37,-40.16,1.35,0.8398276836631398,3.553311383413626,1.82,0.5010188389414545,0.01915394752340786,6.47,4.78,0
24,(주)금복,2.56,74.19,3.97,1.58,-3.34,1.82,80.04,0.0,0.23,19.96,0.0,0.0,0.13,0.13,0.0,1.97,0.0,1.97,0.0,-90.81,0.41,1.0708579601962973,8.569405632870433,0.01,0.8649943729741936,0.018219786714334035,0.05,3.57,0
25,(주)금자탑,27.32,53.21,-5.05,230.43,-60.14,4.02,22.88,19.52,1.16,77.12,31.6,7.56,0.29,0.33,1628.76,16.07,16.2,12.35,1520.34,-62.98,0.14,0.9421549251289459,3.6580504480929026,5.89,0.7964621921817627,0.12055549120346955,21.53,6.37,0
26,(주)기린산업,3.14,3.74,17.72,330.96,-12.62,1.87,20.32,0.0,3.42,79.68,4.39,9.6,1.83,6.42,0.0,126.56,0.0,88.41,0.0,14.05,4.98,1.1827502649774913,0.6581123779580599,3.39,0.447241424901233,0.6694745470743725,2.23,10.44,0
27,(주)길훈종합건설,-2.85,-9.88,42.29,0.0,0.0,-7.18,14.72,0.0,-7.95,85.28,3.16,2.62,1.11,709.21,0.0,236.91,0.0,180.78,0.0,50.5,8.08,2.406804007768109,2.1426113738709245,7.32,0.1532722912750723,0.8739432535475361,15.68,9.25,0
28,(주)넥소어,187.51,238.69,1987.76,0.0,0.0,14.04,56.47,179.26,46.28,43.53,7.04,10.79,3.3,26.95,131.78,151.22,140.37,99.48,39.1,28.16,0.8,0.5685518094953167,0.2560386660664774,2.79,0.9669168423086127,0.8313166355538525,0.71,3.29,1
