,구분,이자보상배율2015,영업이익2015,차입금의존도2015,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채2015,자산2015,매출액2015,부채/현금흐름2015,유동부채2015,유동자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
2130,주식회사휴메인에셋,-0.37,-172202.0,92.93,-0.65,0.84,0.76,0.0,0.0,-127.6,0.0,0.0,-5.53,0.0,0.0,0.0,0.04,0.04,0.0,0.49,0.0,0.49,0.0,-102.5,0.46,12515577.0,11544254.0,501600.0,-1.21,11890148.0,57796.0,-30.29,4.38,0
2131,주식회사흥일,-0.13,-274433.0,167.27,-11.26,19.07,0.0,0.0,0.0,0.0,0.0,0.0,-6.66,0.0,0.0,0.0,0.0,0.0,0.0,640.37,0.0,640.37,0.0,31.95,42.56,63974184.0,36940853.0,0.0,-11.06,2184275.0,13987422.0,0.0,3.51,0
2132,주식회사희석그린,999999999.0,-31731.0,101.49,2.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,-101.97,0.01,8764029.0,8589801.0,0.0,-0.11,8764029.0,5334.0,0.0,0.0,0
2133,중도석유주식회사,0.38,173282.0,46.19,-8.22,-57.08,-22.27,0.0,0.0,0.06,5.58,0.39,0.17,94.42,24.8,67.15,2.71,4.02,122.85,23.01,7521.41,14.22,198.31,-36.86,2.88,18480833.0,33523646.0,94921497.0,-14.93,16048806.0,3692796.0,-2.91,3.89,1
2134,중부모터스주식회사,-0.57,-74288.0,54.22,9.95,-4.26,27.46,349.46,0.0,2.6,13.24,127.15,8.96,86.76,113.85,26.51,3.44,5.01,893.72,23.77,20.79,11.9,803.67,-61.35,4.52,9288647.0,10327966.0,33925365.0,23.75,8311661.0,1975287.0,6.5,2.19,0
2135,중앙기공산업(주),-1.01,-332139.0,53.81,-25.4,-34.97,-12.08,0.0,0.0,37.64,6.11,54.41,18.03,93.89,6.39,5.58,0.48,0.61,161.45,30.13,390.93,17.15,214.72,-41.46,0.08,7447716.0,12060689.0,6761357.0,-15.34,7155502.0,2155654.0,-16.9,4.36,0
2136,중앙기업,0.15,148445.0,55.01,2.4,0.49,-14.12,0.0,0.0,-3.26,25.09,-1.48,-0.63,74.91,6.38,133.66,0.19,0.24,140.71,50.02,1473.52,49.71,199.97,-16.91,3.39,26953597.0,46109414.0,8768226.0,-0.81,15600909.0,7803588.0,-2.5,3.99,1
2137,중앙상선주식회사,-5.76,-6263813.0,21.49,10.75,-58.52,-0.41,0.0,0.0,-65.83,-31.74,-6.7,-5.4,131.74,36.93,17.06,0.08,0.09,38.87,47.78,3854.66,31.43,136.21,-2.1,14.89,53943482.0,192711110.0,15049173.0,7.97,7746539.0,3701383.0,28.56,3.94,0
2138,중앙일보엠앤피주식회사,-0.85,-6716413.0,230.93,41.8,48.08,51.67,0.0,0.0,-12.1,43.16,0.0,-41.63,56.84,7.08,171.72,3.44,303.86,0.0,50.06,0.0,49.23,0.0,-88.42,16.39,118522343.0,41783637.0,122512194.0,-12.99,73976267.0,37032358.0,-12.56,7.29,0
2139,중앙하우징(주),999999999.0,-886668.0,0.0,-4.89,-6.18,-24.22,0.0,0.0,-150.27,66.16,-2.44,-2.1,33.84,0.0,0.04,0.01,0.07,14.53,8713.25,4339.34,4880.68,25.38,76.94,37.27,1891277.0,14909282.0,214000.0,-21.67,133186.0,11604835.0,-191.55,0.0,0
