,구분,이자보상배율2015,영업이익2015,차입금의존도2015,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채2015,자산2015,매출액2015,부채/현금흐름2015,유동부채2015,유동자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
18,(주)서원양행,4.73,1233202.0,25.37,-6.95,-9.92,-6.75,86.94,564.6,2.34,23.82,4.97,2.71,76.18,4.81,3.92,1.16,3.6,73.86,177.7,3147.29,90.47,69.17,26.33,12.23,11623593.0,27360065.0,32887885.0,13.71,9271745.0,16475486.0,4.85,3.49,1
19,(주)성환금속,1.06,516692.0,61.86,21.58,-22.58,-5.94,45.17,474.5,1.5,12.98,5.83,1.04,87.02,8.41,12.98,0.7,1.07,315.96,41.87,1479.24,31.69,327.85,-29.4,0.37,18694968.0,24611921.0,15604501.0,6.39,12450326.0,5213279.0,7.66,3.2,1
20,(주)세지솔로텍,0.81,394913.0,61.17,-10.41,-13.87,-9.1,168.44,17.84,0.37,12.89,1.29,0.33,87.11,4.65,6.64,0.88,1.76,266.73,101.64,640.34,70.85,207.79,0.7,10.23,20495741.0,28179828.0,26345455.0,5.32,12016252.0,12213151.0,4.14,2.77,0
21,(주)신우산업,0.7,289889.0,34.39,0.03,5.01,23.0,11.61,-40.44,0.71,6.93,1.76,0.83,93.07,5.29,12.63,1.17,2.5,109.1,108.01,648.81,85.85,122.54,3.07,10.25,17696337.0,33916704.0,39796770.0,9.03,12998972.0,14040706.0,4.02,3.31,0
22,(주)신우특수강,1.67,1398921.0,43.44,0.93,0.96,-1.94,118.89,51.12,1.54,5.85,13.21,3.21,94.15,12.53,7.53,2.08,14.95,287.99,103.01,2851.2,63.55,104.95,2.13,0.11,25660309.0,34570308.0,71617302.0,6.18,24481769.0,25219582.0,2.21,5.26,1
23,(주)에스비알,1.16,847403.0,71.37,3.51,15.13,25.17,-85.64,13.31,0.57,19.75,1.47,0.31,80.25,8.28,4.77,0.54,0.72,375.33,32.47,344.39,14.94,360.98,-50.03,0.85,19389330.0,24555233.0,13113255.0,4.12,18192240.0,5907377.0,6.09,4.2,1
24,성인산업(주),0.72,180367.0,42.84,26.06,17.5,-24.31,96.49,-42.81,18.35,20.26,32.69,7.1,79.74,3.7,3.95,0.39,2.2,261.67,75.37,4163.78,55.95,220.4,-12.76,16.48,10895174.0,15058951.0,5227792.0,12.04,7803634.0,5881911.0,25.09,3.79,0
25,성창약품주식회사,0.6,131175.0,19.01,0.78,0.79,5.19,15.14,-0.33,0.64,7.9,3.07,0.6,92.1,1.57,45.43,0.93,6353114.67,408.25,122.41,217.75,119.94,8.53,18.0,13.67,16554520.0,20609513.0,19059344.0,7.33,16554520.0,20263577.0,6.36,4.67,0
26,세계문화주식회사,1.0,1392127.0,82.91,5.66,38.0,-4.44,-84.2,622.91,1.37,55.8,1.89,0.14,44.2,2.62,8.43,0.1,0.12,1262.73,17.98,148.69,16.05,1146.9,-72.23,0.21,41306643.0,44577854.0,4461410.0,-2.83,39259797.0,7060308.0,-26.19,3.81,1
27,센트랄모텍,1.58,4550023.0,50.68,-8.18,-15.06,-2.59,-47.4,179.98,0.91,7.07,8.7,1.63,92.93,6.54,23.55,1.79,4.81,388.54,71.56,912.79,60.39,285.66,-16.5,1.04,111716692.0,140469612.0,262010055.0,13.63,81513762.0,58333034.0,5.81,3.65,1
28,쌍용자동차인천정비사업소주식회사,0.84,443970.0,59.75,0.71,5.9,5.23,85.72,-32.34,0.24,21.02,0.25,0.08,78.98,23.65,6.63,0.34,0.41,204.0,45.99,556.94,27.02,265.58,-14.84,8.22,17042590.0,25396651.0,8568695.0,-0.48,6979021.0,3209597.0,-0.95,3.52,0
29,안성공업주식회사,3.05,829888.0,35.32,-4.29,-10.49,7.03,642.83,241.13,1.27,13.5,3.39,1.66,86.5,3.04,18.11,1.31,9.13,95.82,127.95,1834.04,113.88,80.18,12.9,12.23,10544405.0,21548633.0,28753184.0,1.41,9945247.0,12725357.0,0.52,3.55,1
30,에이스건설주식회사,1.53,5965000.0,21.75,-0.5,-5.82,50.85,173.98,112.12,1.67,8.77,2.07,1.28,91.23,3.19,10.28,0.77,22.5,60.2,241.25,3394.77,233.94,35.53,45.56,21.47,102183972.0,271922564.0,208989040.0,24.17,87714084.0,211612510.0,11.82,5.83,1
31,(주)에이티엔씨,1.07,555910.0,23.2,2.98,-3.41,8.45,84.64,96.45,1.09,16.54,9.5,2.62,83.46,4.24,160.03,2.41,172.3,250.93,100.65,387.94,98.44,110.8,0.44,0.57,26867282.0,37574304.0,89166347.0,5.94,25544406.0,25711088.0,1.79,5.76,1
32,(주)엑시아머티리얼스,1.85,865388.0,39.86,-2.59,-24.5,16.54,247.47,445.15,1.76,35.85,1.38,0.69,64.15,7.35,5.2,0.39,1.29,88.59,90.96,509.17,60.35,145.3,-2.28,19.31,10663973.0,22701592.0,9005029.0,7.18,5728199.0,5210598.0,8.51,4.95,1
33,(주)엠스코,1.26,540068.0,56.59,14.91,11.2,36.36,-60.97,653.11,0.46,9.32,3.58,0.85,90.68,21.73,6.23,1.86,3.78,298.78,76.09,274.78,29.28,219.78,-14.11,5.75,15599052.0,20819947.0,36233234.0,2.63,12282382.0,9345253.0,1.13,3.91,1
