,구분,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채/자산2015,부채/매출액2015,부채/현금흐름2015,유동부채/부채2015,유동자산/자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
19,(주)성환금속,21.58,-22.58,-5.94,45.17,474.5,1.5,12.98,5.83,1.04,87.02,8.41,12.98,0.7,1.07,315.96,41.87,1479.24,31.69,327.85,-29.4,0.37,0.7595899564280253,1.1980497165529356,6.39,0.6659720412466071,0.21181926433129702,7.66,3.2,1
20,(주)세지솔로텍,-10.41,-13.87,-9.1,168.44,17.84,0.37,12.89,1.29,0.33,87.11,4.65,6.64,0.88,1.76,266.73,101.64,640.34,70.85,207.79,0.7,10.23,0.7273195918725976,0.7779611701524988,5.32,0.5862804374821091,0.4334004806558791,4.14,2.77,0
21,(주)신우산업,0.03,5.01,23.0,11.61,-40.44,0.71,6.93,1.76,0.83,93.07,5.29,12.63,1.17,2.5,109.1,108.01,648.81,85.85,122.54,3.07,10.25,0.5217587475481108,0.4446676702657025,9.03,0.7345572137329889,0.4139761340017002,4.02,3.31,0
22,(주)신우특수강,0.93,0.96,-1.94,118.89,51.12,1.54,5.85,13.21,3.21,94.15,12.53,7.53,2.08,14.95,287.99,103.01,2851.2,63.55,104.95,2.13,0.11,0.7422644021569029,0.35829762199084236,6.18,0.9540714805889516,0.7295156872770703,2.21,5.26,1
23,(주)에스비알,3.51,15.13,25.17,-85.64,13.31,0.57,19.75,1.47,0.31,80.25,8.28,4.77,0.54,0.72,375.33,32.47,344.39,14.94,360.98,-50.03,0.85,0.7896210962445357,1.4786054263415147,4.12,0.9382603731021134,0.2405750741603633,6.09,4.2,1
24,성인산업(주),26.06,17.5,-24.31,96.49,-42.81,18.35,20.26,32.69,7.1,79.74,3.7,3.95,0.39,2.2,261.67,75.37,4163.78,55.95,220.4,-12.76,16.48,0.7235015241101456,2.0840871251189794,12.04,0.7162468447039029,0.3905923460405708,25.09,3.79,0
25,성창약품주식회사,0.78,0.79,5.19,15.14,-0.33,0.64,7.9,3.07,0.6,92.1,1.57,45.43,0.93,6353114.67,408.25,122.41,217.75,119.94,8.53,18.0,13.67,0.8032465395955741,0.868577638348938,7.33,1.0,0.9832147416583789,6.36,4.67,0
26,세계문화주식회사,5.66,38.0,-4.44,-84.2,622.91,1.37,55.8,1.89,0.14,44.2,2.62,8.43,0.1,0.12,1262.73,17.98,148.69,16.05,1146.9,-72.23,0.21,0.9266180242772566,9.258652085327284,-2.83,0.9504475345527352,0.15838151383420118,-26.19,3.81,1
27,센트랄모텍,-8.18,-15.06,-2.59,-47.4,179.98,0.91,7.07,8.7,1.63,92.93,6.54,23.55,1.79,4.81,388.54,71.56,912.79,60.39,285.66,-16.5,1.04,0.7953086109471136,0.42638322410947166,13.63,0.7296471148644466,0.4152715535371451,5.81,3.65,1
28,쌍용자동차인천정비사업소주식회사,0.71,5.9,5.23,85.72,-32.34,0.24,21.02,0.25,0.08,78.98,23.65,6.63,0.34,0.41,204.0,45.99,556.94,27.02,265.58,-14.84,8.22,0.6710565893117167,1.988936471656419,-0.48,0.40950471729942456,0.12637874970207685,-0.95,3.52,0
29,안성공업주식회사,-4.29,-10.49,7.03,642.83,241.13,1.27,13.5,3.39,1.66,86.5,3.04,18.11,1.31,9.13,95.82,127.95,1834.04,113.88,80.18,12.9,12.23,0.48933057609733294,0.3667212994567836,1.41,0.9431776378088664,0.5905412654250504,0.52,3.55,1
30,에이스건설주식회사,-0.5,-5.82,50.85,173.98,112.12,1.67,8.77,2.07,1.28,91.23,3.19,10.28,0.77,22.5,60.2,241.25,3394.77,233.94,35.53,45.56,21.47,0.37578334985102596,0.488944166641466,24.17,0.8583937606183483,0.7782087182731919,11.82,5.83,1
31,(주)에이티엔씨,2.98,-3.41,8.45,84.64,96.45,1.09,16.54,9.5,2.62,83.46,4.24,160.03,2.41,172.3,250.93,100.65,387.94,98.44,110.8,0.44,0.57,0.715044036477695,0.3013163923828796,5.94,0.9507625669020037,0.6842731671090967,1.79,5.76,1
32,(주)엑시아머티리얼스,-2.59,-24.5,16.54,247.47,445.15,1.76,35.85,1.38,0.69,64.15,7.35,5.2,0.39,1.29,88.59,90.96,509.17,60.35,145.3,-2.28,19.31,0.4697456019824513,1.184224170738373,7.18,0.5371543044979578,0.22952566498420024,8.51,4.95,1
33,(주)엠스코,14.91,11.2,36.36,-60.97,653.11,0.46,9.32,3.58,0.85,90.68,21.73,6.23,1.86,3.78,298.78,76.09,274.78,29.28,219.78,-14.11,5.75,0.7492359130405087,0.4305177947957944,2.63,0.787380027965802,0.44886055665751695,1.13,3.91,1
34,(주)영공,0.15,7.36,-4.93,142.09,13.88,0.36,8.14,1.6,0.63,91.86,63.09,60.64,1.74,2.4,153.2,56.3,1867.78,50.12,186.8,-20.36,24.72,0.6050614576180904,0.3470139537945676,1.4,0.769928606606953,0.2622710961957449,0.48,2.53,0
35,(주)영광,26.51,1.92,23.83,117.33,404.14,2.35,5.12,6.03,1.94,94.88,8.9,12.29,0.82,1.31,236.94,80.73,926.36,65.02,236.8,-7.09,37.37,0.7032098798340717,0.9529525322578012,8.07,0.5234752523857185,0.29718864629526087,7.69,3.38,1
36,(주)우리유통,2.73,7.7,15.01,39.62,-25.45,0.37,17.11,9.02,0.44,82.89,52.97,6.79,1.2,2.06,1884.47,101.65,888.37,55.34,1177.53,0.66,2.57,0.9496087738636841,0.80240810658691,1.39,0.4212671109990396,0.406628272409982,1.11,3.94,0
37,(주)울트라,16.96,16.18,12.3,-26.67,1506.1,0.7,12.79,4.08,1.0,87.21,30.16,44.45,1.42,2.43,331.62,57.83,221.32,50.15,309.17,-20.69,0.32,0.7683168879292693,0.5824665750761436,8.25,0.638589749424089,0.2837150091710235,4.8,3.92,1
38,오진상사주식회사,-22.32,-16.63,13.71,50947.24,-90.82,8.34,8.5,17.92,9.23,91.5,7.52,5.02,1.11,10.53,77.22,128.96,1292.43,63.7,91.9,10.81,1.56,0.43574016658724907,0.3441421969058668,-12.79,0.8567110361382307,0.48142718147620944,-4.4,5.14,0
39,유신당씨앤씨(주),-4.83,-15.78,-13.74,-24.27,-20.86,0.25,11.98,1.19,0.14,88.02,11.23,4.5,0.57,0.77,601.77,54.19,53.93,25.88,542.9,-19.14,2.64,0.8575025385215267,1.4560001913099567,4.04,0.4871728608220189,0.2263853933714395,5.88,5.64,0
40,은광산업(주),-0.9,-45.33,-32.29,-4.67,228.54,3.39,19.34,3.6,1.15,80.66,10.16,11.39,0.34,2.02,218.16,61.49,3584.69,47.73,265.98,-10.27,1.68,0.6856886576040316,2.0091611012050867,2.4,0.3889093274061207,0.1639876763361322,4.83,4.37,1
41,이지슈퍼물류주식회사,4.34,19.77,-5.18,114.63,-26.91,0.26,11.03,2.29,0.4,88.97,6.25,17.56,1.57,2.72,477.16,81.02,80.95,65.87,327.96,-10.12,0.64,0.8267376040588609,0.5379021122938298,1.9,0.6445989460779561,0.43176240259580045,1.02,4.31,0
42,장암칼스주식회사,0.96,-0.95,3.92,373.35,45.55,2.23,18.06,4.02,1.61,81.94,8.98,4.91,0.72,1.12,146.09,66.95,755.92,31.68,183.85,-12.49,4.78,0.5936420189117128,0.8268856027631637,7.78,0.6363702855764864,0.25291503684049543,6.43,3.48,1
